player_id,side,miss,se,z,seasons,poss,name
3,O,-0.842861516688999,0.6456796363779764,-1.3053865558113926,5,12057.0,Grant Long
7,O,1.4292114474064628,1.468080673149797,0.9735237807742952,1,2254.0,Dan Schayes
15,O,0.06440129122831267,0.5160222101548397,0.12480333202903836,8,22047.0,Eric Piatkowski
17,O,1.161015902926484,1.3773039471071884,0.8429627355421556,1,4742.0,Clyde Drexler
21,O,-0.45215260790688744,0.5949408842885928,-0.7599958581558132,5,10771.0,Greg Anthony
22,O,0.27256883363200746,0.7596405979297272,0.3588128838490834,3,9838.0,Rik Smits
23,O,-0.5000786510480296,0.9761887465903145,-0.5122765989617599,2,6489.0,Dennis Rodman
26,O,-1.750184087550913,0.8309790515760708,-2.1061711293821888,3,7650.0,Luc Longley
28,O,-0.9354416607391398,1.0174216328065289,-0.9194237969550052,2,2465.0,Doug West
29,O,-0.15023471255695728,1.008454096421778,-0.14897526133318692,2,4298.0,Jim McIlvaine
35,O,0.5986339230543184,1.3966674561818648,0.42861593173426693,1,1030.0,Eric Riley
42,O,-1.7440802658340306,0.7348059603356872,-2.3735249303602117,4,10427.0,Monty Williams
43,O,-0.32812546612170046,0.6272487095056978,-0.5231185989689467,5,14386.0,Chris Whitney
45,O,-0.4806201512594199,0.6543756093578551,-0.7344713714666978,5,16393.0,George McCloud
51,O,-1.7283505391663092,1.3996433139793687,-1.2348507093942263,1,1042.0,Mahmoud Abdul-Rauf
53,O,-0.04563813177029852,0.695648264587906,-0.06560518309829182,4,13274.0,Mario Elie
54,O,-1.6054495743873178,0.9959123993707907,-1.6120389457964655,2,5766.0,Dickey Simpkins
56,O,0.23293084416161505,0.407435578842396,0.5716998128229671,10,52683.0,Gary Payton
57,O,-0.08838134498178496,0.49043680518661614,-0.18020944604301256,8,39018.0,Doug Christie
63,O,-0.009394924911869204,0.7199609375353673,-0.013049214786611515,4,9328.0,Michael Smith
64,O,-0.23751655107854142,0.6857042057375338,-0.3463833954803762,4,9456.0,Sam Perkins
65,O,1.5497177799815964,1.0154729956063104,1.5261043737123738,2,3718.0,Greg Minor
67,O,-0.6703452801388872,1.0228776196919418,-0.6553523776781565,2,3544.0,Tom Hammonds
70,O,-0.8985988397697442,0.6375801701529943,-1.4093895667334126,5,7981.0,Steve Kerr
71,O,0.3925222398696587,1.3658690784685974,0.2873791097970764,1,2442.0,Pooh Richardson
72,O,-0.3975505160834566,0.4842399434121804,-0.8209783630861393,8,22223.0,Kenny Anderson
73,O,1.9632523666972799,1.4972254278918886,1.3112603687619457,1,2490.0,Hot Williams
76,O,-0.27277847482083906,0.8553996005762784,-0.3188901124539567,3,7121.0,Cedric Ceballos
77,O,1.6861436278057778,1.4674455271182012,1.1490331986067381,1,1951.0,Doug Overton
84,O,-0.2599211817504216,0.48022564930774914,-0.5412480198113138,8,37231.0,Latrell Sprewell
85,O,0.5303272970121335,0.9783431723006574,0.5420667430683077,2,4127.0,Brent Price
87,O,-0.11935946408842009,0.40940191193776193,-0.2915459371537213,11,35643.0,Dikembe Mutombo
89,O,-0.07115766754557636,0.45505180036313614,-0.15637267556966436,9,34394.0,Nick Van Exel
93,O,0.41804779215850824,0.6562291493307829,0.6370454475922472,5,16432.0,Hubert Davis
95,O,-0.23444826252941955,0.8472104002956482,-0.27672967948411037,3,7632.0,Mark Bryant
96,O,0.8565106497993885,0.7957996380608381,1.0762893181083717,3,11544.0,Detlef Schrempf
98,O,-0.34406875930820036,0.798357906620957,-0.43097056652757215,3,10604.0,Nick Anderson
103,O,3.0956035036500054,1.5077935890002665,2.0530684877779106,1,1919.0,Todd Day
105,O,0.17313962102736136,0.6389600163757817,0.2709709787623635,5,15509.0,Dan Majerle
107,O,0.6665503580911684,0.8240131360503218,0.8089074420416311,3,6977.0,Dale Ellis
109,O,-0.3700805991226102,0.43347502761746115,-0.8537529858564399,11,31314.0,Robert Horry
111,O,-0.4415344825823569,0.6510078113886393,-0.6782322344804695,5,15536.0,LaPhonso Ellis
120,O,0.37018358918733635,0.4973444702971212,0.7443203077460236,8,26835.0,Steven Smith
121,O,-0.8240875428361158,0.6371344093030008,-1.2934280911584013,5,13604.0,Patrick Ewing
123,O,0.014952323752503455,1.0193070506436395,0.014669106569077335,2,3917.0,Robert Pack
124,O,0.32870202408356736,0.5135765773256901,0.6400253410994587,7,30794.0,Vlade Divac
128,O,0.7705354806205061,1.4803323571662594,0.5205151916664925,1,2167.0,David Benoit
133,O,-0.40067844451706186,0.4501981328713663,-0.8900046785212823,9,43354.0,David Wesley
134,O,0.23338376058613589,1.509927355676349,0.1545662178440334,1,2473.0,Kevin Johnson
136,O,0.6741307890585571,0.4364882904016455,1.544441864495927,10,44146.0,P.J. Brown
137,O,-0.43868145390148294,0.7126537512498621,-0.6155604360913238,4,6501.0,Vernon Maxwell
143,O,-0.8364219579679502,1.4392103445938105,-0.5811672776740736,1,2719.0,Terry Dehere
145,O,-0.6009455042398257,0.7233739147442445,-0.830753628228764,4,10412.0,Tracy Murray
146,O,-0.8833646192382666,0.6487080857430537,-1.3617290097847767,5,7373.0,Jud Buechler
147,O,0.08945755050653449,0.4505545592472423,0.19854987297430624,9,43402.0,Jalen Rose
156,O,0.11195729603189149,1.4631073946342315,0.0765202174785537,1,2028.0,Antoine Carr
157,O,-0.08416187109891243,0.9503023429867039,-0.08856325749382055,2,5325.0,Derek Harper
164,O,-1.234008957978407,0.6266179204355601,-1.9693164171248907,5,14783.0,Chris Childs
165,O,-1.169559416935568,0.6302411167369528,-1.8557332834628648,5,14013.0,Hakeem Olajuwon
166,O,0.07616787095830803,0.7013515560280007,0.10860155695621941,4,12280.0,Ron Harper
168,O,-0.5570753641083527,0.6336113471897746,-0.8792067354524532,5,11370.0,Chris Mills
173,O,-0.5376268220279301,1.4545483467525144,-0.36961770519918313,1,1270.0,Keith Askins
177,O,-1.1984314810947594,0.7942585084290176,-1.5088682946124996,3,7637.0,Muggsy Bogues
178,O,-1.3831828998930404,0.6863349066258505,-2.015317721042375,4,11987.0,Olden Polynice
179,O,-0.7473965383697847,0.6441296087462829,-1.1603201098370526,5,11076.0,Bryant Stith
180,O,0.7525161112108806,0.9799223901882432,0.7679343984234528,2,3405.0,John Crotty
182,O,-0.48905774383193096,0.8452832755057367,-0.5785726016397587,3,8714.0,Billy Owens
183,O,-0.9339055004464782,0.9612522675881636,-0.9715508945322959,2,6915.0,Bison Dele
184,O,1.3101186741229676,0.8156595002754362,1.60620782775234,3,8201.0,Bobby Phills
185,O,-0.36684956221792764,0.44229538396226625,-0.8294220910278025,10,45316.0,Chris Webber
187,O,0.38705641518772543,1.0066592352245831,0.38449596610651876,2,4129.0,Terry Cummings
192,O,-0.5906657294678611,0.8408739291792895,-0.7024426718097482,3,8095.0,Dennis Scott
193,O,-0.08980403912646193,0.592652896386213,-0.1515288960436287,5,27982.0,Anthony Mason
195,O,2.047952271727368,1.3205919749949444,1.5507835201976055,1,3548.0,Lee Mayberry
197,O,-0.21768100551423272,0.8423172923263023,-0.2584311250610133,3,6084.0,Scott Burrell
198,O,0.11294420496743604,0.5905550042906154,0.19125094893253258,6,12280.0,Danny Ferry
201,O,-0.1696160130992323,0.8206880367728813,-0.20667538150817732,3,3937.0,Chris Dudley
204,O,0.7310266637646837,0.719429552762774,1.0161198701907284,3,11480.0,Jeff Hornacek
208,O,0.20712105790383742,0.43300248966219396,0.47833687530393304,10,44863.0,Sam Cassell
209,O,0.06321024042225536,0.6565002051419879,0.096283656771416,5,9065.0,Dell Curry
210,O,0.12617747499579654,0.5977525013263129,0.21108648598848156,5,18138.0,Terrell Brandon
213,O,-0.4199138208294995,0.4646315421610146,-0.9037565957671929,9,35529.0,Antonio Davis
216,O,-0.4594861384976745,0.652578566579339,-0.7041085350170035,5,11972.0,Brian Shaw
219,O,-0.6030608356583002,0.714487235015848,-0.844047039755614,4,9306.0,Vinny Del Negro
221,O,-0.5866312123826707,0.531513160822819,-1.10370025734551,7,23279.0,Clar. Weatherspoon
224,O,0.28421651245987584,0.42857508360349716,0.6631662066542886,11,48044.0,Eddie Jones
228,O,0.0525981848372725,0.6969199679017014,0.07547234583568616,4,7792.0,Adam Keefe
234,O,1.2436037501222947,1.4669126165697186,0.8477694827046908,1,3652.0,Khalid Reeves
236,O,0.7023730105234762,1.450416336001022,0.48425613604160433,1,1255.0,Kevin Edwards
238,O,-0.6125804007795135,0.5911485587166662,-1.0362545788987019,6,18617.0,Tyrone Hill
239,O,0.17859839728882382,0.7570945664845035,0.2358997213757965,3,8011.0,Darrick Martin
243,O,-0.44635235465049056,0.5248952148594811,-0.8503646861592802,8,27350.0,Aaron McKie
244,O,0.32374205993794736,0.8273649773594858,0.39129292246713404,3,7443.0,Dee Brown
247,O,-0.2750113619572019,0.9962226140960306,-0.27605412491739745,2,6282.0,Joe Dumars
248,O,-0.7764589774621979,0.5144131772781292,-1.5094072464679258,8,24400.0,George Lynch
251,O,-1.8503464475630527,0.7899342186187425,-2.342405739554514,3,7053.0,Sean Elliott
252,O,0.7366424056253859,0.4733829314548884,1.5561237143920663,7,34271.0,Karl Malone
