system,base,k,held_out,map_o,map_d,scale_o,scale_d,o0,o1,o2,o3,o4,o5,o6,d0,d1,d2,d3,d4,d5,d6
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,1998,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.26491,2.58754,-0.5268,0.0231,-0.18669,0.34235,-0.16302,0.7168,-2.78356,0.65479,-0.20696,0.19694,-0.06014,0.94935
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,1999,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.22041,2.54649,-0.51648,0.03358,-0.17257,0.37301,-0.15185,0.72106,-2.75862,0.64194,-0.18717,0.19595,-0.06472,0.93089
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,2000,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.22436,2.61441,-0.53776,0.02328,-0.16355,0.37223,-0.15101,0.74444,-2.73002,0.63423,-0.18381,0.20267,-0.08163,0.89845
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,2001,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.22366,2.54433,-0.52134,0.03921,-0.1967,0.36659,-0.11116,0.73853,-2.76735,0.64838,-0.18738,0.20258,-0.08421,1.01676
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,2002,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.26212,2.48401,-0.5037,0.04827,-0.1745,0.33895,-0.13506,0.74214,-2.7055,0.62569,-0.18879,0.21273,-0.07845,0.91737
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,2003,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.21468,2.47237,-0.50406,0.0241,-0.17354,0.38346,-0.14422,0.72224,-2.83836,0.65801,-0.18526,0.19359,-0.06682,0.93661
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,2004,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.2194,2.5472,-0.51325,0.0342,-0.16735,0.36536,-0.12338,0.72279,-2.81277,0.65641,-0.18267,0.20317,-0.07272,0.95311
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,2005,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.27081,2.53567,-0.52208,0.04552,-0.1746,0.34067,-0.15217,0.77425,-2.70818,0.63454,-0.19929,0.21433,-0.11546,0.97648
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,2006,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.23661,2.59935,-0.53647,0.04885,-0.18234,0.36107,-0.13736,0.74872,-2.77382,0.64453,-0.17796,0.19808,-0.08802,0.90096
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,2007,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.23225,2.54575,-0.51386,0.01956,-0.16101,0.36909,-0.15212,0.74462,-2.77088,0.65091,-0.19885,0.21699,-0.08302,0.91998
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,2008,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.176,2.6056,-0.53103,0.04279,-0.16473,0.39507,-0.13672,0.73618,-2.77767,0.64856,-0.18134,0.20451,-0.08116,0.94703
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,2009,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.21284,2.50877,-0.51062,0.03412,-0.17783,0.37529,-0.09189,0.76202,-2.79467,0.65573,-0.20287,0.19669,-0.09862,0.90884
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,2010,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.21404,2.63627,-0.53801,0.04432,-0.1848,0.37434,-0.14496,0.71972,-2.8238,0.66426,-0.20425,0.21038,-0.06144,0.9234
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,2011,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.17895,2.62705,-0.53673,0.03505,-0.17567,0.40048,-0.13658,0.74459,-2.77266,0.6541,-0.19418,0.21069,-0.09112,1.00179
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,2012,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.19078,2.55581,-0.52031,0.03373,-0.16577,0.39356,-0.14281,0.75071,-2.78377,0.65008,-0.19078,0.20319,-0.09009,0.93486
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,2013,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.19838,2.62332,-0.53408,0.03447,-0.19193,0.37961,-0.11918,0.73881,-2.81279,0.65896,-0.18338,0.19429,-0.07546,0.93872
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,2014,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.26261,2.48242,-0.50189,0.02673,-0.17701,0.34607,-0.13515,0.77705,-2.67094,0.62119,-0.17506,0.18455,-0.09605,0.88318
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,2015,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.18298,2.63878,-0.53961,0.00798,-0.15415,0.39911,-0.15686,0.69471,-2.82031,0.66183,-0.19786,0.19917,-0.03647,0.9124
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,2016,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.22911,2.56673,-0.52644,0.04464,-0.18554,0.36255,-0.09486,0.72977,-2.75945,0.64884,-0.19083,0.20775,-0.0681,0.93757
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,2017,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.20994,2.56566,-0.51851,0.03246,-0.18071,0.37788,-0.14557,0.75816,-2.77872,0.64235,-0.17658,0.19289,-0.09632,0.95692
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,2018,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.22496,2.67268,-0.55022,0.02734,-0.17447,0.36998,-0.12581,0.71791,-2.86781,0.66435,-0.19433,0.20567,-0.06685,0.96534
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,2019,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.26824,2.5191,-0.50895,0.02748,-0.16124,0.3423,-0.13642,0.71852,-2.78257,0.65271,-0.20261,0.21493,-0.06648,0.98895
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,2020,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.22547,2.50675,-0.49719,0.02707,-0.16831,0.3647,-0.14076,0.75416,-2.78028,0.6464,-0.18124,0.18929,-0.0885,0.86931
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,2021,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.23034,2.55294,-0.51826,0.01182,-0.15509,0.36352,-0.15619,0.75105,-2.69547,0.62941,-0.1907,0.20711,-0.08914,0.96925
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,2022,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.20209,2.78658,-0.58041,0.03024,-0.16855,0.38805,-0.14244,0.72625,-2.57056,0.59734,-0.19674,0.20467,-0.06984,0.91526
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,2023,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.24805,2.5031,-0.50482,0.04379,-0.17533,0.35308,-0.14275,0.74803,-2.75273,0.64289,-0.19446,0.21001,-0.07898,0.90461
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,2024,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.21286,2.3905,-0.47262,0.00908,-0.15985,0.37912,-0.15728,0.77438,-2.71196,0.63233,-0.20891,0.19772,-0.11412,0.92988
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,2025,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.23257,2.45312,-0.49144,0.01871,-0.15023,0.36187,-0.14287,0.7839,-2.70026,0.62836,-0.19515,0.20211,-0.11395,0.91686
mspi1_lam035_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam035_fast_dec05,3,-1,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.65921,1.90049,0.22392,2.55902,-0.5204,0.03114,-0.17224,0.36924,-0.13827,0.74146,-2.76078,0.64457,-0.19136,0.20258,-0.08134,0.93581
