player_id,window,p_lo,p_hi,delta
3,1997-1999,-0.05666668656857317,-0.0774941016910333,-0.020827415122460127
15,1997-1999,2.02719420337905,1.2759905565425373,-0.7512036468365129
21,1997-1999,1.8397049450457232,0.9860767840144169,-0.8536281610313063
22,1997-1999,0.754826741480263,0.30922696962111706,-0.4455997718591459
23,1997-1999,-0.10351761280332179,0.4769426595745047,0.5804602723778265
26,1997-1999,-0.5607752317132216,-0.6805780302258977,-0.11980279851267606
28,1997-1999,-1.2675528101874687,-1.2960372213452156,-0.028484411157746914
29,1997-1999,-2.079669855401808,-2.163514988383061,-0.08384513298125285
42,1997-1999,0.13145147122395753,-0.1284988323589665,-0.25995030358292404
43,1997-1999,1.6407632741415146,1.0741709458394508,-0.5665923283020637
45,1997-1999,1.3214625300829057,0.8319235213948758,-0.4895390086880299
49,1997-1999,-0.13208946343633704,-0.8748265744123274,-0.7427371109759904
51,1997-1999,0.6592215655959424,0.1368843303557719,-0.5223372352401705
53,1997-1999,2.0504019160803275,1.7272301632882148,-0.32317175279211274
54,1997-1999,-0.3659102225662846,-0.4687426858436581,-0.1028324632773735
56,1997-1999,4.288344040542741,3.0112185037586015,-1.2771255367841396
57,1997-1999,2.467081621445648,1.250158400050264,-1.2169232213953842
63,1997-1999,0.9298810219639815,0.5499574521910391,-0.3799235697729424
64,1997-1999,2.132801254925174,2.0020542888662245,-0.13074696605894953
67,1997-1999,-1.5516479725723198,-1.2173543910817672,0.33429358149055255
70,1997-1999,2.0102353205169163,0.9707069593085442,-1.039528361208372
72,1997-1999,2.6633643189414924,1.8067883020755644,-0.856576016865928
76,1997-1999,0.8063883556785436,0.507658932586922,-0.29872942309162165
77,1997-1999,0.01102758367572142,-0.28795596125338513,-0.29898354492910656
84,1997-1999,4.0122523765148435,2.9042541590083566,-1.1079982175064869
85,1997-1999,1.2606826646278735,0.7288094597463071,-0.5318732048815664
87,1997-1999,0.49034083196481754,-0.4034494232718607,-0.8937902552366782
89,1997-1999,3.4254105984142216,2.3177206248119573,-1.1076899736022643
93,1997-1999,0.5419507876222823,-0.21240899384234524,-0.7543597814646276
95,1997-1999,-0.5559836534981064,-0.7312222400804693,-0.1752385865823629
96,1997-1999,3.155672842556553,2.863057667960781,-0.29261517459577213
98,1997-1999,1.9431862525453432,1.325676502328331,-0.6175097502170122
100,1997-1999,-1.3225026589380404,-1.0204356425018002,0.30206701643624023
103,1997-1999,1.4974066536753674,0.9086160759319855,-0.588790577743382
105,1997-1999,1.0370981721616588,0.8078653014431282,-0.2292328707185306
107,1997-1999,2.5174999613860125,2.1434998059319383,-0.37400015545407417
109,1997-1999,1.008568008148793,0.6496802481065439,-0.3588877600422492
111,1997-1999,1.2110888148475736,0.7449482033572663,-0.4661406114903073
120,1997-1999,3.108537983206168,2.1604330578765825,-0.9481049253295857
121,1997-1999,1.1166070876829088,0.7321377586120349,-0.38446932907087394
123,1997-1999,1.8715998288449402,1.0635794414096935,-0.8080203874352467
124,1997-1999,1.0820215480640392,0.6447948700953662,-0.437226677968673
128,1997-1999,0.04994141666950721,-0.2300788587957392,-0.2800202754652464
133,1997-1999,2.6252058713067226,1.7937295653916903,-0.8314763059150323
136,1997-1999,-0.2754148458411656,-0.47948980930063295,-0.20407496345946735
137,1997-1999,1.1564927784866221,0.8422948212196648,-0.3141979572669573
138,1997-1999,-1.039124600050481,-1.1499825179944954,-0.11085791794401434
145,1997-1999,1.925424014072405,1.239388658157136,-0.686035355915269
146,1997-1999,0.5290302004657137,0.20131150861477706,-0.3277186918509366
147,1997-1999,0.7765594729894433,0.3776762218116433,-0.3988832511778
164,1997-1999,0.1777985570468558,-0.19086827373304324,-0.36866683077989904
165,1997-1999,2.383690263332834,1.7339458077110277,-0.6497444556218062
166,1997-1999,1.5911356744689524,1.4234060192400508,-0.1677296552289016
168,1997-1999,0.8290363848220241,0.3512498364257728,-0.47778654839625134
177,1997-1999,1.3649522005032322,0.5848375454791781,-0.7801146550240541
