season,side,team,raw,adjusted,selective,adj_tov,adj_oreb,adj_chance,adj_fga_rate,adj_ft,adj_ftr,adj_fg3,adj_rim,adj_mid,adj_rim_share,adj_mid_share,adj_thr_share,first_actual,truth,w
1997,off,1610612737,105.90753496088287,106.04633299362294,106.28100806195367,105.93259444098625,105.88674354130217,105.73055783636,105.87780782715033,105.82621416954802,105.9608335239229,105.82666826704026,106.14638209616578,106.14698927211347,105.92205774719417,105.88645487720001,105.88385860228338,104.75666758317294,108.27642720568151,3661
1997,off,1610612738,100.53574966002628,100.94637853982788,101.26100375785988,100.6144698960425,100.73474496566928,100.37887062037578,100.32293484330941,100.5074395363133,100.6877070377323,101.26414094842112,102.53655275030172,98.12929020028173,100.60643368378206,100.56419897021668,100.54570743641547,100.2997002997003,105.32603285216526,4018
1997,off,1610612739,106.1089075785812,104.45604313713471,104.71801897849276,106.2348614567795,106.2015535730751,106.15363711068017,105.74927312500978,106.21759981944656,106.37119315809174,104.43624816797467,105.96534855393425,105.94619565945987,106.13713090101484,106.12755347847174,106.10404971349128,105.5156564205688,101.69293636894338,3426
1997,off,1610612741,112.62147359094664,109.95649461390366,110.338895272626,111.67519711196239,112.11081761284143,112.66411596413893,112.14036280343016,112.60604875825958,112.95998546955421,112.5761798215546,112.79570672433897,111.32895592514447,112.64529116211631,112.63515261829573,112.62215974949736,111.95304162219851,113.65333333333334,3750
1997,off,1610612742,101.34125298445383,102.97457513748436,103.11932561087835,101.69009457866056,101.43747111311886,101.22282901735022,101.33005364127641,101.6062010205598,101.3878212105358,101.91402023253984,101.02521229186513,102.0991756167843,101.33288451190545,101.33635802888817,101.34113749024931,101.05960264900662,98.39061647572287,3666
1997,off,1610612743,102.66516103789328,102.66516896657211,102.77611525321575,102.87707053605938,102.71008432594424,102.61126899054145,102.58080430525312,102.55789590654383,102.79965708967813,102.08801511466365,103.49824625240626,102.2371407707141,102.67485010382475,102.67784812170864,102.65366522225531,102.25856697819314,104.33316035288013,3854
1997,off,1610612744,106.40418770935987,106.07338746101422,105.7768860342869,106.65733024803355,106.43988085432531,106.5478973872291,106.49550353076673,106.10419203332371,106.31458297341446,106.16629053127288,105.99993132263181,106.52096642691569,106.448968578707,106.42529804624913,106.40364245486926,105.6,105.53079947575361,3815
1997,off,1610612745,107.28821005820984,107.34476818290234,107.1381646672558,107.94053064992018,107.32765596008527,107.42340984528448,107.39800296797254,107.26742614842703,107.15502258691181,107.3278839279394,106.85578864378417,106.99813922200903,107.2929558355007,107.2580036260195,107.2781353463959,107.36484721859493,108.35515976951284,3818
1997,off,1610612746,100.74896184142017,102.26280954311555,102.50360651340328,101.08910466283187,100.65765832183837,100.51087473036552,100.71123650951503,100.74883886937259,100.74143019308757,100.98375950437331,100.90444198656508,101.86874604015539,100.75604358902757,100.76909731518484,100.76238334869355,101.0540184453228,106.4039408866995,3857
1997,off,1610612747,105.22806461582647,105.76920261102124,105.55273663886862,105.14415210620243,105.21802158873804,105.1620724083098,105.58544413432381,105.82503489933268,104.97922605951447,104.72233876883364,105.24015982405133,105.80017379488288,105.18822615133222,105.19004905232161,105.22816963191187,105.08739890425254,108.75912408759125,3836
