season,players,poss_off,poss_def,fgm_unast,fgm_ast,tov_all,tov_stolen,foul_off,blk,blk_rus,blk_rim,blk_3,stl,foul_loose,foul_tech,goaltend,unast_share,russell_share,rim_share,three_share,stolen_share,pbp_fgm,box_fgm,pbp_tov,box_tov,pbp_blk,box_blk,pbp_stl,box_stl
1997,489,1092075.0,1092075.0,3.054185838884692,4.800036627521004,3.276514891376508,1.786415768147792,0.33413456035528694,1.0687910628848751,0.6145182336377996,0.735480621752169,0.0296682920129112,1.786415768147792,0.32964768903234665,0.10274019641508138,0.023441613442300207,0.3888590948306013,0.5749657299520219,0.6881425633995888,0.027758738862234407,0.5452182661673467,85774.0,85777.0,35782.0,35778.0,11672.0,11674.0,19509.0,19486.0
1998,475,1093555.0,1093555.0,3.017406531907403,4.7904312083068525,3.226906739944493,1.8231364677588233,0.321520179597734,1.1030080791546835,0.621550813630773,0.5836926354870126,0.020209317318287602,1.8231364677588233,0.3500509805176694,0.10900229069411232,0.04224753213144286,0.38645866273145707,0.5635052230144255,0.5291825567899188,0.01832200298457967,0.564979596463387,85383.0,85383.0,35288.0,35287.0,12062.0,12062.0,19937.0,19943.0
1999,478,658145.0,658145.0,2.963024865341224,4.565559261257017,3.227404295406027,1.8403239407729297,0.37544917913225806,1.093376079739267,0.6307120771258613,0.5453205600589536,0.02552628979936032,1.8403239407729297,0.3476437563150977,0.11258917107932141,0.03904914570497382,0.39357000141274295,0.5768482490272373,0.49874930516953864,0.023346303501945526,0.5702179746716256,49549.0,49550.0,21241.0,21242.0,7196.0,7196.0,12112.0,12113.0
2000,484,1127540.0,1127540.0,3.0570977526296184,4.711229756815722,3.13709491459283,1.6732887525054543,0.4985188995512354,1.0902495698600492,0.6269400642105823,0.5295599269205526,0.02483282189545382,1.6732887525054543,0.331163417705802,0.12168082728772371,0.034765950653635344,0.3935335822173511,0.5750427072317579,0.48572358252664116,0.02277719027088587,0.5333879905009612,87591.0,87591.0,35372.0,35372.0,12293.0,12293.0,18867.0,18868.0
2001,489,1105390.0,1105390.0,2.992428011832928,4.684952822080895,3.0978206786744953,1.682664037127168,0.4545002216412307,1.1312749346384534,0.6639285681976497,0.5480418675761496,0.022706917920371997,1.682664037127168,0.31509241082332934,0.13352753326880107,0.04713268620125024,0.3897719908089318,0.5868852459016394,0.48444622151139544,0.020071971211515393,0.5431767076482785,84865.0,84865.0,34243.0,34242.0,12505.0,12505.0,18600.0,18600.0
2002,490,1095565.0,1095565.0,3.092468269796863,4.758366687508272,2.9985441301976605,1.6918211151323748,0.4256251340632459,1.134026735063643,0.6700652174905186,0.6063537991812444,0.025375034799395745,1.6918211151323748,0.3268633079735114,0.13426861938816959,0.06152076782299544,0.393903105416749,0.5908725048293625,0.5346909207984546,0.02237604636188023,0.564214179172628,86011.0,86011.0,32851.0,32853.0,12424.0,12422.0,18535.0,18538.0
2003,471,1100955.0,1100955.0,3.070425221739308,4.644422342420898,3.082142321893265,1.7152381341653382,0.4257213055937799,1.083423028189163,0.6326325780799397,0.6106516615120509,0.021980916567888788,1.7152381341653382,0.3256263879995095,0.11871511551334976,0.056496405393499274,0.3979890978019002,0.5839201877934272,0.5636317907444668,0.02028839704896043,0.5565084136386409,84937.0,84937.0,33933.0,33933.0,11928.0,11928.0,18884.0,18884.0
2004,483,1090195.0,1090195.0,2.9900155476772503,4.646691646907204,3.106508468668449,1.7301491934929072,0.43249143501850584,1.1027385009103876,0.6378675374588949,0.6562128793472727,0.025408298515403206,1.7301491934929072,0.3096693710758167,0.10658643637147482,0.05521947908401707,0.39153204011771064,0.5784395275328564,0.5950756945599733,0.023041091332556978,0.5569433371718783,83255.0,83254.0,33867.0,33866.0,12022.0,12022.0,18862.0,18864.0
2005,506,1138500.0,1138500.0,3.170223978919631,4.597452788757137,2.993763724198507,1.6239789196310936,0.4422485726833553,1.0507685551163812,0.6054457619675011,0.6585858585858586,0.02389108476064998,1.6239789196310936,0.3111111111111111,0.11163812033377252,0.0627140974967062,0.40813026516650647,0.5761932625595586,0.6267658614060019,0.022736771712781077,0.5424539373312991,88435.0,88435.0,34084.0,34084.0,11963.0,11963.0,18489.0,18489.0
2006,499,1132890.0,1132890.0,3.306146227789106,4.476251004069239,2.9902285305722534,1.5563735225838342,0.4683596818755572,1.0203108863172947,0.5965274651554873,0.6642304195464697,0.021890916152494947,1.5563735225838342,0.2867003857391274,0.09321293329449461,0.05622787737556162,0.4248236281559785,0.5846526516134614,0.6510078726533437,0.021455143178475647,0.5204864801039084,88166.0,88166.0,33876.0,33876.0,11559.0,11560.0,17632.0,17632.0
2007,504,1148195.0,1148195.0,3.2655602924590337,4.5606364772534285,3.110360174012254,1.5508689726048275,0.4704775756731217,0.9866790919660859,0.5685445416501552,0.6485832110399365,0.021424932176154748,1.5508689726048275,0.28496901658690377,0.10155069478616437,0.05739443213043081,0.4172601825061206,0.5762203195339395,0.6573395710124459,0.021714184835378233,0.49861395010220366,89860.0,89860.0,35713.0,35713.0,11329.0,11329.0,17807.0,17807.0
2008,492,1151055.0,1151055.0,3.3154801464743215,4.648431221792182,2.8920425175165394,1.5548344779354593,0.3866018565576797,1.012201849607534,0.5820747053789784,0.6683433893254449,0.02310923457176243,1.5548344779354593,0.2564603776535439,0.08331487200872244,0.06203005069262546,0.41631303930445407,0.5750579349412067,0.6602866706720453,0.022830658312591193,0.5376250413049356,91669.0,91669.0,33289.0,33289.0,11651.0,11651.0,17897.0,17897.0
2009,494,1143840.0,1143840.0,3.4712022660511956,4.511557560497971,2.888953000419639,1.5634179605539236,0.38073506784165617,1.0330990348300462,0.5861833822912296,0.6924919569170513,0.024653797733948803,1.5634179605539236,0.2546684851028116,0.09100923206042803,0.05254231361029514,0.43483736721060123,0.5674028941355674,0.6703054920876703,0.023863924854023864,0.5411711302768951,91310.0,91310.0,33045.0,33045.0,11817.0,11817.0,17883.0,17883.0
2010,483,1152925.0,1152925.0,3.5103757833336946,4.532645228440705,2.8930763059175573,1.5402563046165187,0.39412797883643774,1.0362339267515233,0.5911919682546566,0.6905913220721209,0.020469674957174142,1.5402563046165187,0.26098835570397033,0.07918988659279658,0.053082377431316,0.4364499083360293,0.5705197957646271,0.6664434586088558,0.019753913116263497,0.5323939439364413,92730.0,92730.0,33355.0,33356.0,11947.0,11947.0,17758.0,17759.0
2011,495,1145900.0,1145900.0,3.3804869534863426,4.615324199319312,2.9174448032114495,1.5728248538266865,0.4252552578759054,1.0442446984902698,0.5874858190068941,0.5582511562963609,0.02748930971288943,1.5728248538266865,0.26459551444279605,0.09992145911510604,0.05654943712365826,0.4227822404610146,0.5625940163797426,0.5345980277452783,0.026324586327929132,0.5391104065089288,91624.0,91624.0,33431.0,33431.0,11966.0,11966.0,18023.0,18023.0
2012,516,915490.0,915490.0,3.351756982599482,4.536696195480016,3.016963593266994,1.6603130563960284,0.401642836076855,1.10170509781647,0.6204327737058843,0.6130050574009547,0.030475483074637627,1.6603130563960284,0.2667424002446777,0.09459415176572109,0.06040481053861867,0.42489407073028884,0.5631568510807059,0.5564148324410073,0.027662105889351578,0.5503258508327299,72218.0,72218.0,27620.0,27620.0,10086.0,10086.0,15200.0,15200.0
2013,507,1138125.0,1138125.0,3.2392751235584845,4.781109280615047,3.0132015376166943,1.6850521691378364,0.3811532125205931,1.1090170236133994,0.64,0.6430752333882482,0.030400878638110928,1.6850521691378364,0.2568259198242724,0.09313563975837452,0.05596924766611752,0.40388028307881074,0.5770876247821265,0.5798605609253684,0.027412454444620503,0.559223187729632,91282.0,91282.0,34294.0,34294.0,12622.0,12622.0,19178.0,19178.0
