system,base,k,held_out,map_o,map_d,scale_o,scale_d,o0,d0,o1,d1,o2,o3,o4,d2,d3,d4
mspi_poly2,mspi,2,2018,poly2,poly2,1.2681,1.40715,0.99889,0.9953,0.0394,-0.02129,,,,,,
mspi_poly2,mspi,2,2019,poly2,poly2,1.2681,1.40715,1.00322,0.98736,0.03621,-0.02806,,,,,,
mspi_poly2,mspi,2,2020,poly2,poly2,1.2681,1.40715,1.00064,0.98099,0.03828,-0.02806,,,,,,
mspi_poly2,mspi,2,2021,poly2,poly2,1.2681,1.40715,0.98494,0.99475,0.03812,-0.02252,,,,,,
mspi_poly2,mspi,2,2022,poly2,poly2,1.2681,1.40715,0.99779,0.98378,0.04261,-0.02545,,,,,,
mspi_poly2,mspi,2,2023,poly2,poly2,1.2681,1.40715,0.99932,0.99232,0.03858,-0.02136,,,,,,
mspi_poly2,mspi,2,2024,poly2,poly2,1.2681,1.40715,0.98887,0.98578,0.04253,-0.02607,,,,,,
mspi_poly2,mspi,2,2025,poly2,poly2,1.2681,1.40715,0.992,0.99315,0.0387,-0.02564,,,,,,
mspi_poly2,mspi,2,-1,poly2,poly2,1.2681,1.40715,0.99697,0.99216,0.0391,-0.02357,,,,,,
mspi_hinge,mspi,2,1998,hinge,hinge,1.2681,1.40715,1.08779,0.88542,0.935,1.09861,,,,,,
mspi_hinge,mspi,2,1999,hinge,hinge,1.2681,1.40715,1.12212,0.88517,0.89185,1.09629,,,,,,
mspi_hinge,mspi,2,2000,hinge,hinge,1.2681,1.40715,1.11111,0.87343,0.91192,1.11079,,,,,,
mspi_hinge,mspi,2,2001,hinge,hinge,1.2681,1.40715,1.09294,0.89472,0.92575,1.09168,,,,,,
mspi_hinge,mspi,2,2002,hinge,hinge,1.2681,1.40715,1.10476,0.8782,0.91207,1.11314,,,,,,
mspi_hinge,mspi,2,2003,hinge,hinge,1.2681,1.40715,1.10496,0.88914,0.91594,1.10584,,,,,,
mspi_hinge,mspi,2,2004,hinge,hinge,1.2681,1.40715,1.10265,0.89647,0.91671,1.07693,,,,,,
mspi_hinge,mspi,2,2005,hinge,hinge,1.2681,1.40715,1.0867,0.90519,0.93597,1.08163,,,,,,
mspi_hinge,mspi,2,2006,hinge,hinge,1.2681,1.40715,1.09846,0.89134,0.91879,1.08194,,,,,,
mspi_hinge,mspi,2,2007,hinge,hinge,1.2681,1.40715,1.09514,0.90373,0.94192,1.07539,,,,,,
mspi_hinge,mspi,2,2008,hinge,hinge,1.2681,1.40715,1.12715,0.88894,0.85508,1.08732,,,,,,
mspi_hinge,mspi,2,2009,hinge,hinge,1.2681,1.40715,1.13117,0.88131,0.89619,1.09441,,,,,,
mspi_hinge,mspi,2,2010,hinge,hinge,1.2681,1.40715,1.11189,0.87753,0.90782,1.10489,,,,,,
mspi_hinge,mspi,2,2011,hinge,hinge,1.2681,1.40715,1.13176,0.89417,0.87859,1.08413,,,,,,
mspi_hinge,mspi,2,2012,hinge,hinge,1.2681,1.40715,1.12247,0.88798,0.89286,1.09444,,,,,,
mspi_hinge,mspi,2,2013,hinge,hinge,1.2681,1.40715,1.09623,0.90878,0.92487,1.07904,,,,,,
mspi_hinge,mspi,2,2014,hinge,hinge,1.2681,1.40715,1.12489,0.90283,0.90232,1.10018,,,,,,
mspi_hinge,mspi,2,2015,hinge,hinge,1.2681,1.40715,1.11957,0.88882,0.87276,1.11089,,,,,,
mspi_hinge,mspi,2,2016,hinge,hinge,1.2681,1.40715,1.10609,0.88287,0.93236,1.10062,,,,,,
mspi_hinge,mspi,2,2017,hinge,hinge,1.2681,1.40715,1.10503,0.89397,0.90456,1.096,,,,,,
mspi_hinge,mspi,2,2018,hinge,hinge,1.2681,1.40715,1.11458,0.89842,0.90415,1.0899,,,,,,
mspi_hinge,mspi,2,2019,hinge,hinge,1.2681,1.40715,1.10037,0.86649,0.93178,1.10677,,,,,,
mspi_hinge,mspi,2,2020,hinge,hinge,1.2681,1.40715,1.11272,0.8656,0.90954,1.09619,,,,,,
mspi_hinge,mspi,2,2021,hinge,hinge,1.2681,1.40715,1.09262,0.89453,0.90081,1.09303,,,,,,
mspi_hinge,mspi,2,2022,hinge,hinge,1.2681,1.40715,1.12293,0.87568,0.89556,1.09094,,,,,,
mspi_hinge,mspi,2,2023,hinge,hinge,1.2681,1.40715,1.10975,0.89685,0.91179,1.08589,,,,,,
mspi_hinge,mspi,2,2024,hinge,hinge,1.2681,1.40715,1.11355,0.87932,0.88704,1.09229,,,,,,
mspi_hinge,mspi,2,2025,hinge,hinge,1.2681,1.40715,1.10499,0.88434,0.90021,1.10091,,,,,,
mspi_hinge,mspi,2,-1,hinge,hinge,1.2681,1.40715,1.10909,0.88826,0.90764,1.09426,,,,,,
mspi_linear+unseen,mspi,2,1998,linear+unseen,linear+unseen,1.2681,1.40715,0.99201,0.98793,-3.94478,2.8478,,,,,,
mspi_linear+unseen,mspi,2,1999,linear+unseen,linear+unseen,1.2681,1.40715,0.9972,0.98529,-3.87483,2.94276,,,,,,
mspi_linear+unseen,mspi,2,2000,linear+unseen,linear+unseen,1.2681,1.40715,0.99832,0.98897,-3.88449,2.94209,,,,,,
mspi_linear+unseen,mspi,2,2001,linear+unseen,linear+unseen,1.2681,1.40715,0.99303,0.98915,-3.98355,2.80998,,,,,,
mspi_linear+unseen,mspi,2,2002,linear+unseen,linear+unseen,1.2681,1.40715,0.99406,0.99169,-3.80669,2.91432,,,,,,
mspi_linear+unseen,mspi,2,2003,linear+unseen,linear+unseen,1.2681,1.40715,0.99998,0.99101,-3.76595,3.30144,,,,,,
mspi_linear+unseen,mspi,2,2004,linear+unseen,linear+unseen,1.2681,1.40715,0.99226,0.98015,-4.07473,3.00434,,,,,,
mspi_linear+unseen,mspi,2,2005,linear+unseen,linear+unseen,1.2681,1.40715,0.99326,0.9856,-3.80501,2.97272,,,,,,
mspi_linear+unseen,mspi,2,2006,linear+unseen,linear+unseen,1.2681,1.40715,0.99363,0.97896,-3.81924,2.9836,,,,,,
mspi_linear+unseen,mspi,2,2007,linear+unseen,linear+unseen,1.2681,1.40715,0.9985,0.9833,-4.15784,2.95435,,,,,,
mspi_linear+unseen,mspi,2,2008,linear+unseen,linear+unseen,1.2681,1.40715,0.98693,0.98235,-3.97729,2.98786,,,,,,
mspi_linear+unseen,mspi,2,2009,linear+unseen,linear+unseen,1.2681,1.40715,1.00531,0.98384,-3.7599,2.89583,,,,,,
mspi_linear+unseen,mspi,2,2010,linear+unseen,linear+unseen,1.2681,1.40715,0.99449,0.98832,-4.08369,2.87629,,,,,,
mspi_linear+unseen,mspi,2,2011,linear+unseen,linear+unseen,1.2681,1.40715,0.99658,0.98274,-3.9467,2.88093,,,,,,
mspi_linear+unseen,mspi,2,2012,linear+unseen,linear+unseen,1.2681,1.40715,0.99829,0.98521,-3.8764,2.9805,,,,,,
mspi_linear+unseen,mspi,2,2013,linear+unseen,linear+unseen,1.2681,1.40715,0.99272,0.98632,-4.00247,2.95229,,,,,,
mspi_linear+unseen,mspi,2,2014,linear+unseen,linear+unseen,1.2681,1.40715,1.00235,0.99545,-3.8635,2.91634,,,,,,
mspi_linear+unseen,mspi,2,2015,linear+unseen,linear+unseen,1.2681,1.40715,0.98823,0.99427,-3.91904,3.00767,,,,,,
mspi_linear+unseen,mspi,2,2016,linear+unseen,linear+unseen,1.2681,1.40715,1.00154,0.98772,-3.93186,2.80016,,,,,,
mspi_linear+unseen,mspi,2,2017,linear+unseen,linear+unseen,1.2681,1.40715,0.99154,0.9894,-3.88437,2.91818,,,,,,
mspi_linear+unseen,mspi,2,2018,linear+unseen,linear+unseen,1.2681,1.40715,0.9998,0.98678,-3.87708,3.0753,,,,,,
mspi_linear+unseen,mspi,2,2019,linear+unseen,linear+unseen,1.2681,1.40715,0.99829,0.98445,-3.98823,2.81878,,,,,,
mspi_linear+unseen,mspi,2,2020,linear+unseen,linear+unseen,1.2681,1.40715,0.99867,0.9774,-3.85727,2.91806,,,,,,
mspi_linear+unseen,mspi,2,2021,linear+unseen,linear+unseen,1.2681,1.40715,0.98365,0.98841,-3.87016,2.85021,,,,,,
mspi_linear+unseen,mspi,2,2022,linear+unseen,linear+unseen,1.2681,1.40715,0.99627,0.9809,-4.17183,2.63296,,,,,,
mspi_linear+unseen,mspi,2,2023,linear+unseen,linear+unseen,1.2681,1.40715,0.99635,0.98435,-3.9711,2.942,,,,,,
mspi_linear+unseen,mspi,2,2024,linear+unseen,linear+unseen,1.2681,1.40715,0.99231,0.98255,-3.70694,2.81757,,,,,,
mspi_linear+unseen,mspi,2,2025,linear+unseen,linear+unseen,1.2681,1.40715,0.99123,0.98915,-3.75772,2.75329,,,,,,
mspi_linear+unseen,mspi,2,-1,linear+unseen,linear+unseen,1.2681,1.40715,0.99524,0.98612,-3.91226,2.9171,,,,,,
mspi_linear+bins,mspi,2,1998,linear+bins,linear+bins,1.2681,1.40715,0.9213,0.93629,-3.95961,2.44233,-1.00148,-0.95416,-0.35924,2.17935,1.04678,0.32473
mspi_linear+bins,mspi,2,1999,linear+bins,linear+bins,1.2681,1.40715,0.92496,0.93341,-3.90065,2.562,-1.03283,-0.91284,-0.36702,2.0541,1.07865,0.30869
mspi_linear+bins,mspi,2,2000,linear+bins,linear+bins,1.2681,1.40715,0.9228,0.93563,-3.90464,2.54833,-1.08011,-0.8831,-0.39576,2.10086,1.03652,0.33151
mspi_linear+bins,mspi,2,2001,linear+bins,linear+bins,1.2681,1.40715,0.92551,0.93649,-4.00561,2.37547,-0.9149,-0.88784,-0.34919,2.15393,1.06757,0.29539
mspi_linear+bins,mspi,2,2002,linear+bins,linear+bins,1.2681,1.40715,0.92137,0.93827,-3.83461,2.514,-0.94391,-0.92186,-0.38372,2.11708,1.08215,0.30789
mspi_linear+bins,mspi,2,2003,linear+bins,linear+bins,1.2681,1.40715,0.93588,0.93746,-3.77985,2.87145,-1.02245,-0.81612,-0.32193,2.03906,1.0357,0.35426
mspi_linear+bins,mspi,2,2004,linear+bins,linear+bins,1.2681,1.40715,0.9207,0.92928,-4.0965,2.59511,-0.97442,-0.91527,-0.36331,2.17438,1.04574,0.28667
mspi_linear+bins,mspi,2,2005,linear+bins,linear+bins,1.2681,1.40715,0.92333,0.93349,-3.83233,2.60514,-0.98877,-0.87956,-0.36614,1.9844,1.05944,0.28936
mspi_linear+bins,mspi,2,2006,linear+bins,linear+bins,1.2681,1.40715,0.9213,0.92758,-3.83782,2.58795,-1.01065,-0.91596,-0.37809,2.07659,1.07442,0.31591
mspi_linear+bins,mspi,2,2007,linear+bins,linear+bins,1.2681,1.40715,0.9314,0.93217,-4.16416,2.51957,-0.96222,-0.89701,-0.33163,2.08869,1.04456,0.30096
mspi_linear+bins,mspi,2,2008,linear+bins,linear+bins,1.2681,1.40715,0.91515,0.93104,-3.99356,2.58706,-1.02362,-0.90848,-0.36304,2.12035,1.03008,0.29035
mspi_linear+bins,mspi,2,2009,linear+bins,linear+bins,1.2681,1.40715,0.93563,0.92982,-3.79574,2.46203,-0.91411,-0.86839,-0.38161,2.23463,1.06835,0.30622
mspi_linear+bins,mspi,2,2010,linear+bins,linear+bins,1.2681,1.40715,0.92315,0.93676,-4.10018,2.47643,-1.06093,-0.92951,-0.3447,2.11741,1.05911,0.28959
mspi_linear+bins,mspi,2,2011,linear+bins,linear+bins,1.2681,1.40715,0.92431,0.93441,-3.96104,2.48519,-0.97292,-0.90166,-0.38503,2.02383,1.08214,0.26635
mspi_linear+bins,mspi,2,2012,linear+bins,linear+bins,1.2681,1.40715,0.93162,0.93351,-3.90485,2.57899,-1.00582,-0.82414,-0.3515,2.11891,1.03263,0.32596
mspi_linear+bins,mspi,2,2013,linear+bins,linear+bins,1.2681,1.40715,0.91719,0.93578,-4.00889,2.52076,-1.04438,-0.9285,-0.40192,2.11133,1.16121,0.26629
mspi_linear+bins,mspi,2,2014,linear+bins,linear+bins,1.2681,1.40715,0.93026,0.94612,-3.8852,2.53657,-0.95276,-0.89845,-0.3722,1.95502,1.05719,0.28579
mspi_linear+bins,mspi,2,2015,linear+bins,linear+bins,1.2681,1.40715,0.92081,0.94389,-3.94196,2.62569,-0.95279,-0.90912,-0.3326,2.05594,1.04163,0.30245
mspi_linear+bins,mspi,2,2016,linear+bins,linear+bins,1.2681,1.40715,0.92987,0.93822,-3.94441,2.41584,-0.91832,-0.98114,-0.34718,2.06328,1.03566,0.28745
mspi_linear+bins,mspi,2,2017,linear+bins,linear+bins,1.2681,1.40715,0.92031,0.93563,-3.91362,2.52134,-1.03057,-0.91412,-0.35707,2.12728,1.09808,0.32766
mspi_linear+bins,mspi,2,2018,linear+bins,linear+bins,1.2681,1.40715,0.92747,0.93481,-3.91578,2.71011,-1.22324,-0.91844,-0.34541,2.24493,1.12896,0.28686
mspi_linear+bins,mspi,2,2019,linear+bins,linear+bins,1.2681,1.40715,0.92594,0.93266,-3.99871,2.42713,-0.93199,-1.00641,-0.3594,2.09086,1.07996,0.313
mspi_linear+bins,mspi,2,2020,linear+bins,linear+bins,1.2681,1.40715,0.92265,0.92721,-3.88819,2.54224,-1.05722,-0.96068,-0.39641,2.05407,1.14352,0.29227
mspi_linear+bins,mspi,2,2021,linear+bins,linear+bins,1.2681,1.40715,0.9134,0.93803,-3.87345,2.46071,-0.98759,-0.93252,-0.3596,2.02873,1.08437,0.29634
mspi_linear+bins,mspi,2,2022,linear+bins,linear+bins,1.2681,1.40715,0.92807,0.93337,-4.17345,2.29831,-0.98303,-0.97625,-0.29855,1.89285,1.04111,0.28648
mspi_linear+bins,mspi,2,2023,linear+bins,linear+bins,1.2681,1.40715,0.92705,0.93417,-3.99688,2.55408,-1.00732,-0.89083,-0.36128,2.13045,1.05495,0.30512
mspi_linear+bins,mspi,2,2024,linear+bins,linear+bins,1.2681,1.40715,0.92961,0.93105,-3.74063,2.39981,-0.93359,-0.82909,-0.33251,2.08863,1.10076,0.30932
mspi_linear+bins,mspi,2,2025,linear+bins,linear+bins,1.2681,1.40715,0.92357,0.93842,-3.77957,2.41568,-1.0219,-0.92677,-0.33425,2.16884,1.01668,0.3016
mspi_linear+bins,mspi,2,-1,linear+bins,linear+bins,1.2681,1.40715,0.9248,0.93482,-3.93244,2.52216,-0.99793,-0.91028,-0.35871,2.09288,1.06736,0.30198
mspi_linear+log,mspi,2,1998,linear+log,linear+log,1.2681,1.40715,0.85673,0.92199,0.74342,-0.63112,,,,,,
mspi_linear+log,mspi,2,1999,linear+log,linear+log,1.2681,1.40715,0.85992,0.91989,0.74945,-0.63207,,,,,,
mspi_linear+log,mspi,2,2000,linear+log,linear+log,1.2681,1.40715,0.85992,0.92172,0.74666,-0.63472,,,,,,
mspi_linear+log,mspi,2,2001,linear+log,linear+log,1.2681,1.40715,0.85882,0.92278,0.73789,-0.62131,,,,,,
mspi_linear+log,mspi,2,2002,linear+log,linear+log,1.2681,1.40715,0.86028,0.92301,0.7352,-0.65034,,,,,,
mspi_linear+log,mspi,2,2003,linear+log,linear+log,1.2681,1.40715,0.87222,0.92352,0.69792,-0.65007,,,,,,
mspi_linear+log,mspi,2,2004,linear+log,linear+log,1.2681,1.40715,0.85242,0.91234,0.76822,-0.6397,,,,,,
mspi_linear+log,mspi,2,2005,linear+log,linear+log,1.2681,1.40715,0.86287,0.91855,0.72546,-0.625,,,,,,
mspi_linear+log,mspi,2,2006,linear+log,linear+log,1.2681,1.40715,0.8582,0.91229,0.74669,-0.64919,,,,,,
mspi_linear+log,mspi,2,2007,linear+log,linear+log,1.2681,1.40715,0.86409,0.91781,0.74472,-0.6226,,,,,,
mspi_linear+log,mspi,2,2008,linear+log,linear+log,1.2681,1.40715,0.852,0.9158,0.74134,-0.62891,,,,,,
mspi_linear+log,mspi,2,2009,linear+log,linear+log,1.2681,1.40715,0.8703,0.91609,0.73582,-0.63717,,,,,,
mspi_linear+log,mspi,2,2010,linear+log,linear+log,1.2681,1.40715,0.85476,0.92194,0.76964,-0.62679,,,,,,
mspi_linear+log,mspi,2,2011,linear+log,linear+log,1.2681,1.40715,0.85948,0.92065,0.75273,-0.61501,,,,,,
mspi_linear+log,mspi,2,2012,linear+log,linear+log,1.2681,1.40715,0.86528,0.92099,0.7319,-0.63229,,,,,,
mspi_linear+log,mspi,2,2013,linear+log,linear+log,1.2681,1.40715,0.84782,0.92099,0.77856,-0.62907,,,,,,
mspi_linear+log,mspi,2,2014,linear+log,linear+log,1.2681,1.40715,0.86407,0.93263,0.74799,-0.60853,,,,,,
mspi_linear+log,mspi,2,2015,linear+log,linear+log,1.2681,1.40715,0.85397,0.9314,0.73935,-0.61615,,,,,,
mspi_linear+log,mspi,2,2016,linear+log,linear+log,1.2681,1.40715,0.864,0.92589,0.75043,-0.60637,,,,,,
mspi_linear+log,mspi,2,2017,linear+log,linear+log,1.2681,1.40715,0.85089,0.92126,0.76202,-0.64898,,,,,,
mspi_linear+log,mspi,2,2018,linear+log,linear+log,1.2681,1.40715,0.86017,0.91953,0.76083,-0.65862,,,,,,
