target,off,dfn,mult,mult_d,lam,lam_d,n_train,season,n,sd_prior_o,sd_resid_o,sd_rating_o,share_o,corr_o,corr_pr_o,sd_prior_d,sd_resid_d,sd_rating_d,share_d,corr_d,corr_pr_d
ship,xpts_ft,x3def,0.125,0.03125,1431.548216825,357.88705420625,3,2014,390,1.4292895356984179,1.583256489590101,2.3947553073065335,0.43709945481646245,0.7591647989822041,0.2906754455395893,0.855469437770192,2.2742584252062246,2.685348365316657,0.7172628816969986,0.5743889048229697,0.30874015747233774
ship,xpts_ft,x3def,0.125,0.03125,1431.548216825,357.88705420625,3,2019,414,1.4097070199117694,1.590023190026221,2.249720887462381,0.49951626697181134,0.6717881270423421,0.11115512734513548,0.8205862755210838,2.079919955883396,2.4377559409406424,0.7279688507519216,0.514720321170939,0.22278256117379197
ship,xpts_ft,x3def,0.125,0.03125,1431.548216825,357.88705420625,3,2024,425,1.5260526732855422,1.6355391372784285,2.34972390991783,0.48449378417444733,0.7012366564996175,0.11288864953386282,0.7629057241998263,2.2396994568297335,2.6553571063101806,0.7114323645609046,0.606290708867865,0.38534700778303843
ship,xpts_ft,x3def,0.125,0.0625,1431.548216825,715.7741084125,3,2014,390,1.4292895356984179,1.5819173905700723,2.391910691064091,0.43739889436086593,0.7585939262136201,0.2889092795891572,0.855469437770192,1.8487037131980353,2.2684376607227135,0.6641725605927263,0.61178726272858,0.2914531829813037
ship,xpts_ft,x3def,0.125,0.0625,1431.548216825,715.7741084125,3,2019,414,1.4097070199117694,1.588610966406764,2.2471162825967883,0.49978592248622716,0.6710356614989176,0.10912096960891468,0.8205862755210838,1.6873901264936364,2.061670530013748,0.6698730117237309,0.5663448705128816,0.21614713865282933
ship,xpts_ft,x3def,0.125,0.0625,1431.548216825,715.7741084125,3,2024,425,1.5260526732855422,1.635379466429188,2.3492576521821285,0.484591487316486,0.7008450328813481,0.1127881765523767,0.7629057241998263,1.8329981395349126,2.2542300617953224,0.6611919753947022,0.6378732355518117,0.3708221772773449
ship,xpts_ft,x3def,0.125,0.125,1431.548216825,1431.548216825,3,2014,390,1.4292895356984179,1.5804084179244542,2.3890479593592824,0.4376117074537288,0.7580009594102985,0.2870616564256288,0.855469437770192,1.4209127393679775,1.8600309353538207,0.5835720473901157,0.6693429054027277,0.2718398802942203
ship,xpts_ft,x3def,0.125,0.125,1431.548216825,1431.548216825,3,2019,414,1.4097070199117694,1.5879745552410458,2.2450884245434173,0.5002881050582222,0.670148607946606,0.10707670025630839,0.8205862755210838,1.284936200346176,1.6899114763341212,0.5781429293687156,0.6437861907189747,0.21083419122331118
ship,xpts_ft,x3def,0.125,0.125,1431.548216825,1431.548216825,3,2024,425,1.5260526732855422,1.6362292374434715,2.3487305110370587,0.4853129928341923,0.6999398136916438,0.11190102866832684,0.7629057241998263,1.40434283822419,1.839627354024793,0.5827557540715697,0.6886796349271699,0.35474179027013697
ship,xpts_ft,x3def,0.125,0.25,1431.548216825,2863.09643365,3,2014,390,1.4292895356984179,1.5786973469419485,2.3866974482915877,0.43752514827773326,0.7576446013028328,0.28576524014836846,0.855469437770192,1.036999568265378,1.5102908476363623,0.47145035815536446,0.7463953259537861,0.2504744579342393
ship,xpts_ft,x3def,0.125,0.25,1431.548216825,2863.09643365,3,2019,414,1.4097070199117694,1.5882234109885451,2.24365621081644,0.5010840314708421,0.6691143209323002,0.1050862788414068,0.8205862755210838,0.923768447733781,1.376701934047987,0.45024241343947713,0.7421966497928427,0.20730839254521755
ship,xpts_ft,x3def,0.125,0.25,1431.548216825,2863.09643365,3,2024,425,1.5260526732855422,1.6383134334100606,2.348013635069687,0.48684728839318575,0.6984780210154208,0.11004605249123692,0.7629057241998263,1.0088487326703357,1.4697780917700198,0.471138469041207,0.7591182685245554,0.336814561847118
ship,xpts_ft,x3def,0.125,0.5,1431.548216825,5726.1928673,3,2014,390,1.4292895356984179,1.576470653840602,2.38474135416865,0.43700782713262104,0.7576483356754307,0.2852606473334612,0.855469437770192,0.7291001764700518,1.2509925103313038,0.3396760976838472,0.8302612981064607,0.22795852687729878
