player,context,prior_o,rating_o,prior_d,rating_d
Shai Gilgeous-Alexander,actual,5.018832561765631,6.767394685315252,0.30691818016284944,1.8179222102865698
Nikola Jokić,actual,4.0263320699226774,6.854568914822673,1.067763850696291,1.5438073187398742
Draymond Green,actual,0.2278990701155843,-0.7646682465769108,1.9770905680759672,3.365267185350116
Trae Young,actual,4.2952253329973935,4.304045108618286,-1.1100880476892283,-2.259977780039299
Shai Gilgeous-Alexander,average,5.392469761913784,7.1761450414523456,0.30691818016284944,1.771891072927637
Nikola Jokić,average,4.091086639681061,7.023096236682296,1.067763850696291,1.5238552767862525
Draymond Green,average,0.1389520029576583,-0.7129999536833176,1.9770905680759672,3.331623595964005
Trae Young,average,4.029756669153089,4.239120545512893,-1.1100880476892283,-2.279572878592956
Shai Gilgeous-Alexander,ATL,5.405826164275357,7.156955678263417,0.30691818016284944,1.7653677912907852
Nikola Jokić,ATL,3.9703399072153616,6.9559116451389515,1.067763850696291,1.5185817380902498
Draymond Green,ATL,-0.007621097574855851,-0.751330829225229,1.9770905680759672,3.3321937659724776
Trae Young,ATL,4.03824680222111,4.245943972324194,-1.1100880476892283,-2.2855896971498724
Shai Gilgeous-Alexander,BOS,5.053177832395666,6.869215676261918,0.30691818016284944,1.7405003004381112
Nikola Jokić,BOS,3.484213282286709,6.727646838805271,1.067763850696291,1.498351868529894
Draymond Green,BOS,-0.359016307801733,-0.8954639908640184,1.9770905680759672,3.318642859757605
Trae Young,BOS,3.446183500646426,3.860305161808856,-1.1100880476892283,-2.3031454387470367
Shai Gilgeous-Alexander,CLE,5.329931941972632,7.110957395594246,0.30691818016284944,1.764131945518717
Nikola Jokić,CLE,3.9965956413049897,6.9848500896048105,1.067763850696291,1.5244250377052366
Draymond Green,CLE,0.013395803350478408,-0.7513114129639733,1.9770905680759672,3.3323272924038
Trae Young,CLE,3.7638178349175684,4.064820001988183,-1.1100880476892283,-2.2859643749465386
Shai Gilgeous-Alexander,NOP,5.379178001282127,7.155989418569139,0.30691818016284944,1.7683914822632198
Nikola Jokić,NOP,3.9313866286217483,6.928277792118914,1.067763850696291,1.5229431921082481
Draymond Green,NOP,0.09712038940572687,-0.6980136370840061,1.9770905680759672,3.3276298601850653
Trae Young,NOP,3.891802406312652,4.15303804329808,-1.1100880476892283,-2.282129300197096
Shai Gilgeous-Alexander,CHI,4.914837448913007,6.8838795358235885,0.30691818016284944,1.7686468384327791
Nikola Jokić,CHI,3.642011331386558,6.771819535935284,1.067763850696291,1.528440348628491
Draymond Green,CHI,0.3416042680723681,-0.530187950715461,1.9770905680759672,3.331479446989536
Trae Young,CHI,3.8161763573313743,4.096029478791086,-1.1100880476892283,-2.271727957464182
Shai Gilgeous-Alexander,DAL,5.35052148214497,7.172098094368704,0.30691818016284944,1.7785171516988423
Nikola Jokić,DAL,4.075929183895808,6.975192426739858,1.067763850696291,1.53374191454486
Draymond Green,DAL,0.31884159026971703,-0.6165480862292368,1.9770905680759672,3.3349083932897523
Trae Young,DAL,4.120552500408831,4.300780060478537,-1.1100880476892283,-2.2728879620999916
Shai Gilgeous-Alexander,DEN,5.053877652189389,6.869089116153515,0.30691818016284944,1.7404730681651075
Nikola Jokić,DEN,3.643553387877107,6.79441697678958,1.067763850696291,1.4982335526877064
Draymond Green,DEN,-0.35831648800801075,-0.8959821874711853,1.9770905680759672,3.3178774675071994
Trae Young,DEN,3.446883320440149,3.859513142094839,-1.1100880476892283,-2.3042912381393688
Shai Gilgeous-Alexander,GSW,5.449943379450072,7.2360298828824625,0.30691818016284944,1.7818086992205426
Nikola Jokić,GSW,4.585298955320343,7.282752346712522,1.067763850696291,1.5370480793462316
Draymond Green,GSW,0.16248221284329034,-0.7759596198107361,1.9770905680759672,3.334837089919791
Trae Young,GSW,4.059633389306011,4.268626965200841,-1.1100880476892283,-2.275169531739409
Shai Gilgeous-Alexander,HOU,5.010231869410144,6.849790792703679,0.30691818016284944,1.7388941572415466
Nikola Jokić,HOU,3.46115400343668,6.713077461627129,1.067763850696291,1.4897099217311327
Draymond Green,HOU,-0.4537851275467343,-0.9368078306884964,1.9770905680759672,3.312855545613458
Trae Young,HOU,3.4559364351149746,3.8643498491726604,-1.1100880476892283,-2.3058465470962326
Shai Gilgeous-Alexander,LAC,5.33641254318022,7.104114450440967,0.30691818016284944,1.7593164047574747
Nikola Jokić,LAC,3.815807960390052,6.883488537383519,1.067763850696291,1.514216828671327
Draymond Green,LAC,-0.0655966307172462,-0.771636962250378,1.9770905680759672,3.331489038541582
