fg3m,fg3_miss,fg2m,fg2_miss,ftm,ft_miss,orb,drb,ast,tov,stl,blk,pf,season,poss_pct,gs_pct,age,efg,ts,p3r,ftr,fg3p,fg2p,ftp,astr,tovr,orbsh,q2,q3,m2,m3,xps,mpts,unast,russ,blkrim,loose,techflg,stolen,offoul,astrim,astsmr,astlmr,astc3,astab3,blksmr,blklmr,unastsh,russsh,blkrimsh,blk3sh,stolensh,astrimsh,astsmrsh,astlmrsh,astc3sh,astab3sh,pot_ast,unast_r,russ_r,blkrim_r,loose_r,techflg_r,stolen_r,offoul_r,astrim_r,astsmr_r,astlmr_r,astc3_r,astab3_r,blksmr_r,blklmr_r,unastsh_r,russsh_r,blkrimsh_r,blk3sh_r,stolensh_r,astrimsh_r,astsmrsh_r,astlmrsh_r,astc3sh_r,astab3sh_r,pot_ast_r,exp_yrs,exp_poss,entry_age,height,weight,draft_pick,tenure,n_teams,height2,weight15,past_apm,past_poss,past_rapm,past_apm_o,past_poss_o,past_apm_d,past_poss_d,turn,Max_Shadow,Min_Shadow,Mean_Shadow,Median_Shadow
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.31814861750391593,0.7170579554837407,0.31285694823669663,0.38767941405242745,-0.07238960620828731,-0.26015766324241996,0.08786027410746332,0.4382117558244898,-0.3904679171364965,-0.21572234248141173,5.567462024904665,1.2111972447585064,2.244004030790985,-0.17343531674883605,-0.258399928312322,7.045557948446378,2.0292973285154745,-0.21348024967082932,-0.3904679171364965,-0.3904679171364965,-0.3904679171364965,-0.16802681688495782,-0.2974178413143974,-0.11061388940660383,0.8328187130990273,-0.13279116542021707,-0.13984990927103166,-0.2590469716981766,-0.2230704097635405,-0.11493934900687637,-0.3904679171364965,-0.18628990253176905,-0.2577111834366248,0.018466211697179463,3.6690514786213693,1.4892434301854336,0.451317831716168,-0.3129713093370066,-0.3904679171364965,-0.1865222338300717,-0.3904679171364965,-0.2693024418686584,-0.06659966031658458,-0.21873883565381685,-0.26854329269693816,-0.13707951682924657,-0.3904679171364965,-0.3904679171364965,-0.29197064730097216,-0.30414725062424686,0.027221743550395777,-0.3904679171364965,-0.3118113896875252,-0.2724344878100131,-0.3904679171364965,-0.3904679171364965,-0.3904679171364965,-0.3904679171364965,0.07109446713774113,-0.3904679171364965,-0.015849694459582706,-0.275092806415124,-0.1372687427301306,-0.3904679171364965,-0.3904679171364965,-0.3904679171364965,-0.3904679171364965,-0.3904679171364965,-0.3904679171364965,-0.3904679171364965,-0.09550920953898108,-0.29475231200528457,-0.25900854529209383,-0.24113223875815223,-0.19652514334169233,-0.12992617423186617,-0.15813529206600313,-0.3163755116472881,-0.3904679171364965,-0.1751060106605215,-0.2925960853784526,-0.13803381527198397,-0.30187638934546046,-0.3904679171364965,1.7977557366166237,1.5388883188181057,2.6029297358484302,3.54238006761755,-0.14623820248024316,-0.18573533428727104,0.5258833195770442,-0.3904679171364965,-0.3904679171364965,3.7947944529391475,1.122996335871211,5.9933962038243775,-0.23210114067450338,-0.03339033238271547,-0.3904679171364965,-0.3904679171364965,0.9774813943300612,0.07945174703281659,-0.3904679171364965,-0.2762132423457834,-0.3018254891210976
-0.4557306335301063,0.8187838461469128,0.5035234118983178,0.69075416232495,-0.18304522278881227,-0.20447383110895542,0.07956059889519462,0.3396912785410138,-0.36894577362711,-0.11277274334516746,5.669615651000829,1.0299754636134717,1.9517791973814549,0.006707184633094742,-0.16708627240142573,7.314216981355769,2.1362302495824177,-0.2344536748859558,-0.30751688104307284,-0.2814118506443605,-0.32083594465084025,-0.29174284524203326,-0.1063897949999418,-0.16558572382487952,1.0322245144851705,-0.2168145346889961,-0.21054982783097023,-0.295881177489196,-0.06923563085623881,-0.22512439582412505,-0.2945060745437189,-0.19592247059037946,-0.39048439413654196,-0.2219036646941503,3.2401729933406673,1.4529663866243578,0.17925548615379394,-0.2036017234801806,-0.3986670020823565,-0.27777679542373546,-0.3720721972191064,-0.25894511725385505,-0.24677854049904382,-0.25311350468345134,-0.3421973123081466,-0.3250241003715967,-0.3193986145175061,-0.47496035325584873,-0.41771773886728875,-0.3660331943721515,-0.07277535538708423,-0.3561839504564309,-0.2489852790978745,-0.3672025794954687,-0.12916287056872966,-0.2826555611004143,-0.3419571481954002,-0.4196661288116596,-0.11543854904242853,-0.3616416713100171,-0.1947014043250115,-0.4048604730515502,-0.20456980802395935,-0.414598802841126,-0.3425130449356188,-0.5048425546334033,-0.3396315670924702,-0.463438852545188,-0.21010009656621106,-0.3819812331823013,-0.264369295418772,-0.3629305055294875,-0.3184203991600493,-0.24220287740568647,-0.3030464416503669,-0.11593655865281599,-0.4153579594134962,-0.15836820203810859,-0.31446016365002255,-0.32740581444270583,-0.35774613882151385,-0.4033188764875375,-0.478123384171709,0.5335533989973696,1.0505169125240978,1.5857029832986589,2.6050705578095594,5.032896767494279,-0.23367596581678013,-0.2866619618528068,0.6542038264184336,-0.5048425546334033,-0.421675675284394,3.493477196161857,0.6850811610356338,5.078230045549172,-0.3405471835966442,0.23808520832787083,-0.5048425546334033,-0.5048425546334033,1.1731725547060792,0.024449652606495457,-0.47282850533498605,-0.25725808379469023,-0.2697505442029085
-0.3376594059581562,0.7245083914279502,0.5500852822856114,0.5944431578850392,-0.03283225043068192,-0.1062248635302765,-0.03151205792696249,0.2414911639332002,-0.38779694727043285,-0.08903325098867763,5.49866307534878,1.0755933475836963,2.1926256113923968,-0.10020560138944641,0.11226632416920179,7.227217710837857,2.0073801772414215,-0.28404022205989793,-0.2811855753278801,-0.24169334791796238,-0.30653043140197633,-0.26579151084204355,-0.2606988957268051,-0.1823110672909869,0.7727711382493748,-0.15331779182249128,-0.024712189561590176,-0.22621298386450794,-0.1852591694398503,-0.2128350607068194,-0.3063687298344787,-0.30596763426149043,-0.3958588358324915,-0.3415805561628899,3.33122726907042,1.422602502884803,0.22325087469869487,-0.1366728804753264,-0.411148864010946,-0.1978269996891245,-0.4309918629708934,-0.40412455908769995,0.100872827020384,-0.3956968321141739,-0.42874712726723496,-0.3119354061316586,-0.3689355198817202,-0.5124309879299872,-0.35080122190193075,-0.44046174784757886,0.08497745860653938,-0.4478547411493486,-0.3822124484830383,-0.4089848741560869,-0.20322121132076681,-0.21340707637827758,-0.3054297166068377,-0.445129542071428,-0.052972559418909146,-0.34719029214325486,-0.1539425698948703,-0.2034650526408823,-0.24068165643354913,-0.3802017960181523,-0.42955049347413377,-0.4062902302720352,-0.44753800436578095,-0.4037352447068502,-0.3289714789755206,-0.3400845795421343,-0.21432358316143998,-0.3027997084708941,-0.3795464774792921,-0.21023092384384362,-0.30222225536016406,-0.12268007001512635,-0.3392218625351957,-0.2631478159462898,-0.36083327497828754,-0.2631832789784541,-0.27139948202697123,-0.23604522963626423,-0.4242350515105878,0.2058946232073275,1.9610159278816368,1.428322172202881,2.608733467911359,5.265089151589534,-0.05543654094161332,-0.3732851582181476,0.33750905456181973,-0.5124309879299872,-0.17715203353431314,3.3957529492602267,1.092905139748407,4.916733603116986,-0.3531869821425037,0.11001194164473695,-0.5124309879299872,-0.5124309879299872,1.0758407220396398,0.2282177478221291,-0.5124309879299872,-0.26516135065664986,-0.2860024649538446
-0.1283861510762124,0.5569961996156937,0.4839852401725422,0.5545648942294961,-0.06840910487334423,-0.26878977683069133,-0.05102807221586582,0.4080602282077121,-0.5102443869907315,-0.2032301773385682,5.524491173257431,1.0500681122014273,2.0770106537772004,0.16872264167567622,-0.2023285256805074,7.258541811237338,1.8620088421153058,-0.26438891451542224,-0.28898414542315065,-0.3974804681055348,-0.20256850961807796,-0.3163436060811016,-0.24491738587091458,-0.12555568752941487,0.7409523472822412,-0.24270739610435788,-0.15154034343949888,-0.17344469019299338,-0.2583285855446521,-0.37831989149868744,-0.2937988383295142,-0.3303865561043055,-0.3148128161614914,-0.22058232031732625,3.163580382524598,1.4763225874693775,0.1840781508102151,-0.12723072252693673,-0.2977008300695381,-0.23239838663269186,-0.4480826918448586,-0.39396317651966034,-0.3572427521668955,-0.3590163277935058,-0.40977598026332973,-0.33166631930833085,-0.3823595670603363,-0.42301238974047495,-0.5102443869907315,-0.39756022006934316,0.043972053480467746,-0.345566777672218,-0.39356564136223365,-0.3790762741145462,-0.21161385760313922,-0.2555050434241836,-0.34325640711505806,-0.34585063607889704,-0.04419625921307623,-0.29155309446340616,-0.1860470918161948,-0.23195290555090806,-0.21119130655592958,-0.3809108881072846,-0.37372612878760114,-0.5102443869907315,-0.431768609023236,-0.2978104139485997,-0.33134813322212864,-0.4124600340496052,-0.2688508890221016,-0.3438814617062409,-0.3503351807034186,-0.269060135196767,-0.29877232833859596,-0.1917987850329411,-0.25298304759935936,-0.38120259772212023,-0.4252744736457212,-0.3495090068576944,-0.32907284686673516,-0.3515834833098305,-0.4134580022842168,0.6996661146257402,1.57276789085501,1.5140292416425716,2.5010117272201158,5.3793008422949855,0.04403581248069722,-0.3740708992793456,0.4755716662328908,-0.5102443869907315,-0.22620303306684303,3.5248420121186315,1.171815994704956,4.97457885546424,-0.3719426458564091,-0.06524254308407833,-0.5102443869907315,-0.5102443869907315,1.1714874520447784,0.05682934892419703,-0.5102443869907315,-0.2525149942303836,-0.25619968714054625
-0.44565565471934154,0.5538565381308603,0.6471217307086203,0.6018289895602495,-0.15750628995276306,-0.24592768680704788,-0.028736706172596913,0.39424297229218214,-0.35200473388658277,-0.162854436381949,5.5222263736584525,1.1903331619161115,2.186434601540402,-0.0013972681597600389,-0.22254380945744756,7.277458752459832,1.7852488227983083,-0.28852761526345083,-0.36139386074715496,-0.1678482781737457,-0.3644376370679931,-0.3212779865526126,-0.21809694167264546,0.008528385387266291,0.8982972738694848,-0.3040664777305573,-0.2207139704055274,-0.16969391142144682,-0.23872844330336093,-0.20202692185328866,-0.321781933051307,-0.2286858640466546,-0.3635831476643609,-0.1317997683144178,3.4810412906543386,1.4257824225441995,0.12481498676703622,-0.2447564941316342,-0.44565565471934154,-0.44565565471934154,-0.3042570622092104,-0.44565565471934154,-0.3114902824392852,-0.27339092023379025,-0.40829592095138534,-0.37057110424777834,-0.44565565471934154,-0.31389430871411533,-0.3339924738255414,-0.3451327611510381,0.0837589333005439,-0.44565565471934154,-0.44565565471934154,-0.32444367063620805,-0.27188989293480237,-0.2017292776245817,-0.2712673051594171,-0.44565565471934154,0.13982898775960265,-0.2913559797653347,-0.1499594133563885,-0.3240166111744445,-0.19980789350317335,-0.4013662551563609,-0.3802776853502884,-0.27901015018654685,-0.44565565471934154,-0.3362279823481049,-0.44565565471934154,-0.2923263855110449,-0.20381315940332953,-0.3100867686418731,-0.2374385048143802,-0.2946055276997877,-0.35966075098141187,-0.16007852132697392,-0.20086832774850985,-0.3594741521623919,-0.2988026315558646,-0.35563432983015353,-0.32625155296047054,-0.3534692680285053,-0.44565565471934154,0.07062341605855367,1.7198777979684299,1.705821477660442,2.432689849105065,4.3791581609043755,-0.21084059413202783,-0.29674499462350806,0.3645171042679092,-0.44565565471934154,-0.18391624483315572,3.777705079402051,1.0734745333518603,5.451460503553599,-0.24549318181671648,-0.0032465247041311776,-0.44565565471934154,-0.44565565471934154,0.9933049367972648,0.38265731540710235,-0.44565565471934154,-0.25689840952857346,-0.27048237915962325
-0.1616033267465779,0.3679096727977315,0.10534900566674538,0.4840326397850034,0.00832799649839158,-0.35343371851680644,0.049399913869068404,0.33683775703155544,-0.45105477127384636,-0.40270966654848045,5.509730094681502,1.1496210496603119,2.256678880568125,0.03298658766406312,-0.26137384972566113,7.345954792852897,1.943010180511158,-0.45105477127384636,-0.2913348403037751,-0.22099752412400656,-0.283003427447745,-0.2905106865570765,-0.3237587531284481,-0.022150132408447164,0.8551439991015147,-0.18288546243329787,-0.2010138807355185,-0.23362453574026865,-0.2408889553494867,-0.15869914118029255,-0.2936302866503715,-0.1573316257798638,-0.33120815171320095,-0.05080362206872709,3.3575609942434617,1.6413819918826567,0.11343896377064734,-0.11870205836404178,-0.4083185772247737,-0.28860870529215793,-0.31712332761107853,-0.45105477127384636,-0.25941191648739154,-0.35994153954182134,-0.35200949436462614,-0.45105477127384636,-0.3746503450896548,-0.45105477127384636,-0.45105477127384636,-0.3676002020077614,-0.04300341379353859,-0.3193504127824763,-0.32701429838599777,-0.3320096501455628,-0.2217946543310246,-0.3948530751360204,-0.366486778104553,-0.45105477127384636,0.0047654761037701455,-0.35479882838503385,-0.0851036132998816,-0.26784231715476686,-0.28775387235327177,-0.2930485610932232,-0.38143392750979527,-0.3300436413985424,-0.26898237966648264,-0.45105477127384636,-0.22721956711262303,-0.45105477127384636,-0.2519233550404259,-0.296455947002628,-0.3894465706347591,-0.20865037660124303,-0.2768894065397686,-0.04454657266322551,-0.2626901385901391,-0.45105477127384636,-0.2981328508201965,-0.23244785945825178,-0.35603581258538264,-0.3417954277705726,-0.36328396872991514,-0.17496719881268938,2.164115255350464,1.8230746192863663,2.262630680758996,4.171599317712138,-0.23381625794583147,-0.301877438852462,0.46374794217502174,-0.45105477127384636,-0.2856517182597919,4.027824981967732,0.96399041144663,5.314823588714511,0.09732671614921676,-0.11967145769786444,-0.45105477127384636,-0.45105477127384636,0.923830352130735,0.15899486819013808,-0.45105477127384636,-0.2541092349903081,-0.2772344145804439
-0.34542604168105545,0.6909779187335832,0.1576647790824364,0.6231158394525983,-0.1572218714719267,-0.1970128967652365,-0.05549167283076143,0.2958860773069232,-0.4568294395333485,-0.17266131597658937,5.55076242350356,1.2678145349922854,2.0325865012076267,-0.03895082680003676,-0.1633085508904395,7.413358970314287,1.9227602145130411,-0.09622196310379193,-0.40738066636080605,-0.36539135461441663,-0.22001003659503127,-0.3818262144090407,-0.2836992851863186,-0.1590065191691367,0.7624877378771764,-0.2486539307266617,-0.16178088539669358,-0.22581280300254458,-0.2609086835384592,-0.25594143167427885,-0.31212514382194767,-0.2153583701697225,-0.24055287440225306,-0.03343839636276992,3.0653837980642353,1.4407553031275295,0.3027823856275546,-0.3969932258767682,-0.39607530362318977,-0.4089853124812746,-0.41771561747077396,-0.4212428185632925,-0.021566717321726162,-0.5094373813865662,-0.2858025049525748,-0.22802576046290648,-0.32892848053520923,-0.35544574873478446,-0.3795759292213612,-0.46714122050400264,0.10034337832455102,-0.34631487497761315,-0.3912448141764543,-0.3045070694907747,-0.22152939644688466,-0.21171857687086612,-0.32289268178017966,-0.4565194139393457,0.12464222243088663,-0.26277163796837366,-0.1872574333418073,-0.310806941634535,-0.254411641135073,-0.30198263639093204,-0.34825663939655116,-0.3180519831915706,-0.3638949958645704,-0.38715408192148376,-0.2529184863500361,-0.4171415533442642,-0.1843685260382548,-0.36985610722890516,-0.2835011350964232,-0.3035445355856853,-0.3665082066042451,-0.08436889722498325,-0.2896178912915337,-0.3391631927745331,-0.36611486998833304,-0.43174110574442665,-0.29529076222853595,-0.2811067371953649,-0.4800814735917634,0.2874287743212407,1.7486387773881733,1.2810642381439579,2.476117014104231,5.009093512931517,-0.20985861501865263,-0.4273880233831386,0.4288946234632344,-0.5094373813865662,-0.5094373813865662,3.657723053298153,1.0316990511257915,5.11795890483233,-0.34783629741483646,0.1089626702141135,-0.5094373813865662,-0.5094373813865662,1.0659108687277195,0.22004998401946083,-0.5094373813865662,-0.24886530314172103,-0.2540097195894638
-0.2619714215385315,0.699002372921022,0.02055487515014762,0.7081800476797028,-0.030408058471510003,-0.30327562036899136,-0.03998201505063087,0.2411195842494089,-0.45623079467154537,-0.20576140929765888,5.633518336189204,1.2512363846508032,2.033516188667468,-0.017984007078335373,-0.3069052279566713,6.996364846179015,2.4108031679562405,-0.1308435439500228,-0.19604503995175263,-0.35555536682122163,-0.300108860025289,-0.36931064577996425,-0.1387828907597068,-0.1995419481088685,0.838029272645962,-0.31028931978390123,-0.1606522145103932,-0.2606797773814294,-0.25054571358413563,-0.31106926179917654,-0.3480564595785068,-0.20265532522976948,-0.38486913381932275,-0.17015496299493466,3.2443982319273936,1.515176255069718,0.16843096472087168,-0.2565352324460892,-0.45623079467154537,-0.2639476927793286,-0.3318995246148858,-0.2775803355726439,-0.26681622775455494,-0.3823487427417059,-0.3294026410049775,-0.24927499841041376,-0.3273570222819432,-0.45623079467154537,-0.34109418503954647,-0.30974602827222597,-0.06348691304686169,-0.2520302808581292,-0.3035108929001819,-0.45623079467154537,-0.26354319713670005,-0.16570368184650971,-0.2897801493911711,-0.45623079467154537,-0.006239953066414006,-0.3254187076651752,-0.06515773215867637,-0.2625109251853995,-0.25597234747523995,-0.31197802924987367,-0.39476513787219714,-0.34330425089678435,-0.4081867717817968,-0.45623079467154537,-0.45623079467154537,-0.35951959652207427,-0.16586817862377876,-0.1982970704945405,-0.2556453106320676,-0.23899302547668005,-0.30738707861340203,-0.10459336321981028,-0.3052974707430933,-0.3294637677125876,-0.359367656845824,-0.27042545062294265,-0.3726614938688149,-0.25908954645584215,-0.45623079467154537,-0.23659718887103084,2.2662088732737917,1.5413467512586052,2.5981158908879394,4.266886217789424,-0.2552925677020723,-0.45623079467154537,0.47795956639613063,-0.45623079467154537,-0.45623079467154537,3.8367123773637073,1.0415774676004188,5.402187106153195,-0.41388550523658113,0.25021547939873584,-0.45623079467154537,-0.45623079467154537,1.138200380385705,0.5670809399842166,-0.45623079467154537,-0.25656748723617046,-0.28134652990748343
-0.3793427349238446,0.7341792898843107,0.05737688654705048,1.0093662578472364,-0.30842463817273236,-0.16288239263278373,-0.04914773371026085,0.18648099395187762,-0.38276654834938495,-0.16721129765423692,5.306627759482973,1.015667021608077,2.0659279115349607,-0.0912938196256619,-0.20765109654974961,7.199600826432657,1.9018872296281881,-0.21384148214227194,-0.3798756495763058,-0.3552095893805066,-0.44909374010977166,-0.31189822551369845,-0.22449263358163712,-0.1000842489192199,0.7054202205497371,0.020086298080576645,-0.08976003815985081,-0.21667048459528365,-0.1453764686005618,-0.23699451862237475,-0.147085611232659,-0.19428954569470333,-0.3175312299207484,-0.042447903649808966,3.4014693474634705,1.5247591088092054,0.2739437418748933,-0.1573894014789471,-0.28888570012491266,-0.27036286308903384,-0.36414708976276267,-0.4414377193559577,-0.006686369732649366,-0.4291403530912797,-0.2618487873147766,-0.3331711591169267,-0.48687124564180284,-0.43280801859643314,-0.32779485281628684,-0.31704617699833465,0.13703124645283896,-0.3327608762867915,-0.35141088013482896,-0.4014253166789908,-0.2485006580345419,-0.35394170331635494,-0.3967445551007612,-0.3912473773982042,0.046160330724931205,-0.17165933886872164,-0.11297975136066736,-0.36759726406855187,-0.3301100804925391,-0.41070458901089035,-0.30264691060121174,-0.48687124564180284,-0.3346025769841517,-0.3921332743077906,-0.3081227010768617,-0.4036294529635347,-0.08038708634425044,-0.23016682255671184,-0.45612186970337837,-0.2684052742809036,-0.4168389354296798,-0.22681748715878283,-0.25796140804778817,-0.30705093541690737,-0.3328598934172255,-0.29544941859518997,-0.30896754999482584,-0.4111627213803643,-0.42157780537049655,0.07363377955552854,2.1752940006431367,1.5796712149765002,2.4559199701421885,4.737043073474652,-0.14794084406840313,-0.3838580785534284,0.626206530472911,-0.48687124564180284,-0.48687124564180284,3.5564602757874586,1.3771202098493085,5.372328259325049,-0.3245435914074933,0.22256409793031606,-0.48687124564180284,-0.48687124564180284,1.1087896708534968,0.343743197128656,-0.43143031705828455,-0.264013573552724,-0.2907970833531771
