fg3m,fg3_miss,fg2m,fg2_miss,ftm,ft_miss,orb,drb,ast,tov,stl,blk,pf,season,poss_pct,gs_pct,age,pts,fga,fta,fg3a,usage,bigness,reb,stocks,creation,shotmix,efg,ts,p3r,ftr,fg3p,fg2p,ftp,astr,tovr,orbsh,q2,q3,m2,m3,xps,mpts,unast,russ,blkrim,loose,techflg,stolen,offoul,astrim,astsmr,astlmr,astc3,astab3,blksmr,blklmr,unastsh,russsh,blkrimsh,blk3sh,stolensh,astrimsh,astsmrsh,astlmrsh,astc3sh,astab3sh,pot_ast,unast_r,russ_r,blkrim_r,loose_r,techflg_r,stolen_r,offoul_r,astrim_r,astsmr_r,astlmr_r,astc3_r,astab3_r,blksmr_r,blklmr_r,unastsh_r,russsh_r,blkrimsh_r,blk3sh_r,stolensh_r,astrimsh_r,astsmrsh_r,astlmrsh_r,astc3sh_r,astab3sh_r,pot_ast_r,exp_yrs,exp_poss,entry_age,height,weight,draft_pick,tenure,n_teams,height2,weight15,past_apm,past_poss,past_rapm,past_apm_o,past_poss_o,past_apm_d,past_poss_d,turn,Max_Shadow,Min_Shadow,Mean_Shadow,Median_Shadow
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.279250949813261,-0.21754908192839018,-0.08214016349579853,-0.3397885541581489,-0.13487505849113754,-0.20199233888821225,0.03997256113897254,-0.04342871549067115,-0.42156559101316604,-0.21885705500991337,0.255376927377033,-0.22429078351464254,0.9540956455641311,-0.26618499171345034,0.03977470896888159,7.145376401512221,1.708102118985019,0.05484460661598922,2.565370956100306,-0.14818681466795205,-0.26256247130170624,-0.23659361120314712,-0.2152622097705897,0.03370143719106532,8.645276525336568,-0.28010897784503896,-0.29157073846442866,-0.18347339139224153,-0.3383146672681544,-0.40236295416023854,-0.3222058666540317,-0.17754619057443388,-0.04860820910947506,-0.1990107380329487,0.29360385532428335,-0.24743268203347546,-0.17784179339711056,0.02729057371536345,-0.2011225843166799,-0.04285288797285449,-0.3418326897323153,-0.22202552322433128,-0.38596480724512144,-0.3033135879383691,-0.42156559101316604,-0.17109161392930342,0.4389372808273952,-0.09428017355393715,-0.36619757005606246,-0.21288325253236343,-0.2255852277532698,-0.3617788145202108,-0.3216648336961116,-0.20838062878222827,-0.2851872480633877,-0.23261431607085023,-0.2924336843920554,-0.3345997800687075,-0.3174466470452598,-0.36992751387527406,0.6511551623373644,-0.3391563079839599,-0.2505892804728337,-0.31144144915630534,0.28370796189282715,-0.1372569821691959,-0.3029954199326072,-0.29166953621749947,-0.3187024054138889,-0.35481611595020973,-0.31931676980768897,-0.19498936119021676,-0.38850029419058707,-0.3718283350758013,-0.3020721655388398,-0.1723642789051448,-0.36140123878808195,-0.3271988082605347,-0.3084957174437364,-0.42156559101316604,-0.3684057650778766,-0.3210412818118,-0.29816505920649666,-0.16173122658683936,-0.3200003493390912,-0.17957725905435087,-0.2383860511818297,-0.3351726136437102,-0.33751823394831965,-0.14286565517716368,-0.2721756125733168,-0.30729512066384446,-0.3685414611389299,0.26238123152259846,1.5546324507504294,1.6982117367043745,2.288736008413093,4.685038502646818,-0.18046422152893496,-0.37012231547020463,0.5407194947793713,-0.42156559101316604,-0.25484909143058687,3.0013419620986768,1.0536753223908866,5.332834118544458,-0.42156559101316604,0.13981748243391992,-0.42156559101316604,-0.42156559101316604,0.8720698368977043,0.2952018134560433,-0.42156559101316604,-0.1916698878873861,-0.21473823162182043
-0.3138361907245155,-0.20572917655448625,-0.20458986334871296,-0.31400901877046106,-0.12977063865293717,-0.14207627802800316,-0.04181344811229547,-0.27300720031024994,-0.41230298727779013,-0.16750498776746683,0.1492339121775476,-0.1775586171557093,1.0927044278018652,-0.059753453164171154,0.1639779848736369,6.799290102752583,1.9212350043629434,-0.03485022574835432,3.1156188989891445,-0.1600429131752519,-0.3975023418356317,-0.28520328789240007,-0.31019687398296947,0.16453655074047036,8.766748310297926,-0.0593383620149022,-0.3783918785180886,-0.20195020419534643,-0.23026787153170275,-0.30182317157178207,-0.212352068696272,-0.30142702832365337,-0.11983345026455954,-0.21719539542729252,0.20273574526475033,-0.3084360638803746,-0.15509672873027036,-0.06874015497575788,-0.04771810955279673,-0.1884785455950653,-0.23531713356664258,-0.295632594664884,-0.30147043083789515,-0.266926253962439,-0.38244385417287735,-0.042839035410682166,0.24198103333029855,-0.10841476109378406,-0.20586947787388915,0.026521742174005637,-0.37931437539131313,-0.31591356572675516,-0.19312952178761914,-0.33931558969444825,-0.3000538400950741,-0.43531169037647005,-0.391660736200609,-0.3032122285769947,-0.23937900158749298,-0.36551951063608834,0.5631144490742195,-0.33885346698297936,-0.37472272312331556,-0.3040057558224956,0.014116167846183855,-0.22427282173248309,-0.26310090845756123,-0.4018265827872493,-0.3027842273327588,-0.2839214444667125,-0.2302706416754195,-0.2789093511689863,-0.3009576335065255,-0.272124127826146,-0.19231112376394058,-0.39390189349145555,-0.38438540017253314,-0.39184751547150243,-0.21738262354258844,-0.32794089908283297,-0.24952675835662397,-0.31560090010795955,-0.3913219360572365,-0.1575875619108477,-0.20865435444367622,-0.1637009837556781,-0.11577596152823676,-0.24231356033518142,-0.2721796539761286,-0.2035904731677102,-0.19503739416817376,-0.30864065594903933,-0.12590794660447424,0.8072811446165608,0.9211401977587497,1.5906567578518067,2.316560116132239,5.1154224588755834,-0.12855984366478998,-0.23616714467175154,0.2793429472911884,-0.43531169037647005,-0.28829911839479533,2.9235599901859937,0.6973072095449705,5.104372151515555,-0.021834994449028887,-0.01837792468065746,-0.43531169037647005,-0.43531169037647005,0.9625337914411372,0.34920315102302546,-0.39047748826456796,-0.1980625187360832,-0.2200877507047097
-0.22676460091277786,-0.12865479868096644,-0.09773482593357317,-0.3035713199083192,-0.3035713199083192,-0.3035713199083192,0.044321538443354444,-0.0046605705512357196,-0.3035713199083192,-0.24180211698787907,0.5942129458021014,-0.2017783151867756,1.0022444366399952,-0.1839494758279003,-0.06080622633531262,6.974433394647844,1.5837979000987201,0.1982522238701974,2.721416283867204,-0.12810788318433552,-0.3035713199083192,-0.06989745394786814,-0.3035713199083192,0.21087976805799763,9.052014557532486,-0.3035713199083192,-0.15157852933492566,-0.14761029374052728,-0.3035713199083192,-0.3035713199083192,-0.16027365370315108,-0.07221531473545023,-0.11361975301696367,-0.08727501443971268,0.2839077662516722,-0.3035713199083192,-0.11494513520113607,-0.18025408565389733,-0.10730635913590854,-0.3035713199083192,-0.25063558075507353,-0.05165617783061714,-0.3035713199083192,-0.18371299108506706,-0.15626366983234996,-0.05964814787015654,0.5057412638515787,-0.3035713199083192,-0.3035713199083192,-0.09167905002523354,-0.3035713199083192,-0.3035713199083192,-0.18246465437333872,-0.2369646225750463,-0.3035713199083192,-0.07731649349682615,-0.3035713199083192,-0.23147872425799795,-0.3035713199083192,-0.3035713199083192,0.4266376416824106,-0.3035713199083192,-0.3035713199083192,-0.3035713199083192,-0.1296186936597546,-0.22779878668289794,-0.3035713199083192,-0.3035713199083192,-0.3035713199083192,-0.3035713199083192,-0.22204963540102649,-0.16501681522751774,-0.23529864016107702,-0.3035713199083192,-0.3035713199083192,-0.0705818753962138,-0.3035713199083192,-0.24208694101077083,-0.3035713199083192,-0.3035713199083192,-0.3035713199083192,-0.3035713199083192,-0.26076082867421335,-0.1262093743175572,-0.1738356399154451,-0.11517593928582802,-0.13224732393193409,-0.3035713199083192,-0.3035713199083192,-0.3035713199083192,-0.19673832002655425,-0.17974381311628745,-0.3035713199083192,-0.0746679971492181,1.2908322809498893,1.6766531182183109,2.799719362935061,3.2057178668813067,-0.3035713199083192,-0.18498166153180226,0.26141812103339346,-0.3035713199083192,-0.18562465900457814,3.4178987059404373,1.0578938920162537,5.63908539953927,-0.13416562178371158,-0.01729192892644592,-0.3035713199083192,-0.3035713199083192,1.0567892004264798,0.07464052225459086,-0.3035713199083192,-0.217828137105601,-0.22038087697184242
-0.20212170030922463,-0.22572422668687658,-0.11164346685706303,-0.14796583510209071,-0.3171933251521783,-0.16828482347832277,0.08114280112101975,-0.08097632069960477,-0.3171933251521783,-0.2550506850443327,0.4669465843959402,-0.20049685037729054,0.9291213197966484,-0.1385142274861322,0.05319811385451603,7.122542276692006,1.4827948384871843,0.04309504190656004,2.845399806591905,0.002259963926093387,-0.2306093830052606,-0.3171933251521783,-0.22954671277229702,0.26465571705095153,8.926167824443551,-0.12796284992945497,-0.3171933251521783,-0.3171933251521783,-0.229522406825553,-0.3171933251521783,-0.18762882969868636,-0.1418666195934763,0.0014067882923986738,-0.22785984348770708,0.1975360668334225,-0.19124150046346525,-0.3171933251521783,-0.1629972655235359,-0.08101181172828345,-0.14391029988645612,-0.2353286159374856,-0.09172704035797226,-0.3171933251521783,-0.3171933251521783,-0.1662742510106989,-0.0709761915381761,0.569832286900309,-0.13898630001840148,-0.3171933251521783,-0.10041695150177894,-0.3171933251521783,-0.16619968104050045,-0.3171933251521783,-0.23940980291873598,-0.1686410842690373,-0.3171933251521783,-0.3171933251521783,-0.3171933251521783,-0.23186510031674454,-0.3171933251521783,0.43704190560809053,-0.19320879560322815,-0.3171933251521783,-0.2478919333834945,0.004216575177223246,-0.16852945830367952,-0.3171933251521783,-0.3171933251521783,-0.3171933251521783,-0.2489951743641313,-0.2620785678642129,-0.2050787571297689,-0.19290201011855523,-0.3171933251521783,-0.3171933251521783,-0.21524695224156973,-0.3171933251521783,-0.3171933251521783,-0.3171933251521783,-0.3171933251521783,-0.22850214213972908,-0.25229806067197413,-0.3171933251521783,-0.05912423690402089,-0.19203749561236252,-0.18155018095870623,-0.2119950814143763,-0.3171933251521783,-0.2054716441259039,-0.3171933251521783,-0.3171933251521783,-0.21971972452861305,-0.3171933251521783,-0.004165787046223533,1.4331989366152995,1.6323426488646808,2.576663896775573,3.5612657129986474,-0.19888141137964493,-0.2552274773862638,0.26455936012815107,-0.3171933251521783,-0.3171933251521783,3.1853427697576087,0.7571295133300313,5.6583326508467255,-0.3171933251521783,0.2470166475513647,-0.3171933251521783,-0.3171933251521783,1.0010670131080979,0.19389285686539315,-0.3171933251521783,-0.21160046654535572,-0.22570437753124115
-0.27895504938733917,-0.2715033398472312,-0.34205947375801465,-0.26261601913300653,-0.34205947375801465,-0.2817066146823005,-0.02977525647807259,-0.13379433172958724,-0.34205947375801465,-0.2318616596044834,0.1534871589583383,-0.2334244939209618,1.3727541720074716,0.02872672349329501,-0.04868380026126718,6.984685228905703,1.6616381889390746,-0.06270873969595894,2.9524518766418253,-0.08180705052873803,-0.24059082500107593,-0.12747091311822734,-0.34205947375801465,0.25838432793305655,8.934638734096682,-0.34205947375801465,-0.34205947375801465,-0.13504948213473503,-0.23656711441138262,-0.34205947375801465,-0.256793977842263,-0.05511853803492587,-0.15685658128093838,-0.17472852674002876,0.3348024714429704,-0.34205947375801465,-0.34205947375801465,-0.2216192070548463,-0.21209086445949998,-0.161734533227009,-0.23490438899343927,-0.15814605679922722,-0.2319361099872175,-0.30943316620801287,-0.24597108848736032,-0.026926771165619843,0.44229505370774236,-0.14852271557038632,-0.34205947375801465,-0.13897249920418328,-0.21296639435166964,-0.34205947375801465,-0.34205947375801465,-0.269810879042087,-0.262452503872695,-0.2351116526997902,-0.26153143317101013,-0.2655979175779392,-0.34205947375801465,-0.27955172813050655,0.6117982977967652,-0.2684328775746991,-0.2532312193034603,-0.27814956839147686,-0.04298437747948777,-0.2535681787535328,-0.34205947375801465,-0.15494858376161025,-0.34205947375801465,-0.25391507582730494,-0.34205947375801465,-0.13363587433487378,-0.20928048776755467,-0.26944673574547245,-0.34205947375801465,-0.18145403034542107,-0.34205947375801465,-0.34205947375801465,-0.15128117750341655,-0.34205947375801465,-0.22022569982586482,-0.2473904172670017,-0.3016226950104088,0.0449265710416474,-0.34205947375801465,-0.34205947375801465,-0.13917051126034807,-0.34205947375801465,-0.2400014542024369,-0.26030964337129264,-0.34205947375801465,-0.22520396052410563,-0.34205947375801465,0.37776005995613265,1.0359767880306452,1.6561859582913852,2.605038486567067,3.732813578760837,-0.19003472384324727,-0.34205947375801465,0.3143017782406423,-0.34205947375801465,-0.21767876019623786,3.0290549309670873,0.932801636235322,5.616816898977238,0.021640921311626336,0.18882842344927941,-0.34205947375801465,-0.34205947375801465,0.9945093543269184,0.32619436661382556,-0.34205947375801465,-0.2044804919366853,-0.21690870276810417
-0.37936096225881005,-0.37936096225881005,-0.07993957317480302,-0.23660669828528627,-0.1879387444457326,-0.266157708349354,-0.02130549381792976,-0.17744599852962994,-0.37936096225881005,-0.20943225149666553,0.4196075039740903,-0.31454486714526825,0.8301037591330988,-0.21282363925553213,-0.06495966787552472,6.957659091663449,2.0598861286191608,0.22258618531758267,2.5967706312596186,-0.1263754248162585,-0.2566832298274367,-0.22108368607531906,-0.13605490573894358,0.2228702229927531,8.720755785145043,-0.11999015960905052,-0.24029845291169333,-0.07076852203835243,-0.2821381228035672,-0.3081585481793259,-0.1928768766921205,-0.10645581516512538,-0.18929224871700198,-0.20195296953769307,0.24697719522297099,-0.11331437628065993,-0.24158459954234493,-0.02256910220141986,0.025631805283237167,-0.24490043101416445,-0.13889346606362662,-0.059136613023243884,-0.16902852915074845,-0.24001018290737575,-0.2063887797123704,-0.02761270676840412,0.5313834442822688,-0.09460548561354087,-0.37936096225881005,-0.13676071085262637,-0.25113502251517406,-0.37936096225881005,-0.06722220680156242,-0.29812587261239193,-0.37936096225881005,-0.37936096225881005,-0.2670146840418533,-0.37936096225881005,-0.37936096225881005,-0.2568746669883864,0.2885531241646943,-0.22141217385413003,-0.2736998996112158,-0.29920276837644405,0.012406843487850332,-0.18642252736329692,-0.29093696706707867,-0.2997561160175049,-0.37936096225881005,-0.2559472094205534,-0.23046846747095626,-0.15790232211777963,-0.23790688697701662,-0.24038016171836557,-0.28905102434042373,-0.22807433684866749,-0.37936096225881005,-0.37936096225881005,-0.37936096225881005,-0.2512233712442736,-0.2325119487833338,-0.24322680038237762,-0.31972422332536854,-0.16513295041793455,-0.32183675876930945,-0.03441194658800594,-0.29887362006575435,-0.22704353834183233,-0.37936096225881005,-0.37936096225881005,-0.3345570723687869,-0.24917486186347,-0.37936096225881005,0.01586474408014474,1.4169892014057002,1.7445075365633333,2.670896220360675,4.165659316245718,-0.20434828906107708,-0.11701046331266372,0.38501427177979536,-0.37936096225881005,-0.270419488933739,3.1224337110025706,1.0520320795102995,5.602474836712021,-0.23711624454247615,0.3002562495921441,-0.37936096225881005,-0.37936096225881005,0.8644433852692434,0.21739402936380695,-0.37936096225881005,-0.21163668027377236,-0.2205306065657565
-0.24353765798482502,-0.1999048356969851,-0.34114875394752525,-0.16545825608287754,-0.24474659679163016,-0.29521104056218467,-0.11467202287793664,-0.14531310487058058,-0.34114875394752525,-0.11663260669441475,0.41863775496119077,-0.05513149532239848,1.0742214117609465,-0.34114875394752525,-0.17308879465314644,7.032049610104601,1.1486895170071256,0.14970249804760283,2.9136759370014818,-0.09341980122962938,-0.34114875394752525,-0.26494398640751815,-0.25485358757435883,0.3457602345789611,8.890711327104405,-0.05568720222171524,-0.25467150450215814,-0.17070649488788855,-0.13254084227245697,-0.14963190162827564,-0.16045920755390275,-0.1826474382642743,0.03818844601438261,-0.22765250439294893,0.25965939658984855,-0.2670292435750127,-0.24946652718412124,-0.15119122315047703,-0.13537820379565738,-0.34114875394752525,-0.20351901011138204,-0.0876254968082903,-0.34114875394752525,-0.34114875394752525,-0.09892440637812311,-0.014160973511131953,0.8024559973211672,-0.2090146739641341,-0.34114875394752525,-0.1329726334776482,-0.17402010076232088,-0.2623727428783699,0.08942179847807455,-0.2619505224182883,-0.34114875394752525,-0.18481075558062113,-0.34114875394752525,-0.2426870756598202,-0.2612297864700263,-0.34114875394752525,0.45178351246401416,-0.34114875394752525,-0.2766266368273295,-0.283358900013309,-0.19864879044596875,-0.22516912957999674,-0.25547748793345226,-0.34114875394752525,-0.25095451422235054,-0.2602572518510811,-0.34114875394752525,-0.1760080206882092,-0.1111465405860133,-0.14489647234762043,-0.18811392663331955,-0.34114875394752525,-0.2376186764177792,-0.277413061057498,-0.34114875394752525,-0.2566164469663337,-0.2436239755651867,-0.1918121469271815,-0.34114875394752525,-0.12156268573857494,-0.2225991454643216,-0.14543764400453257,-0.34114875394752525,-0.1282207799844149,-0.34114875394752525,-0.21651460867193945,-0.34114875394752525,-0.2107256239694744,-0.34114875394752525,0.1529665395959363,1.217107640164765,1.8626638701702989,2.520514895475353,3.648081732304277,-0.17762702492846003,-0.11961589755725656,0.20186312858295646,-0.34114875394752525,-0.28198306755688163,2.960191069718653,0.9728503124354055,5.882622113039656,-0.06290343288986075,0.23071302991152298,-0.34114875394752525,-0.34114875394752525,0.8619291068700279,0.10589902647313816,-0.34114875394752525,-0.21654679853996545,-0.22555079710153378
-0.3280841517168057,-0.1526671295935167,-0.15158994006332116,-0.2479005474473549,-0.12389339004504506,-0.15028290369801622,-0.0031914020765932134,-0.306823604424747,-0.38790178159697847,-0.2661452417278255,0.26489743536225885,-0.33040042642990297,1.0029430483386068,-0.04363433480460745,0.0455713893387937,6.947727937213863,2.162362733122705,0.1682602281589472,2.6414293982516726,-0.1634030996311633,-0.3588172416139843,-0.2657204602539686,-0.27028382698116815,0.1700182759033192,8.624223639832358,-0.33869022113866953,-0.27701074938024717,-0.3723994083701547,-0.308072856709838,-0.2438716059392793,-0.3071106054412093,-0.24633041916663137,0.006980670677778083,-0.31669131077538226,0.2290644834270213,-0.28151200602666304,-0.1019210977671581,-0.061464571747582686,-0.05120946522212407,-0.2937470597632862,-0.36433594982909057,-0.21133983223706007,-0.28199434835494364,-0.41444167634889756,-0.20235029701061139,-0.18509859441932688,1.299140800375053,-0.14522475513841177,-0.32447734613142626,-0.25171779842899344,-0.30905290678481706,-0.35916574818901337,-0.18047209720885105,-0.2651747188321262,-0.3564466024898162,-0.3585431877460451,-0.3373364395714878,-0.32916041034042565,-0.14880151253948054,-0.22554340378781174,0.43780437117396087,-0.41444167634889756,-0.33760705807687935,-0.3001616602262404,0.1531945762413061,-0.1922423114866674,-0.41444167634889756,-0.19279798165555076,-0.3982379424699339,-0.34755562730330125,-0.2208525235436455,0.3744503853441144,-0.26946272051416703,-0.3045196850619349,-0.34402746094031184,-0.41444167634889756,-0.31200372103553287,-0.41444167634889756,-0.1718993027549312,-0.3075751371507888,-0.2659751351928033,-0.26069528525284524,-0.31384483931571416,-0.22874774733784106,-0.24568264342312748,-0.07751858912180697,-0.1507047936324461,-0.2525983406769625,-0.2504342867936792,-0.3335710428713371,-0.41444167634889756,-0.3406852321486135,-0.26963937952754335,0.6379087052758401,0.9478768038817288,1.7821178492939285,2.2396490111297567,4.69206493367063,-0.1717372135640145,-0.27365006108561385,0.464543825010426,-0.41444167634889756,-0.35886806772011326,3.100438620295664,1.1501057881957044,5.284293648210561,-0.3124233766867318,-0.01022663985036893,-0.41444167634889756,-0.41444167634889756,0.9629566813857465,0.30317132130010693,-0.41444167634889756,-0.2041179958284438,-0.2159423105287935
-0.35558438746346516,-0.24934601944729246,-0.0386438198940345,-0.25287619985351245,-0.2422935338761436,-0.10856160787876845,-0.033432617944763425,-0.307303247444035,-0.19560596052824183,-0.22243282570495918,0.15073580388016286,-0.3081614659339633,1.0079743066387434,-0.1377062482654705,-0.11952749761525475,6.971553475961907,1.9693086361535124,0.17970807591218463,2.2116064191957236,-0.14405163319932338,-0.3224695374115011,-0.28873095205325516,-0.2716751858676586,0.2775928949256831,8.81071249940191,-0.022701249502794008,-0.22983139486042048,-0.12737079251021963,-0.29996178052736266,-0.26074068750601503,-0.2533334217370003,-0.20514822057816634,-0.12097380558979048,-0.2195109581620164,0.23457582419155185,-0.2870465610940168,-0.13794228129316854,-0.13463711127283795,-0.17175777767695913,-0.2295893602788956,-0.28719313756068726,-0.3698863999448789,-0.29668036544557863,-0.2398100039112859,-0.21705218979846355,-0.15308397909883165,0.7944182719321745,-0.12191673900970564,-0.3023405642512037,-0.1867207926621848,-0.2625306038890846,-0.2506411300757127,-0.3564159977014258,-0.22895940795626732,-0.2829968637616182,-0.17184951425491568,-0.2997662174956555,-0.36538169095685913,-0.3243821853279337,-0.41032720261312705,0.37099148389450426,-0.33179371666262497,-0.41032720261312705,-0.28264532718593854,0.16132861528605003,-0.2698446881128271,-0.2543536036525157,-0.3241852858532932,-0.28113862275743123,-0.272020014912748,-0.3293019198960608,-0.23727759333720616,-0.26363994021500053,-0.2777673609899644,-0.23681240346856003,-0.30088717752312855,-0.41032720261312705,-0.2797081141141572,-0.3363372256513488,-0.26102967827217083,-0.41032720261312705,-0.2789300130842889,-0.15667880708640844,-0.07174578958727904,-0.263431683919493,-0.07439047951732893,-0.18768527902516485,-0.24270687569254726,-0.41032720261312705,-0.329764824887741,-0.1035671779630913,-0.28346915621430263,-0.41032720261312705,0.387380784031235,0.8219952137420374,1.7113459460186937,2.5156308917336547,4.751806404450552,-0.10030414420481133,-0.32321268586496943,0.39580906851666864,-0.41032720261312705,-0.31891731477181406,2.8734726723854163,0.6151873113105422,5.477819806281606,-0.1868920789098977,0.16250889660997,-0.41032720261312705,-0.41032720261312705,1.0299822549606357,0.24873024437996416,-0.41032720261312705,-0.19561716958999328,-0.22020611602950163
