player_id,window,p_lo,p_hi,delta
3,1997-1999,-0.8181846315685001,-0.41680022378738724,0.40138440778111284
15,1997-1999,0.20540429905059512,0.549604251366956,0.3441999523163609
21,1997-1999,-0.9899007581150628,-0.6158103057230874,0.37409045239197547
22,1997-1999,-1.766013557001266,-1.2291011336944353,0.5369124233068308
23,1997-1999,-1.5517780082912571,-1.0765312190986753,0.4752467891925818
26,1997-1999,-1.5941707606761752,-1.1962748470412294,0.3978959136349458
28,1997-1999,-0.6146845516485675,-0.14570544710035577,0.46897910454821173
29,1997-1999,-2.6739633689661604,-2.352177835739208,0.3217855332269526
42,1997-1999,-0.2030720031557659,0.08523155297349493,0.28830355612926084
43,1997-1999,0.43119661399266596,0.7225614384825261,0.2913648244898601
45,1997-1999,-0.2252232125649991,0.2807963236456491,0.5060195362106482
49,1997-1999,-1.9432421506197346,-1.6271560655485697,0.31608608507116487
51,1997-1999,0.7783664835796862,1.3293140870167048,0.5509476034370187
53,1997-1999,-0.33912057344538926,0.06188218246707063,0.4010027559124599
54,1997-1999,-0.19872284996347292,0.20761623396425763,0.40633908392773055
56,1997-1999,-0.6151351828160039,-0.22492418825618102,0.3902109945598229
57,1997-1999,-1.5569471783843398,-1.2167312570644047,0.34021592131993517
63,1997-1999,-1.3503505518294039,-0.8033114845267371,0.5470390673026668
64,1997-1999,-0.3140028936523889,-0.14273315769006734,0.1712697359623216
67,1997-1999,-0.13195046989830603,0.3280862555323939,0.46003672543069996
70,1997-1999,0.7782899279241006,1.3158727665250298,0.5375828386009293
72,1997-1999,-0.35702043420107216,-0.1387685855976353,0.21825184860343685
76,1997-1999,0.12091622538650731,0.4728111133023525,0.35189488791584517
77,1997-1999,0.7915631564157373,1.1480164920040277,0.3564533355882904
84,1997-1999,0.5485481537140784,0.7868321726419809,0.23828401892790252
85,1997-1999,0.2771020392104423,0.683949671876075,0.40684763266563273
87,1997-1999,-3.046592122068101,-2.621486502500185,0.4251056195679159
89,1997-1999,0.6308965331067695,1.151909931584429,0.5210133984776595
93,1997-1999,0.792474009498053,1.4324880710252543,0.6400140615272013
95,1997-1999,-0.7312872802001342,-0.36726536331905923,0.364021916881075
96,1997-1999,-0.2867623451591519,0.04192112476595523,0.3286834699251071
98,1997-1999,-0.7086970309156115,-0.23242567366345368,0.47627135725215786
100,1997-1999,0.38712219723463404,0.7366551068549827,0.34953290962034866
103,1997-1999,-0.22122348417401866,0.04957395519942989,0.2707974393734486
105,1997-1999,-0.3418026975307212,0.12964092613817432,0.4714436236688955
107,1997-1999,0.4666230271820845,0.9501224133688038,0.4834993861867193
109,1997-1999,-1.886059586024908,-1.5552653423240173,0.33079424370089083
111,1997-1999,-0.18776086532989156,0.11201646254692618,0.29977732787681777
120,1997-1999,0.2023404207970115,0.6037964420916402,0.40145602129462865
121,1997-1999,-2.5804356286465446,-2.1005082672242352,0.4799273614223094
123,1997-1999,-0.07084068298965557,0.19211010443252202,0.2629507874221776
124,1997-1999,-1.8648222538473653,-1.391900041760909,0.47292221208645624
128,1997-1999,-0.13779248009443856,0.35525346486497844,0.493045944959417
133,1997-1999,-0.6156346055274544,-0.33321647342184635,0.28241813210560807
136,1997-1999,-1.6029182095894026,-1.276399852904453,0.32651835668494966
137,1997-1999,0.40419058712618205,1.0567919383429092,0.6526013512167271
138,1997-1999,-0.4029796777040901,0.15498267275740735,0.5579623504614974
145,1997-1999,0.5473022675678847,0.9113678936999238,0.3640656261320391
146,1997-1999,-0.3578901931490658,0.14096047911346302,0.49885067226252877
147,1997-1999,0.33409615187880315,0.5269149574379346,0.19281880555913145
164,1997-1999,-0.146070272958364,0.3259162986316202,0.4719865715899842
165,1997-1999,-2.5631276175206956,-2.1129580095099505,0.4501696080107451
166,1997-1999,-1.7857250128714321,-1.4947040496618966,0.2910209632095355
168,1997-1999,-0.059140723533917625,0.23399177510178723,0.29313249863570484
177,1997-1999,-0.472985041871296,0.08638411380007854,0.5593691556713745
178,1997-1999,-0.9937293370045535,-0.6623791647987323,0.3313501722058212
179,1997-1999,-0.009662283963954273,0.38098995141555925,0.39065223537951355
180,1997-1999,0.5453620175568418,1.097773460414272,0.5524114428574302
182,1997-1999,-0.6944147455708389,-0.3236457848202818,0.37076896075055715
184,1997-1999,-0.9277778294791763,-0.7105622960832765,0.21721553339589983
185,1997-1999,-1.549917166672304,-1.36006752691947,0.18984963975283398
187,1997-1999,-0.6041515416849079,-0.31041861203998655,0.29373292964492137
190,1997-1999,-1.8027347021760078,-1.201276450313088,0.6014582518629199
192,1997-1999,0.035417399180463396,0.6333794138949834,0.59796201471452
193,1997-1999,-0.8194900813812682,-0.42915922182978805,0.39033085955148017
197,1997-1999,-0.7389866759680858,-0.4992177363632476,0.23976893960483814
198,1997-1999,-0.009964104900025188,0.3888021235847914,0.3987662284848166
201,1997-1999,-2.3504511825047274,-1.7629641302214898,0.5874870522832376
204,1997-1999,-0.5741132593736439,-0.27971376365910994,0.29439949571453394
208,1997-1999,-0.4131638513616673,0.02699352814154772,0.440157379503215
209,1997-1999,0.6982202141570605,1.0423158940101338,0.3440956798530733
210,1997-1999,-0.6665927275388636,-0.3682480519220219,0.29834467561684164
213,1997-1999,-0.3645830282376553,-0.03534765035423585,0.32923537788341944
216,1997-1999,-0.3827965821932224,0.06581852531510303,0.4486151075083254
219,1997-1999,0.3931398895223191,0.8848790946330473,0.49173920511072816
221,1997-1999,-0.9102547597485573,-0.5828581224708029,0.32739663727775437
223,1997-1999,-0.8413937015258126,-0.47233597301086916,0.36905772851494345
224,1997-1999,-1.3161931315617692,-1.0380606890160125,0.27813244254575675
228,1997-1999,-0.3914543072256075,-0.01325455837210853,0.37819974885349894
236,1997-1999,0.7804266560205664,1.0492469637559612,0.2688203077353948
238,1997-1999,-1.1694126209821587,-0.715802961847219,0.45360965913493967
