system,held_out,total,player,noise,real
ks52_lam05_f10_q75,2002,3322.704348290043,51.14147820341941,49.62380072434962,1.5176774790697891
no ratings,2002,3352.8408822550737,69.81079010737903,52.76481797100678,17.045972136372257
ks52_lam05_f10_q75,2006,3522.2884037602585,62.30282597156838,51.559337259365066,10.743488712203316
no ratings,2006,3550.7503483870937,82.1312173641586,53.20463353965454,28.926583824504064
ks52_lam05_f10_q75,2010,3338.5297194043014,54.26818690756636,50.01336539976239,4.2548215078039675
no ratings,2010,3363.3342084310307,74.13797105414642,51.73935847773066,22.398612576415758
ks52_lam05_f10_q75,2014,3507.5898220503395,51.30552753646634,53.79479176843938,-2.4892642319730385
no ratings,2014,3533.8325885297154,69.73651793060617,52.71304926017899,17.023468670427178
ks52_lam05_f10_q75,2018,3685.443362219133,65.47434054607402,58.067736253895305,7.406604292178713
no ratings,2018,3714.5961511684723,85.90936960518275,60.52793701662563,25.381432588557118
ks52_lam05_f10_q75,2021,3791.910473250356,65.58985431148312,65.55774102718635,0.03211328429676996
no ratings,2021,3824.324481794973,88.43935080391657,63.81879304409324,24.620557759823328
ks52_lam05_f10_q75,2023,3698.131810925633,67.2977735484078,61.6450751396186,5.652698408789206
no ratings,2023,3727.510058991026,88.12141442816164,59.58859705542159,28.532817372740055
ks52_lam05_f10_q75,2025,3881.38216516296,71.08374605769359,65.66314561487582,5.420600442817772
no ratings,2025,3920.412477565347,100.00322390713563,66.05695932023707,33.946264586898565
ks52_lam05_q75,2002,3322.016578352906,50.875599928453994,49.59569075638285,1.279909172071143
ks52_lam05_q75,2006,3521.4489667862763,61.84572575408038,51.53839919985239,10.307326554227984
ks52_lam05_q75,2010,3338.102550091447,53.996096815961664,50.027701330930654,3.96839548503101
ks52_lam05_q75,2014,3507.353958331051,51.085174149491195,53.74780221902199,-2.662628069530797
ks52_lam05_q75,2018,3685.5144768010296,65.45240703685386,58.06194556548519,7.390461471368667
ks52_lam05_q75,2021,3792.5438148853273,65.73842570565466,65.5878673505191,0.15055835513555849
ks52_lam05_q75,2023,3697.751534806912,67.26136454769994,61.632668159268746,5.6286963884311945
ks52_lam05_q75,2025,3881.8076617762895,71.30799918376442,65.70706125170489,5.600937932059537
