mult,mse_rs,mse_po,diff,z,won,n,diff_slope,z_slope,won_slope
1.0,121.86614159382327,121.36631331066268,-0.49982828316059624,-1.7729995674831984,15,20,-0.46895303462376603,-1.6968460469427293,14
2.0,121.86614159382327,121.27527243016637,-0.5908691636569046,-3.4928117891147563,16,20,-0.5411251451993451,-3.029936543759996,14
4.0,121.86614159382327,121.45189952059506,-0.41424207322820905,-4.467701138231491,17,20,-0.3706032142764144,-3.598054215077493,15
8.0,121.86614159382327,121.64382909951075,-0.22231249431251854,-4.465731395296864,17,20,-0.1831084852876188,-3.117368377057333,15
