season,side,component,n_tg,att,p,tau2,tau2_plain,tau2_half,tau2_mom,bias_exact,k_loo,k_half,k_mom,k,shrink_mean
1997,off,fg3,2378,39885.0,0.3600601729973674,0.0003334479932344764,0.0003005793151765112,0.0002628019853759721,0.0002796055376312146,-0.00016370164258173287,649.4603260465949,824.0472083794459,774.524153707138,774.524153707138,0.023319789585299525
1997,off,fg2,2378,148400.0,0.48036388140161723,0.00031256362632125964,0.0002962276137557788,0.0002742951621082632,0.0002924045494915885,-4.966916067350529e-05,784.6295762398439,894.0976712219262,838.723836872086,838.723836872086,0.07047559965173625
1997,off,ft,2378,58469.0,0.7362533992372026,0.0003775745435560821,0.00037323039520942937,0.00027214603332188086,0.0003710361764224422,-0.00011192595754617353,488.94880555587423,678.3660221925693,497.5650187540158,497.5650187540158,0.051436117049221436
1997,def,fg3,2378,39885.0,0.3600601729973674,6.242184884903625e-05,3.16302369030568e-05,7.976232849604695e-05,3.120459881976756e-05,-0.00016883771300112038,3469.317977578445,2715.081749605375,6940.042512850962,6940.042512850962,0.0026623538879538195
1997,def,fg2,2378,148400.0,0.48036388140161723,0.00035687266521552307,0.00034051304694372215,0.00036200208123656093,0.0003355434566894078,-4.917563312448541e-05,687.2105643628636,677.4730820074352,730.8938999679222,730.8938999679222,0.08002695844058254
1997,def,ft,2378,58469.0,0.7362533992372026,-1.9356316935312486e-05,-2.2115072211015495e-05,5.9266323477498095e-06,9.511860028367641e-07,-0.00011756045040410474,1000000.0,31150.004125048214,194088.87591855472,194088.87591855472,0.0001396093773931429
1998,off,fg3,2377,30174.0,0.34546298137469345,0.00045765326363276447,0.0004109323425849081,0.00043296109548291215,0.0003774030139530936,-0.00021335140285861842,455.4463983079431,481.42092388909475,552.291642857214,552.291642857214,0.026184485702117857
1998,off,fg2,2378,159016.0,0.47027972027972026,0.0003626452981876017,0.00034553138946461013,0.00035098074867996723,0.00034189006444223385,-4.6967380545584207e-05,675.4632567508139,697.911709062203,716.4688291214006,716.4688291214006,0.0865896785300968
1998,off,ft,2378,60629.0,0.735093767009187,0.0006172508392578617,0.0006124993352895274,0.0005550965830682802,0.0005967141727393151,-0.00010435950804324424,300.4845518431202,334.129856797144,310.8261044944479,310.8261044944479,0.08223833880751348
1998,def,fg3,2377,30174.0,0.34546298137469345,0.0001769068909547033,0.00013837532851099075,0.00013862709917332922,0.00012523742184349668,-0.0002136720081683091,1178.2273119524098,1503.5770916248077,1664.3310563825842,1664.3310563825842,0.008864105787568965
