window,window_mid,player_id,player_name,poss_off,poss_def,shrinkage,prior_off,prior_def,prior_total,boost_off,boost_def,boost_total,u_off,u_def,u_total,u_plain_off,u_plain_def,u_plain_total,rapm_mm_off,rapm_mm_def,rapm_mm_total,rating_off,rating_def,rating_total,rating_off_raw,rating_def_raw,key,player_name_con,team,adj_offense,adj_defense,adj_overall,z_ours_total,z_con_total,d_total,rk_ours_total,rk_con_total,dr_total,z_ours_off,z_con_off,d_off,rk_ours_off,rk_con_off,dr_off,z_ours_def,z_con_def,d_def,rk_ours_def,rk_con_def,dr_def,bigness,minutes,orb,blk,drb,ast,fg3m,archetype,mins_bucket
2024-2026,2025.0,1643007,Taelon Peter,1056.0,1057.0,0.084,-1.512,-0.534,-2.046,-0.699,-0.215,-0.914,-0.428,-0.242,-0.67,-0.643,-0.258,-0.901,-2.156,-0.792,-2.948,-2.371,-2.224,-4.595,-1.941,-0.776,taelon peter,Taelon Peter,Indiana Pacers,-2.7,-0.5,-3.2,-1.802,-1.15,-0.652,461.0,426.0,-35.0,-1.472,-1.16,-0.311,465.0,433.5,-31.5,-1.431,-0.488,-0.943,444.0,318.5,-125.5,-0.563,492.0,0.732,0.293,3.585,2.927,3.0,guard,<1000
2024-2026,2025.0,1630658,Colin Castleton,1061.0,1069.0,0.085,-2.017,-0.235,-2.252,0.264,0.252,0.516,-0.326,-0.328,-0.654,-0.578,-0.325,-0.903,-2.595,-0.56,-3.155,-2.376,-1.935,-4.311,-2.343,-0.563,colin castleton,Colin Castleton,Orlando Magic,-1.9,-0.3,-2.2,-1.673,-0.74,-0.933,455.0,370.0,-85.0,-1.475,-0.751,-0.724,466.0,379.5,-86.5,-1.228,-0.305,-0.923,426.0,280.0,-146.0,5.563,508.0,4.323,0.709,5.74,2.268,0.142,big,<1000
2024-2026,2025.0,1642854,Asa Newell,1063.0,1079.0,0.085,-1.141,-0.466,-1.608,0.169,0.247,0.415,0.04,-0.075,-0.036,-0.011,-0.134,-0.144,-1.152,-0.6,-1.752,-2.017,-1.905,-3.922,-1.102,-0.542,asa newell,Asa Newell,Atlanta Hawks,-0.7,-0.4,-1.1,-1.497,-0.288,-1.208,444.0,271.0,-173.0,-1.201,-0.138,-1.064,437.0,236.5,-200.5,-1.207,-0.397,-0.811,424.0,298.5,-125.5,3.586,502.0,3.155,1.076,3.729,1.865,2.08,big,<1000
2024-2026,2025.0,1642353,Cam Christie,1071.0,1072.0,0.086,-1.634,-0.712,-2.346,0.294,-0.169,0.124,-0.131,0.291,0.16,-0.338,0.244,-0.094,-1.972,-0.468,-2.44,-2.173,-1.737,-3.911,-1.765,-0.421,cam christie,Cam Christie,Los Angeles Clippers,-2.6,0.8,-1.7,-1.491,-0.535,-0.957,443.0,320.5,-122.5,-1.321,-1.109,-0.212,453.0,428.5,-24.5,-1.09,0.702,-1.792,416.0,106.0,-310.0,1.495,537.0,1.475,0.268,4.559,2.48,0.939,wing,<1000
2024-2026,2025.0,1643016,Bez Mbeng,1083.0,1093.0,0.086,-1.513,0.193,-1.319,0.664,-0.073,0.591,-0.308,-0.743,-1.051,-0.516,-0.635,-1.151,-2.028,-0.442,-2.47,-2.303,-1.899,-4.201,-1.821,-0.55,bez mbeng,Bez Mbeng,Utah Jazz,-2.5,-0.9,-3.3,-1.623,-1.191,-0.432,454.0,432.5,-21.5,-1.419,-1.058,-0.362,461.0,423.0,-38.0,-1.203,-0.854,-0.349,423.0,385.5,-37.5,0.095,493.0,1.314,0.365,2.848,4.527,0.438,wing,<1000
2024-2026,2025.0,1631466,Nate Williams,1083.0,1093.0,0.086,-1.606,-0.942,-2.548,0.513,-0.033,0.48,0.384,-0.633,-0.249,0.221,-0.771,-0.55,-1.385,-1.713,-3.098,-1.892,-3.264,-5.156,-1.222,-1.575,nate williams,Nate Williams,Golden State Warriors,-1.6,-1.4,-3.0,-2.056,-1.068,-0.988,472.0,413.5,-58.5,-1.106,-0.598,-0.508,423.0,341.5,-81.5,-2.159,-1.312,-0.846,474.0,441.0,-33.0,1.901,517.0,2.576,0.348,2.019,2.089,1.462,wing,<1000
2024-2026,2025.0,1630619,Moussa Cisse,1113.0,1116.0,0.089,-1.657,0.688,-0.969,-0.256,-1.204,-1.46,0.224,-0.048,0.175,0.097,-0.053,0.044,-1.56,0.635,-0.925,-2.122,-0.292,-2.414,-1.433,0.639,moussa cisse,Moussa Cisse,Dallas Mavericks,-1.6,0.0,-1.5,-0.813,-0.452,-0.36,368.0,299.0,-69.0,-1.281,-0.598,-0.684,449.0,341.5,-107.5,-0.079,-0.03,-0.048,246.0,223.5,-22.5,11.384,530.0,6.045,3.057,8.626,0.611,0.0,big,<1000
2024-2026,2025.0,1642878,Tyrese Proctor,1114.0,1116.0,0.089,-0.68,-0.819,-1.5,-0.701,0.298,-0.403,0.212,0.086,0.299,0.125,0.075,0.2,-0.555,-0.744,-1.299,-1.725,-2.115,-3.84,-0.468,-0.733,tyrese proctor,Tyrese Proctor,Cleveland Cavaliers,0.1,-0.1,0.0,-1.459,0.163,-1.623,439.0,185.0,-254.0,-0.979,0.271,-1.25,404.0,153.5,-250.5,-1.354,-0.122,-1.232,439.0,243.0,-196.0,-1.869,549.0,0.721,0.0,3.475,4.852,3.016,guard,<1000
2024-2026,2025.0,1642355,Bronny James,1119.0,1127.0,0.089,-1.261,-0.654,-1.915,-0.13,-0.009,-0.139,-0.375,-0.89,-1.265,-0.601,-0.894,-1.495,-1.862,-1.549,-3.41,-2.093,-3.188,-5.28,-1.635,-1.544,bronny james,Bronny James,Los Angeles Lakers,-3.1,-0.9,-4.0,-2.113,-1.479,-0.634,474.0,457.0,-17.0,-1.259,-1.365,0.106,447.0,452.5,5.5,-2.105,-0.854,-1.251,472.0,385.5,-86.5,-1.498,560.0,0.579,0.45,2.057,4.693,1.993,guard,<1000
2024-2026,2025.0,1630623,Tyson Etienne,1122.0,1119.0,0.089,-0.997,-1.193,-2.189,-1.034,0.757,-0.277,-0.402,-0.875,-1.277,-0.624,-0.898,-1.522,-1.62,-2.091,-3.711,-1.994,-3.88,-5.873,-1.399,-2.068,tyson etienne,Tyson Etienne,Brooklyn Nets,-1.7,-1.8,-3.5,-2.382,-1.274,-1.108,475.0,440.5,-34.5,-1.183,-0.649,-0.535,435.0,352.0,-83.0,-2.59,-1.678,-0.911,475.0,461.0,-14.0,-2.102,531.0,0.542,0.068,1.898,3.525,3.797,guard,<1000
2024-2026,2025.0,1628396,Tony Bradley,1174.0,1178.0,0.093,-2.054,-0.662,-2.717,0.074,0.543,0.617,-0.122,-0.098,-0.22,-0.33,-0.236,-0.566,-2.385,-0.898,-3.283,-2.281,-2.1,-4.381,-2.176,-0.761,tony bradley,Tony Bradley,Atlanta Hawks,-1.8,-0.5,-2.3,-1.705,-0.781,-0.924,456.0,378.0,-78.0,-1.403,-0.7,-0.703,460.0,364.5,-95.5,-1.344,-0.488,-0.856,437.0,318.5,-118.5,6.539,566.0,4.961,1.018,5.088,1.781,0.191,big,<1000
2024-2026,2025.0,1642859,Jase Richardson,1204.0,1203.0,0.095,-0.62,-0.926,-1.546,0.202,0.143,0.346,-0.114,-0.325,-0.439,-0.143,-0.39,-0.533,-0.763,-1.316,-2.079,-1.789,-2.722,-4.511,-0.734,-1.251,jase richardson,Jase Richardson,Orlando Magic,-1.3,-0.4,-1.7,-1.764,-0.535,-1.229,459.0,320.5,-138.5,-1.027,-0.444,-0.583,415.0,308.5,-106.5,-1.779,-0.397,-1.382,460.0,298.5,-161.5,-0.281,589.0,1.284,0.122,2.567,3.545,1.711,guard,<1000
2024-2026,2025.0,1641794,Dillon Jones,1225.0,1213.0,0.097,-1.815,-0.514,-2.329,0.675,-0.149,0.526,-0.111,-0.206,-0.317,-0.289,-0.196,-0.485,-2.104,-0.71,-2.814,-2.15,-2.004,-4.154,-1.927,-0.72,dillon jones,Dillon Jones,New York Knicks,-2.7,-0.1,-2.8,-1.602,-0.986,-0.616,451.0,401.5,-49.5,-1.303,-1.16,-0.143,452.0,433.5,-18.5,-1.277,-0.122,-1.155,430.0,243.0,-187.0,1.639,593.0,1.943,0.243,5.828,3.764,1.032,wing,<1000
2024-2026,2025.0,202066,Garrett Temple,1243.0,1245.0,0.098,0.383,0.432,0.815,-0.217,0.174,-0.043,-0.702,0.276,-0.426,-0.83,0.331,-0.499,-0.448,0.763,0.316,-1.413,-0.112,-1.525,-0.319,0.708,garrett temple,Garrett Temple,Toronto Raptors,-4.2,-0.4,-4.6,-0.409,-1.725,1.316,313.0,467.0,154.0,-0.74,-1.927,1.187,361.0,473.5,112.5,0.048,-0.397,0.444,225.0,298.5,73.5,0.555,590.0,1.708,0.427,3.356,4.149,1.281,wing,<1000
2024-2026,2025.0,1642885,Mohamed Diawara,1258.0,1261.0,0.099,-1.326,-0.829,-2.155,0.233,-0.183,0.05,0.176,0.805,0.981,0.092,0.716,0.808,-1.235,-0.113,-1.347,-1.947,-1.064,-3.01,-1.15,-0.024,mohamed diawara,Mohamed Diawara,New York Knicks,-1.8,0.7,-1.1,-1.083,-0.288,-0.795,408.0,271.0,-137.0,-1.148,-0.7,-0.448,432.0,364.5,-67.5,-0.619,0.61,-1.229,340.0,125.0,-215.0,-0.057,635.0,0.85,0.34,4.479,3.005,2.721,wing,<1000
2024-2026,2025.0,1641816,Hunter Tyson,1291.0,1278.0,0.101,-2.226,-0.738,-2.965,-0.248,-0.129,-0.377,-0.741,0.403,-0.338,-1.054,0.336,-0.718,-3.28,-0.402,-3.683,-2.523,-1.448,-3.971,-2.968,-0.335,hunter tyson,Hunter Tyson,Brooklyn Nets,-1.8,-0.5,-2.3,-1.519,-0.781,-0.738,446.0,378.0,-68.0,-1.588,-0.7,-0.888,471.0,364.5,-106.5,-0.888,-0.488,-0.4,383.0,318.5,-64.5,1.88,609.0,1.773,0.414,5.498,2.305,2.01,wing,<1000
2024-2026,2025.0,1642880,Kam Jones,1307.0,1311.0,0.102,-1.202,-0.811,-2.013,-0.826,-0.03,-0.855,-0.239,-0.409,-0.648,-0.476,-0.443,-0.919,-1.678,-1.254,-2.932,-2.043,-2.594,-4.637,-1.441,-1.22,kam jones,Kam Jones,Indiana Pacers,-2.4,-1.3,-3.6,-1.821,-1.315,-0.506,463.0,444.0,-19.0,-1.221,-1.007,-0.214,439.0,418.0,-21.0,-1.69,-1.221,-0.469,458.0,430.0,-28.0,-2.326,616.0,0.877,0.0,2.63,6.955,1.286,guard,<1000
2024-2026,2025.0,1631111,Wendell Moore Jr.,1314.0,1323.0,0.103,-1.369,-0.378,-1.747,0.756,-0.103,0.653,-0.596,-0.026,-0.621,-0.78,0.086,-0.694,-2.149,-0.291,-2.441,-2.078,-1.521,-3.599,-1.965,-0.403,wendell moore,Wendell Moore Jr.,Detroit Pistons,-3.1,0.0,-3.2,-1.35,-1.15,-0.2,429.0,426.0,-3.0,-1.248,-1.365,0.117,445.0,452.5,7.5,-0.938,-0.03,-0.908,391.0,223.5,-167.5,1.803,639.0,1.746,0.451,4.62,2.93,0.789,wing,<1000
2024-2026,2025.0,1642853,Rasheer Fleming,1322.0,1322.0,0.103,-1.658,-0.663,-2.321,-0.854,0.124,-0.729,0.522,0.325,0.847,0.345,0.349,0.695,-1.313,-0.313,-1.626,-1.906,-1.429,-3.335,-1.136,-0.338,rasheer fleming,Rasheer Fleming,Phoenix Suns,-1.0,0.7,-0.3,-1.23,0.04,-1.271,420.0,206.0,-214.0,-1.117,-0.291,-0.826,427.0,279.0,-148.0,-0.874,0.61,-1.485,378.0,125.0,-253.0,3.834,677.0,3.031,1.117,3.563,0.851,2.393,big,<1000
2024-2026,2025.0,1630209,Omer Yurtseven,1324.0,1335.0,0.104,-2.945,-0.284,-3.229,-0.682,-0.244,-0.926,-0.389,-0.413,-0.802,-0.687,-0.52,-1.207,-3.632,-0.804,-4.436,-2.714,-1.897,-4.61,-3.334,-0.697,omer yurtseven,Omer Yurtseven,Golden State Warriors,-2.6,-0.9,-3.5,-1.809,-1.274,-0.535,462.0,440.5,-21.5,-1.733,-1.109,-0.624,474.0,428.5,-45.5,-1.202,-0.854,-0.347,422.0,385.5,-36.5,7.167,650.0,4.708,1.052,8.474,2.049,0.277,big,<1000
2024-2026,2025.0,1630679,Ethan Thompson,1354.0,1357.0,0.106,-1.528,-0.399,-1.926,-0.109,0.78,0.671,0.006,0.666,0.672,-0.249,0.603,0.354,-1.777,0.205,-1.573,-2.055,-0.618,-2.673,-1.522,0.267,ethan thompson,Ethan Thompson,Indiana Pacers,-1.1,0.4,-0.7,-0.93,-0.124,-0.806,385.0,237.0,-148.0,-1.231,-0.342,-0.888,441.0,287.0,-154.0,-0.307,0.336,-0.643,287.0,166.5,-120.5,-0.115,655.0,0.934,0.495,2.858,3.133,2.089,wing,<1000
2024-2026,2025.0,1641989,Elijah Harkless,1434.0,1436.0,0.111,-1.656,0.307,-1.348,-0.163,0.275,0.112,0.229,-0.435,-0.205,0.006,-0.38,-0.374,-1.65,-0.073,-1.722,-1.819,-1.08,-2.898,-1.427,-0.127,elijah harkless,Elijah Harkless,Utah Jazz,-0.6,0.4,-0.2,-1.032,0.081,-1.113,400.0,198.0,-202.0,-1.05,-0.086,-0.963,416.0,221.5,-194.5,-0.63,0.336,-0.966,343.0,166.5,-176.5,-0.538,682.0,1.003,0.37,2.903,4.381,1.478,guard,<1000
2024-2026,2025.0,1642942,Jahmai Mashack,1436.0,1426.0,0.111,-1.707,0.049,-1.658,-0.014,-0.099,-0.112,-0.331,-1.323,-1.654,-0.566,-1.31,-1.876,-2.273,-1.261,-3.534,-2.255,-2.564,-4.819,-2.038,-1.274,jahmai mashack,Jahmai Mashack,Memphis Grizzlies,-3.5,-1.2,-4.7,-1.904,-1.766,-0.137,466.0,468.5,2.5,-1.383,-1.569,0.186,458.0,462.0,4.0,-1.669,-1.129,-0.54,456.0,418.0,-38.0,0.661,670.0,1.236,0.752,3.116,3.707,1.021,wing,<1000
2024-2026,2025.0,1630574,Ariel Hukporti,1444.0,1474.0,0.112,-3.327,0.519,-2.808,-0.031,-0.21,-0.241,-0.326,0.433,0.106,-0.605,0.449,-0.157,-3.932,0.968,-2.964,-2.817,0.324,-2.493,-3.653,0.952,ariel hukporti,Ariel Hukporti,New York Knicks,-3.5,0.8,-2.6,-0.848,-0.904,0.056,374.0,392.5,18.5,-1.812,-1.569,-0.243,475.0,462.0,-13.0,0.353,0.702,-0.349,168.0,106.0,-62.0,6.648,718.0,3.51,2.056,7.019,2.006,0.05,big,<1000
2024-2026,2025.0,1641732,Colby Jones,1446.0,1452.0,0.112,-1.473,0.008,-1.465,0.256,0.024,0.28,-0.199,-0.178,-0.376,-0.477,-0.003,-0.48,-1.95,0.004,-1.945,-1.876,-1.127,-3.003,-1.672,-0.17,colby jones,Colby Jones,Detroit Pistons,-2.4,-0.1,-2.5,-1.08,-0.863,-0.217,406.0,388.5,-17.5,-1.093,-1.007,-0.087,421.0,418.0,-3.0,-0.663,-0.122,-0.541,350.0,243.0,-107.0,2.21,712.0,1.921,0.91,4.702,3.337,0.91,big,<1000
2024-2026,2025.0,201959,Taj Gibson,1449.0,1453.0,0.112,-1.768,0.71,-1.059,0.594,0.275,0.869,-1.023,-0.273,-1.296,-1.254,-0.254,-1.508,-3.023,0.456,-2.567,-2.381,-0.34,-2.722,-2.791,0.437,taj gibson,Taj Gibson,Memphis Grizzlies,-4.1,-0.8,-5.0,-0.952,-1.889,0.937,389.0,472.0,83.0,-1.479,-1.876,0.396,467.0,471.5,4.5,-0.112,-0.763,0.651,251.0,372.5,121.5,5.675,708.0,3.763,1.322,5.593,1.932,0.305,big,<1000
2024-2026,2025.0,1631132,Christian Koloko,1460.0,1465.0,0.113,-2.768,0.452,-2.316,0.48,-0.077,0.402,-0.203,0.424,0.221,-0.455,0.457,0.001,-3.223,0.908,-2.314,-2.503,0.234,-2.269,-2.971,0.876,christian koloko,Christian Koloko,Atlanta Hawks,-3.0,0.5,-2.5,-0.747,-0.863,0.116,362.0,388.5,26.5,-1.572,-1.313,-0.258,470.0,448.0,-22.0,0.29,0.427,-0.138,180.0,154.0,-26.0,6.147,701.0,3.389,2.003,5.495,1.746,0.051,big,<1000
2024-2026,2025.0,1641778,Leaky Black,1480.0,1484.0,0.114,-1.898,-0.005,-1.903,0.714,-0.152,0.562,-0.094,-0.305,-0.398,-0.417,-0.197,-0.614,-2.315,-0.202,-2.517,-2.056,-1.286,-3.343,-1.992,-0.309,leaky black,Leaky Black,Washington Wizards,-2.5,-1.2,-3.8,-1.234,-1.397,0.163,421.0,452.5,31.5,-1.231,-1.058,-0.174,442.0,423.0,-19.0,-0.774,-1.129,0.355,361.0,418.0,57.0,1.936,716.0,1.207,0.955,4.978,2.313,1.408,wing,<1000
2024-2026,2025.0,1630536,Sharife Cooper,1482.0,1485.0,0.115,-1.161,-0.959,-2.119,0.136,0.106,0.242,-0.114,-0.637,-0.751,-0.272,-0.669,-0.941,-1.433,-1.628,-3.06,-1.897,-2.946,-4.843,-1.275,-1.596,sharife cooper,Sharife Cooper,Washington Wizards,-1.8,-1.6,-3.4,-1.914,-1.232,-0.682,469.0,436.5,-32.5,-1.109,-0.7,-0.41,426.0,364.5,-61.5,-1.936,-1.495,-0.441,466.0,450.5,-15.5,-1.551,701.0,0.924,0.257,3.492,6.368,1.489,guard,<1000
2024-2026,2025.0,1631116,Patrick Baldwin Jr.,1493.0,1495.0,0.115,-1.771,-0.267,-2.037,0.398,-0.436,-0.038,0.008,0.615,0.623,-0.188,0.685,0.497,-1.959,0.418,-1.541,-1.89,-0.43,-2.32,-1.763,0.348,patrick baldwin,Patrick Baldwin Jr.,Sacramento Kings,-2.1,-0.4,-2.5,-0.77,-0.863,0.093,365.0,388.5,23.5,-1.104,-0.853,-0.251,422.0,397.0,-25.0,-0.175,-0.397,0.222,261.0,298.5,37.5,3.009,701.0,1.746,1.13,7.036,1.9,2.568,big,<1000
2024-2026,2025.0,1641810,Antonio Reeves,1497.0,1496.0,0.116,-1.389,-1.133,-2.523,-0.168,-0.157,-0.325,-0.009,-0.661,-0.67,-0.332,-0.684,-1.016,-1.721,-1.818,-3.539,-1.785,-3.191,-4.975,-1.398,-1.794,antonio reeves,Antonio Reeves,Charlotte Hornets,-1.8,-0.8,-2.6,-1.974,-0.904,-1.07,470.0,392.5,-77.5,-1.024,-0.7,-0.324,413.0,364.5,-48.5,-2.108,-0.763,-1.345,473.0,372.5,-100.5,-0.242,729.0,0.988,0.198,2.519,2.074,2.864,guard,<1000
2024-2026,2025.0,1642382,Branden Carlson,1536.0,1537.0,0.118,-1.704,-0.185,-1.889,-0.051,-0.3,-0.351,0.347,-0.156,0.191,0.187,-0.175,0.012,-1.517,-0.36,-1.877,-1.741,-1.292,-3.033,-1.357,-0.341,branden carlson,Branden Carlson,Oklahoma City Thunder,-0.5,-1.0,-1.5,-1.093,-0.452,-0.641,409.0,299.0,-110.0,-0.99,-0.035,-0.955,406.0,207.5,-198.5,-0.779,-0.946,0.167,362.0,396.0,34.0,4.434,738.0,2.244,2.341,6.439,2.098,2.585,big,<1000
2024-2026,2025.0,1629646,Charles Bassey,1548.0,1558.0,0.119,-1.686,0.398,-1.288,-0.29,-0.382,-0.672,-0.661,-0.872,-1.533,-0.798,-0.88,-1.678,-2.484,-0.482,-2.966,-2.136,-1.456,-3.592,-2.347,-0.475,charles bassey,Charles Bassey,Golden State Warriors,-1.5,-1.3,-2.9,-1.347,-1.027,-0.32,428.0,408.0,-20.0,-1.292,-0.547,-0.745,450.0,329.0,-121.0,-0.894,-1.221,0.327,384.0,430.0,46.0,9.449,733.0,5.01,2.849,8.988,2.21,0.0,big,<1000
2024-2026,2025.0,1642869,Noah Penda,1561.0,1559.0,0.12,-1.03,-0.075,-1.105,0.565,0.226,0.792,-0.042,-0.254,-0.296,-0.077,-0.281,-0.357,-1.107,-0.356,-1.463,-1.78,-1.261,-3.041,-1.072,-0.329,noah penda,Noah Penda,Orlando Magic,-1.4,-0.4,-1.7,-1.097,-0.535,-0.562,410.0,320.5,-89.5,-1.02,-0.495,-0.525,412.0,318.5,-93.5,-0.757,-0.397,-0.36,360.0,298.5,-61.5,3.501,761.0,3.17,0.852,5.677,3.311,1.419,big,<1000
2024-2026,2025.0,1631131,Oscar Tshiebwe,1576.0,1575.0,0.121,-0.745,-0.746,-1.491,-0.654,-0.363,-1.017,0.303,-0.549,-0.246,0.142,-0.593,-0.451,-0.603,-1.339,-1.942,-1.247,-2.492,-3.739,-0.442,-1.295,oscar tshiebwe,Oscar Tshiebwe,Utah Jazz,0.1,-1.1,-1.0,-1.413,-0.247,-1.166,436.0,262.5,-173.5,-0.614,0.271,-0.885,331.0,153.5,-177.5,-1.618,-1.038,-0.581,453.0,405.0,-48.0,8.348,743.0,6.347,0.339,9.012,2.083,0.0,big,<1000
2024-2026,2025.0,1631123,Jamaree Bouyea,1586.0,1580.0,0.122,-1.24,-0.389,-1.629,-0.31,-0.078,-0.389,-0.293,0.779,0.486,-0.55,0.86,0.31,-1.79,0.471,-1.319,-1.747,-0.325,-2.072,-1.533,0.39,jamaree bouyea,Jamaree Bouyea,Phoenix Suns,-2.1,0.7,-1.4,-0.657,-0.411,-0.246,347.0,292.0,-55.0,-0.995,-0.853,-0.142,407.0,397.0,-10.0,-0.102,0.61,-0.712,249.0,125.0,-124.0,0.166,800.0,0.99,0.81,3.78,4.635,1.125,wing,<1000
2024-2026,2025.0,1642868,Carter Bryant,1685.0,1691.0,0.128,-2.198,-0.803,-3.002,0.317,-0.316,0.001,-0.131,0.384,0.253,-0.23,0.399,0.169,-2.429,-0.404,-2.833,-2.321,-1.305,-3.626,-2.329,-0.419,carter bryant,Carter Bryant,San Antonio Spurs,-1.6,0.6,-0.9,-1.362,-0.206,-1.156,430.0,254.0,-176.0,-1.433,-0.598,-0.835,463.0,341.5,-121.5,-0.787,0.519,-1.306,365.0,142.0,-223.0,2.587,817.0,1.674,1.013,6.169,2.071,2.291,big,<1000
2024-2026,2025.0,1630587,Isaiah Livers,1691.0,1716.0,0.129,-2.023,-0.265,-2.288,0.294,0.321,0.615,-0.17,-0.751,-0.921,-0.424,-0.747,-1.17,-2.446,-1.012,-3.458,-2.068,-2.061,-4.129,-2.192,-1.016,isaiah livers,Isaiah Livers,Phoenix Suns,-3.0,-0.9,-3.8,-1.591,-1.397,-0.194,450.0,452.5,2.5,-1.24,-1.313,0.073,443.0,448.0,5.0,-1.317,-0.854,-0.462,435.0,385.5,-49.5,1.448,818.0,1.496,0.572,3.301,2.024,1.496,wing,<1000
2024-2026,2025.0,1631159,Leonard Miller,1750.0,1742.0,0.133,-1.67,-0.75,-2.419,-0.347,-0.14,-0.487,0.275,-0.502,-0.227,0.052,-0.558,-0.506,-1.618,-1.307,-2.925,-1.603,-2.324,-3.928,-1.395,-1.252,leonard miller,Leonard Miller,Chicago Bulls,0.4,-0.2,0.2,-1.499,0.245,-1.745,445.0,175.0,-270.0,-0.886,0.425,-1.31,389.0,129.5,-259.5,-1.501,-0.214,-1.288,448.0,264.0,-184.0,3.85,808.0,2.762,0.757,6.683,2.139,1.515,big,<1000
2024-2026,2025.0,1642914,Javon Small,1766.0,1756.0,0.134,0.148,-0.295,-0.148,0.091,0.379,0.47,0.267,-0.82,-0.553,0.23,-0.866,-0.636,0.378,-1.162,-0.784,-1.011,-2.142,-3.153,0.415,-1.115,javon small,Javon Small,Memphis Grizzlies,0.2,-0.4,-0.2,-1.148,0.081,-1.229,411.0,198.0,-213.0,-0.434,0.323,-0.756,300.0,144.5,-155.5,-1.373,-0.397,-0.977,440.0,298.5,-141.5,-1.167,830.0,1.561,0.39,3.99,6.549,2.602,guard,<1000
2024-2026,2025.0,1631250,Pete Nance,1793.0,1795.0,0.135,-1.769,-0.473,-2.242,0.715,-0.006,0.709,0.144,-0.497,-0.353,-0.129,-0.567,-0.696,-1.898,-1.04,-2.938,-1.696,-1.942,-3.638,-1.625,-0.97,pete nance,Pete Nance,Milwaukee Bucks,-1.9,-1.3,-3.2,-1.368,-1.15,-0.217,431.0,426.0,-5.0,-0.957,-0.751,-0.206,401.0,379.5,-21.5,-1.233,-1.221,-0.013,427.0,430.0,3.0,1.208,897.0,1.284,0.642,4.696,2.328,2.408,wing,<1000
2024-2026,2025.0,1630545,Terrence Shannon Jr,1842.0,1856.0,0.139,-2.341,-0.995,-3.335,-0.075,-0.006,-0.08,0.213,-0.893,-0.68,-0.077,-1.045,-1.122,-2.418,-2.039,-4.457,-1.982,-3.07,-5.052,-2.128,-1.887,terrence shannon,Terrence Shannon Jr.,Minnesota Timberwolves,-0.8,-1.2,-2.0,-2.009,-0.658,-1.351,471.0,348.0,-123.0,-1.174,-0.189,-0.986,434.0,249.5,-184.5,-2.023,-1.129,-0.894,468.0,418.0,-50.0,-0.124,874.0,0.824,0.247,3.13,2.883,1.73,wing,<1000
2024-2026,2025.0,1642928,Dylan Cardwell,1868.0,1847.0,0.14,-1.485,0.93,-0.555,0.907,-0.301,0.606,-0.329,0.775,0.446,-0.489,0.918,0.429,-1.974,1.848,-0.126,-2.039,1.464,-0.575,-1.814,1.705,dylan cardwell,Dylan Cardwell,Sacramento Kings,-1.6,0.6,-1.0,0.021,-0.247,0.268,240.0,262.5,22.5,-1.218,-0.598,-0.621,438.0,341.5,-96.5,1.151,0.519,0.632,63.0,142.0,79.0,9.393,911.0,5.809,2.648,7.311,2.45,0.079,big,<1000
2024-2026,2025.0,1642879,Ben Saraf,1875.0,1875.0,0.141,-1.87,-0.656,-2.526,0.076,-0.284,-0.208,-0.734,-0.079,-0.813,-1.128,-0.096,-1.225,-2.998,-0.752,-3.75,-2.43,-1.601,-4.031,-2.603,-0.735,ben saraf,Ben Saraf,Brooklyn Nets,-3.6,-0.7,-4.3,-1.546,-1.602,0.056,448.0,460.5,12.5,-1.517,-1.62,0.104,468.0,465.0,-3.0,-0.995,-0.671,-0.324,401.0,358.0,-43.0,-1.199,916.0,0.786,0.314,2.83,5.699,0.747,guard,<1000
2024-2026,2025.0,1631342,Daeqwon Plowden,1892.0,1891.0,0.142,-1.315,-0.913,-2.228,-0.523,0.167,-0.356,0.061,0.132,0.193,-0.284,0.061,-0.224,-1.599,-0.853,-2.452,-1.548,-1.65,-3.198,-1.254,-0.781,daeqwon plowden,Daeqwon Plowden,Sacramento Kings,-0.9,-1.2,-2.1,-1.168,-0.699,-0.47,415.0,359.0,-56.0,-0.843,-0.24,-0.604,384.0,264.5,-119.5,-1.029,-1.129,0.1,409.0,418.0,9.0,0.607,913.0,1.459,0.276,2.8,1.696,2.8,wing,<1000
2024-2026,2025.0,1642877,Micah Peavy,1925.0,1916.0,0.144,-1.533,-0.519,-2.052,0.135,0.19,0.325,0.262,0.152,0.415,0.005,0.172,0.176,-1.528,-0.347,-1.876,-1.756,-1.114,-2.87,-1.271,-0.366,micah peavy,Micah Peavy,New Orleans Pelicans,-1.6,0.2,-1.5,-1.019,-0.452,-0.567,397.0,299.0,-98.0,-1.002,-0.598,-0.405,409.0,341.5,-67.5,-0.654,0.153,-0.806,346.0,191.5,-154.5,1.364,913.0,1.814,0.355,2.8,2.405,1.104,wing,<1000
2024-2026,2025.0,1630699,MarJon Beauchamp,2046.0,2052.0,0.152,-2.039,-0.734,-2.774,0.634,-0.162,0.472,-0.274,0.159,-0.115,-0.449,0.129,-0.32,-2.488,-0.605,-3.094,-1.939,-1.317,-3.256,-2.314,-0.575,marjon beauchamp,MarJon Beauchamp,Philadelphia 76ers,-2.1,-0.3,-2.4,-1.195,-0.822,-0.373,418.0,384.0,-34.0,-1.142,-0.853,-0.288,430.0,397.0,-33.0,-0.796,-0.305,-0.491,367.0,280.0,-87.0,1.555,963.0,1.495,0.449,5.047,2.131,2.093,wing,<1000
