window,window_mid,player_id,player_name,poss_off,poss_def,shrinkage,prior_off,prior_def,prior_total,boost_off,boost_def,boost_total,u_off,u_def,u_total,u_plain_off,u_plain_def,u_plain_total,rapm_mm_off,rapm_mm_def,rapm_mm_total,rating_off,rating_def,rating_total,rating_off_raw,rating_def_raw,key,player_name_con,team,adj_offense,adj_defense,adj_overall,z_ours_total,z_con_total,d_total,rk_ours_total,rk_con_total,dr_total,z_ours_off,z_con_off,d_off,rk_ours_off,rk_con_off,dr_off,z_ours_def,z_con_def,d_def,rk_ours_def,rk_con_def,dr_def,bigness,minutes,orb,blk,drb,ast,fg3m,archetype,mins_bucket
2024-2026,2025.0,203914,Gary Harris,5386.0,5394.0,0.32,-0.584,-0.254,-0.838,0.679,0.194,0.873,-0.14,0.513,0.374,-0.301,0.57,0.27,-0.885,0.316,-0.569,-0.551,0.302,-0.249,-0.724,0.259,gary harris,Gary Harris,Milwaukee Bucks,-3.7,-0.1,-3.7,0.169,-1.356,1.525,208.0,447.5,239.5,-0.083,-1.671,1.588,223.0,467.5,244.5,0.338,-0.122,0.46,170.0,243.0,73.0,0.024,2671.0,0.809,0.472,2.103,2.264,1.887,wing,2000-3000
2024-2026,2025.0,1626172,Kevon Looney,5386.0,5415.0,0.32,-0.809,0.165,-0.643,0.602,0.238,0.84,0.086,0.137,0.223,0.48,0.015,0.495,-0.329,0.181,-0.148,-0.536,0.349,-0.187,-0.723,0.303,kevon looney,Kevon Looney,New Orleans Pelicans,-0.5,0.4,-0.1,0.197,0.122,0.075,198.0,191.5,-6.5,-0.071,-0.035,-0.036,221.0,207.5,-13.5,0.37,0.336,0.034,160.0,166.5,6.5,6.732,2646.0,5.116,1.034,8.476,3.878,0.054,big,2000-3000
2024-2026,2025.0,1642845,VJ Edgecombe,5403.0,5393.0,0.321,0.173,0.063,0.235,-0.351,0.208,-0.143,0.186,0.501,0.687,0.461,0.57,1.032,0.634,0.633,1.267,-0.663,0.63,-0.033,0.359,0.564,vj edgecombe,VJ Edgecombe,Philadelphia 76ers,0.8,0.5,1.3,0.267,0.697,-0.43,191.0,111.0,-80.0,-0.168,0.629,-0.797,250.0,102.0,-148.0,0.566,0.427,0.139,134.0,154.0,20.0,0.469,2626.0,1.673,0.535,4.126,4.318,2.043,wing,2000-3000
2024-2026,2025.0,1629216,Gabe Vincent,5411.0,5417.0,0.321,-0.823,-0.702,-1.525,0.957,0.299,1.255,0.32,0.539,0.859,0.233,0.433,0.665,-0.59,-0.269,-0.859,-0.394,-0.148,-0.542,-0.503,-0.162,gabe vincent,Gabe Vincent,Atlanta Hawks,-1.8,-0.5,-2.4,0.036,-0.822,0.858,234.0,384.0,150.0,0.037,-0.7,0.737,196.0,364.5,168.5,0.022,-0.488,0.51,228.0,318.5,90.5,-1.026,2620.0,0.563,0.22,1.566,2.679,2.35,guard,2000-3000
2024-2026,2025.0,1631204,Marcus Sasser,5450.0,5426.0,0.322,-0.497,-0.989,-1.486,-0.796,-0.284,-1.08,-0.022,-0.337,-0.358,-0.566,-0.478,-1.043,-1.063,-1.467,-2.529,-0.404,-1.391,-1.794,-0.518,-1.326,marcus sasser,Marcus Sasser,Detroit Pistons,-1.5,0.3,-1.2,-0.532,-0.329,-0.202,327.0,280.0,-47.0,0.03,-0.547,0.576,198.0,329.0,131.0,-0.847,0.244,-1.092,375.0,177.0,-198.0,-2.527,2617.0,0.495,0.275,2.71,6.108,2.641,guard,2000-3000
2024-2026,2025.0,1629013,Landry Shamet,5450.0,5445.0,0.322,-1.111,-0.891,-2.001,0.026,0.281,0.307,0.344,0.272,0.616,0.142,0.077,0.219,-0.969,-0.813,-1.782,-0.558,-0.634,-1.192,-0.767,-0.619,landry shamet,Landry Shamet,New York Knicks,-0.6,0.9,0.3,-0.258,0.287,-0.545,283.0,166.5,-116.5,-0.088,-0.086,-0.002,226.0,221.5,-4.5,-0.318,0.794,-1.111,293.0,92.0,-201.0,-0.584,2661.0,0.676,0.284,2.232,2.07,2.949,guard,2000-3000
2024-2026,2025.0,1642346,Ryan Dunn,5510.0,5528.0,0.325,-1.086,0.074,-1.012,0.015,-0.069,-0.055,0.038,0.768,0.806,0.01,0.849,0.859,-1.076,0.923,-0.152,-0.952,0.931,-0.021,-1.048,0.842,ryan dunn,Ryan Dunn,Phoenix Suns,-0.8,1.1,0.4,0.273,0.328,-0.055,189.0,156.5,-32.5,-0.389,-0.189,-0.2,291.0,249.5,-41.5,0.778,0.977,-0.199,101.0,72.5,-28.5,3.089,2764.0,2.488,0.899,4.858,2.071,1.797,big,2000-3000
2024-2026,2025.0,1641796,Pelle Larsson,5558.0,5562.0,0.327,-1.131,-0.459,-1.59,0.343,-0.005,0.338,0.848,0.599,1.446,0.694,0.4,1.094,-0.437,-0.059,-0.497,-0.444,0.184,-0.261,-0.283,0.139,pelle larsson,Pelle Larsson,Miami Heat,0.5,0.7,1.2,0.164,0.656,-0.492,211.0,115.5,-95.5,-0.001,0.476,-0.477,206.0,119.5,-86.5,0.254,0.61,-0.356,189.0,125.0,-64.0,0.049,2634.0,1.326,0.314,3.267,4.114,1.285,wing,2000-3000
2024-2026,2025.0,201569,Eric Gordon,5593.0,5599.0,0.328,0.771,-0.215,0.556,0.139,0.273,0.413,-0.157,0.004,-0.153,0.206,-0.041,0.165,0.978,-0.256,0.721,0.313,-0.188,0.126,0.614,-0.211,eric gordon,Eric Gordon,Memphis Grizzlies,-1.9,-1.3,-3.2,0.339,-1.15,1.49,179.0,426.0,247.0,0.577,-0.751,1.328,113.0,379.5,266.5,-0.005,-1.221,1.215,235.0,430.0,195.0,-1.022,2734.0,0.329,0.566,1.909,2.726,2.818,guard,2000-3000
2024-2026,2025.0,1629645,Kevin Porter Jr.,5597.0,5611.0,0.328,-0.097,0.662,0.565,-0.014,0.124,0.11,-0.414,0.56,0.146,-0.647,0.915,0.268,-0.743,1.577,0.834,-0.616,1.339,0.723,-0.511,1.222,kevin porter,Kevin Porter Jr.,Milwaukee Bucks,-0.5,0.9,0.3,0.61,0.287,0.324,127.0,166.5,39.5,-0.132,-0.035,-0.097,239.0,207.5,-31.5,1.063,0.794,0.269,70.0,92.0,22.0,-1.055,2743.0,0.997,0.42,5.25,7.035,1.326,guard,2000-3000
