component,side,n_tg,att,p,within,tau2,tau2_plain,tau2_half,tau2_mom,bias_exact,n_half,k_loo,k_plain,k_half,k_mom,k_source,k,at_floor,shrink_mean
ftr,off,2378,221725.0,0.263736610666366,0.18704226198667506,0.0004707105310491964,0.0004698703336743482,0.000446013275579117,0.000508117625722749,-8.150828934027008e-05,29,397.36154100857857,398.07208198061716,419.3647862696772,368.1081948704795,mom,368.1081948704795,False,0.2029147001798517
fg3,def,2378,32589.0,0.35294117647058826,0.21164178763076355,0.0001243463895000471,9.591347195887013e-05,6.306079065280162e-05,8.536455878062849e-05,-0.0001994442201919472,29,1702.0340396026004,2206.5908292999793,3356.1549964702335,2479.269976368586,mom,2479.269976368586,False,0.006313195674361721
rim,def,2378,56572.0,0.6179382026444177,0.22251320893305146,0.0008052123786334701,0.0007963989337433476,0.0007618981677337903,0.0007899761628827244,-0.0001594474782932361,29,276.3410186399267,279.3991798647484,292.0511143830422,281.6707888008572,mom,281.6707888008572,False,0.0830905212510837
mid,def,2378,105950.0,0.38772062293534687,0.2314084007438036,0.0001257579702984522,0.00010957740810856303,9.502726618269214e-05,0.00011407574682554858,-7.232752772267025e-05,29,1840.109220867822,2111.825829230578,2435.17897588378,2028.550390274342,mom,2028.550390274342,False,0.022240557128472553
fg2,def,2378,162522.0,0.46785665940611115,0.24494776004706412,0.0002740751481369927,0.00025598369579134695,0.0002356608083365084,0.0002539608288022908,-4.617957974363068e-05,29,893.7248112865393,956.8881302765539,1039.408129744232,964.510004169803,mom,964.510004169803,False,0.06701972900566046
ft,def,2378,58477.0,0.7483797048412196,0.1789738414115004,2.8959112196192205e-05,2.5676728058702247e-05,6.120134492207169e-06,4.3787520080768944e-05,-0.00011372931016950852,29,6180.225422623054,6970.274444716229,29243.449084230037,4087.3253630571326,mom,4087.3253630571326,False,0.0066085646041603415
tov,def,2378,225508.0,0.16285453287688242,0.1345631846636963,0.00014482969258863197,0.00014179860909034137,0.0001394039387912754,0.00014248771524103657,-1.9900449430087885e-05,29,929.1132381665946,948.9739393562365,965.275341790543,944.3844645558748,mom,944.3844645558748,False,0.09154385126577275
oreb,def,2378,113213.0,0.30688171853055746,0.2075358024445222,0.00014197183031794042,0.00013943079092359673,0.0001239458261628522,0.00014317580444269136,-6.157922060607857e-05,29,1461.8097264771031,1488.4502990321892,1674.4073509328284,1449.5172787912784,mom,1449.5172787912784,False,0.032463472875501366
rim_share,def,2378,195111.0,0.2899477733187775,0.2001541511517168,0.0004678470995742689,0.0004674650056477107,0.00047200782989820163,0.0004888328607733693,-6.454894272266718e-05,29,427.81958322249494,428.1692719958513,424.0483705426756,409.4531428084813,mom,409.4531428084813,False,0.1679670499764483
mid_share,def,2378,195111.0,0.5430242272347535,0.2399550434883814,0.0005355887317648128,0.0005314297528258562,0.0005474321816568969,0.0005708855996304735,-9.421393712758576e-05,29,448.021082702222,451.5273038674071,438.32834738015674,420.32071511998384,mom,420.32071511998384,False,0.1643422932221302
thr_share,def,2378,195111.0,0.16702799944646893,0.1351991483984599,0.00018328155171980023,0.00018172461634755307,0.00018216671434918353,0.00020158785165233034,-4.607677131725834e-05,29,737.6582483607056,743.978174865908,742.1726240245265,670.6711108347536,mom,670.6711108347536,False,0.10977461191011424
ftr,def,2378,221725.0,0.263736610666366,0.18704226198667506,0.0007042640646259921,0.0007038118636817673,0.0006169346563136061,0.0007323828967006831,-7.874223937160179e-05,29,265.5854123211669,265.7560516360482,303.18002088635455,255.3886263992279,mom,255.3886263992279,False,0.26835247396892475
fg3,off,2378,32581.0,0.3536110002762346,0.21184960178700685,0.0003468504342558139,0.0003133323246152905,0.00034553196971058033,0.0002894960171895421,-0.0002014326915550019,29,610.780846336668,676.1179270192306,613.1114349981953,731.7876212725313,mom,731.7876212725313,False,0.02069463723640759
rim,off,2378,54403.0,0.608698049739904,0.22457239522637032,0.0008026354146306077,0.000789266449222296,0.0008115408544255243,0.0007762124504595214,-0.00015731535772299553,29,279.7937782619821,284.5330565459267,276.7234625363885,289.31820804139693,mom,289.31820804139693,False,0.07817855625343698
mid,off,2378,104598.0,0.38424252853783053,0.23070198796755045,0.0003326933759715883,0.00031598226374813257,0.00028890915990272166,0.0003111262963605399,-6.801491753360869e-05,29,693.4372747693426,730.1105613682214,798.527772692392,741.505911477852,mom,741.505911477852,False,0.05780095782431193
fg2,off,2378,159001.0,0.4610411255275124,0.2444242250801798,0.00023733664440303635,0.00021935052721591214,0.0001962672461198905,0.00021744273863383832,-4.6713141549906634e-05,29,1029.8629851069588,1114.308810571433,1245.364317848901,1124.0854793122194,mom,1124.0854793122194,False,0.05691973607758195
ft,off,2378,57149.0,0.7447899350819787,0.18047326671906772,0.0006503553487562876,0.0006507154692147667,0.0005655207695978633,0.0006358066143983262,-0.00011179909726024413,29,277.4994732713389,277.3458988716665,319.1275659909018,283.8493067421961,mom,283.8493067421961,False,0.08486601739052835
tov,off,2378,221078.0,0.16151765440251856,0.1336881102708216,9.1339628444987e-05,8.969747260733551e-05,8.888719027357828e-05,9.10370753511652e-05,-2.020606227173207e-05,29,1463.637553018301,1490.4334133923912,1504.019981499633,1468.501813740554,mom,1468.501813740554,False,0.05972944543833045
oreb,off,2378,112024.0,0.3028011854602585,0.2059044062337506,0.000418345220119608,0.0004130102567092318,0.000365832387616091,0.00040843618573581814,-5.926591011473281e-05,29,492.18778255642786,498.5455031416127,562.8381007365297,504.128707065471,mom,504.128707065471,False,0.08710682788997372
rim_share,off,2378,191582.0,0.28396717854495723,0.1979505967755327,0.0008200527346035209,0.0008204297896624403,0.0007545353240484095,0.0008267046088631938,-5.5746739132331835e-05,29,241.38764304131962,241.27670553866406,262.3476866708398,239.44537704674912,mom,239.44537704674912,False,0.2530149349420638
