system,base,k,held_out,map_o,map_d,scale_o,scale_d,o0,o1,o2,o3,o4,o5,o6,d0,d1,d2,d3,d4,d5,d6
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,2008,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.32394,2.70488,-0.55553,0.03345,-0.18216,0.34835,-0.31793,1.05894,-2.79842,0.66497,-0.17025,0.20616,-0.21043,0.62555
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,2009,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.36857,2.59865,-0.5329,0.02592,-0.19657,0.32904,-0.28483,1.09795,-2.81482,0.67242,-0.19181,0.19843,-0.23415,0.5963
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,2010,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.37241,2.7362,-0.56352,0.03672,-0.20405,0.32678,-0.33042,1.03211,-2.84523,0.6806,-0.19202,0.21199,-0.18719,0.60893
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,2011,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.3437,2.70472,-0.55582,0.02625,-0.19464,0.34452,-0.32144,1.06687,-2.79365,0.66994,-0.18286,0.2125,-0.21977,0.67508
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,2012,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.3537,2.63821,-0.54084,0.02516,-0.18518,0.34113,-0.33007,1.07247,-2.80456,0.66657,-0.17952,0.20631,-0.21762,0.62001
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,2013,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.35581,2.70579,-0.55457,0.02621,-0.21092,0.32996,-0.30282,1.07066,-2.83023,0.67501,-0.1728,0.19732,-0.21194,0.62278
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,2014,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.44547,2.5541,-0.51991,0.01718,-0.19511,0.29048,-0.32963,1.11378,-2.68958,0.63775,-0.16382,0.18663,-0.22979,0.57088
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,2015,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.33309,2.73616,-0.56354,-0.00093,-0.17328,0.35264,-0.3397,1.0102,-2.83605,0.67622,-0.18658,0.20102,-0.16822,0.59957
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,2016,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.39683,2.64168,-0.54532,0.03701,-0.20411,0.31073,-0.28673,1.04593,-2.78216,0.66563,-0.17867,0.20963,-0.19514,0.62015
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,2017,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.38043,2.64752,-0.53923,0.0239,-0.20018,0.32358,-0.33276,1.09403,-2.79502,0.65738,-0.16557,0.19546,-0.23145,0.63146
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,2018,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.39178,2.76413,-0.57347,0.01793,-0.1935,0.31929,-0.31406,1.02816,-2.89342,0.68128,-0.18278,0.20773,-0.1918,0.64769
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,2019,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.43672,2.60726,-0.53116,0.01867,-0.17999,0.29435,-0.32517,1.03908,-2.80282,0.66886,-0.19138,0.21697,-0.19737,0.66342
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,2020,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.39314,2.5858,-0.51714,0.01815,-0.18612,0.31301,-0.32707,1.07462,-2.80484,0.66386,-0.17039,0.19184,-0.2147,0.56151
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,2021,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.39322,2.64354,-0.54178,0.00268,-0.17395,0.31488,-0.33728,1.07142,-2.71345,0.64471,-0.17787,0.20851,-0.2151,0.64462
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,2022,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.37054,2.86729,-0.60058,0.02211,-0.18723,0.33385,-0.33328,1.04891,-2.58652,0.61238,-0.18534,0.20759,-0.2009,0.60195
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,2023,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.42937,2.56885,-0.52126,0.03557,-0.19347,0.29628,-0.33388,1.07364,-2.77253,0.65868,-0.18122,0.21115,-0.21022,0.59056
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,2024,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.38926,2.45776,-0.4899,0.00036,-0.17883,0.32157,-0.34391,1.10329,-2.72211,0.64592,-0.19665,0.19935,-0.24261,0.61284
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,2025,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.4007,2.53415,-0.51165,0.00929,-0.16856,0.3105,-0.32941,1.11828,-2.72001,0.64413,-0.18257,0.2041,-0.24239,0.58993
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,-1,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.39187,2.64043,-0.54088,0.02238,-0.19101,0.31723,-0.32572,1.06451,-2.77977,0.66036,-0.18002,0.20473,-0.21084,0.61758
