system,base,k,held_out,map_o,map_d,scale_o,scale_d,o0,o1,o2,o3,o4,o5,o6,d0,d1,d2,d3,d4,d5,d6
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,1998,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.4417,2.66199,-0.54534,0.01314,-0.20537,0.28997,-0.34917,1.01942,-2.80642,0.67088,-0.1953,0.19999,-0.1813,0.63527
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,1999,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.38494,2.63197,-0.53824,0.02458,-0.19313,0.32175,-0.33134,1.03733,-2.77554,0.65669,-0.17569,0.19865,-0.1928,0.61455
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,2000,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.39675,2.68874,-0.55632,0.01495,-0.18234,0.31724,-0.33629,1.06939,-2.75109,0.65083,-0.17349,0.20599,-0.21147,0.58265
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,2001,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.38452,2.62898,-0.54226,0.03065,-0.21623,0.31791,-0.29933,1.05846,-2.7827,0.6629,-0.1775,0.20534,-0.2124,0.68774
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,2002,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.43986,2.55328,-0.52134,0.03963,-0.19304,0.28561,-0.32407,1.07278,-2.71693,0.63952,-0.17789,0.21438,-0.21334,0.60013
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,2003,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.38401,2.5608,-0.5264,0.01412,-0.191,0.33145,-0.33815,1.0361,-2.86745,0.6763,-0.17427,0.19621,-0.19226,0.61488
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,2004,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.38587,2.62734,-0.53329,0.02518,-0.18523,0.31303,-0.30966,1.04224,-2.82695,0.67084,-0.17195,0.20559,-0.20201,0.6325
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,2005,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.45409,2.6035,-0.53956,0.03652,-0.19386,0.28557,-0.34243,1.09971,-2.7259,0.65053,-0.18848,0.21638,-0.24136,0.65149
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,2006,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.41887,2.66384,-0.55299,0.04082,-0.20145,0.30273,-0.32745,1.07446,-2.79057,0.65971,-0.16703,0.19902,-0.21836,0.58824
mspi1_lam07_fast_dec05_linear+log2&age2&xlog&prior,mspi1_lam07_fast_dec05,3,2007,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.40232,1.58562,0.40189,2.63736,-0.53734,0.01079,-0.18005,0.31752,-0.34101,1.07696,-2.78845,0.66684,-0.18799,0.21849,-0.21798,0.60261
