system,base,k,held_out,map_o,map_d,scale_o,scale_d,o0,o1,o2,o3,o4,o5,d0,d1,d2,d3,d4,d5,o6,d6
mspi1_lam05_fast_dec05_linear+log2&age2&prior,mspi1_lam05_fast_dec05,3,2002,linear+log2&age2&prior,linear+log2&age2&prior,1.51797,1.73523,0.84724,1.88471,-0.35727,0.05565,-0.18521,-0.30187,0.70035,-2.77767,0.64406,-0.17449,0.21221,0.75123,,
mspi1_lam05_fast_dec05_linear+log2&age2&prior,mspi1_lam05_fast_dec05,3,2003,linear+log2&age2&prior,linear+log2&age2&prior,1.51797,1.73523,0.86696,1.7688,-0.33153,0.03202,-0.18184,-0.32085,0.69491,-2.91191,0.67718,-0.17159,0.19336,0.76645,,
mspi1_lam05_fast_dec05_linear+log2&age2&prior,mspi1_lam05_fast_dec05,3,2004,linear+log2&age2&prior,linear+log2&age2&prior,1.51797,1.73523,0.84142,1.8993,-0.35414,0.04233,-0.17701,-0.29509,0.68759,-2.88303,0.67465,-0.16841,0.20307,0.78376,,
mspi1_lam05_fast_dec05_linear+log2&age2&prior,mspi1_lam05_fast_dec05,3,2005,linear+log2&age2&prior,linear+log2&age2&prior,1.51797,1.73523,0.86046,1.93559,-0.37531,0.05122,-0.18305,-0.32174,0.68705,-2.79549,0.65591,-0.18341,0.21384,0.80655,,
mspi1_lam05_fast_dec05_linear+log2&age2&prior,mspi1_lam05_fast_dec05,3,2006,linear+log2&age2&prior,linear+log2&age2&prior,1.51797,1.73523,0.85513,1.95361,-0.37825,0.05642,-0.192,-0.30951,0.69463,-2.8487,0.66325,-0.16327,0.1974,0.73854,,
mspi1_lam05_fast_dec05_linear+log2&age2&prior,mspi1_lam05_fast_dec05,3,2007,linear+log2&age2&prior,linear+log2&age2&prior,1.51797,1.73523,0.8637,1.88084,-0.35192,0.02782,-0.17227,-0.32456,0.6971,-2.84218,0.66895,-0.18444,0.21606,0.75337,,
mspi1_lam05_fast_dec05_linear+log2&age2&prior,mspi1_lam05_fast_dec05,3,2008,linear+log2&age2&prior,linear+log2&age2&prior,1.51797,1.73523,0.8432,1.89525,-0.35651,0.05013,-0.17331,-0.31682,0.69003,-2.85069,0.66718,-0.16744,0.20443,0.78142,,
mspi1_lam05_fast_dec05_linear+log2&age2&prior,mspi1_lam05_fast_dec05,3,2009,linear+log2&age2&prior,linear+log2&age2&prior,1.51797,1.73523,0.85186,1.82852,-0.34324,0.04035,-0.18764,-0.27011,0.69412,-2.87206,0.67481,-0.1878,0.19642,0.74873,,
mspi1_lam05_fast_dec05_linear+log2&age2&prior,mspi1_lam05_fast_dec05,3,2010,linear+log2&age2&prior,linear+log2&age2&prior,1.51797,1.73523,0.85264,1.96901,-0.37558,0.052,-0.19614,-0.31854,0.6978,-2.88716,0.68125,-0.19094,0.21002,0.75902,,
mspi1_lam05_fast_dec05_linear+log2&age2&prior,mspi1_lam05_fast_dec05,3,2011,linear+log2&age2&prior,linear+log2&age2&prior,1.51797,1.73523,0.85701,1.91102,-0.36187,0.04323,-0.18587,-0.31714,0.68539,-2.85115,0.6734,-0.17989,0.21036,0.83174,,
mspi1_lam05_fast_dec05_linear+log2&age2&prior,mspi1_lam05_fast_dec05,3,2012,linear+log2&age2&prior,linear+log2&age2&prior,1.51797,1.73523,0.85918,1.85556,-0.3491,0.04181,-0.17661,-0.32215,0.69361,-2.864,0.67017,-0.17573,0.20365,0.77048,,
mspi1_lam05_fast_dec05_linear+log2&age2&prior,mspi1_lam05_fast_dec05,3,2013,linear+log2&age2&prior,linear+log2&age2&prior,1.51797,1.73523,0.84506,1.94088,-0.36735,0.04356,-0.20177,-0.29703,0.69961,-2.88331,0.67713,-0.16973,0.19455,0.77317,,
mspi1_lam05_fast_dec05_linear+log2&age2&prior,mspi1_lam05_fast_dec05,3,2014,linear+log2&age2&prior,linear+log2&age2&prior,1.51797,1.73523,0.86061,1.86813,-0.3511,0.03255,-0.18665,-0.30892,0.71428,-2.75312,0.64191,-0.15956,0.18448,0.7215,,
mspi1_lam05_fast_dec05_linear+log2&age2&prior,mspi1_lam05_fast_dec05,3,2015,linear+log2&age2&prior,linear+log2&age2&prior,1.51797,1.73523,0.85749,1.91715,-0.36233,0.0172,-0.16388,-0.33605,0.70351,-2.87171,0.67604,-0.18619,0.19894,0.74684,,
mspi1_lam05_fast_dec05_linear+log2&age2&prior,mspi1_lam05_fast_dec05,3,2016,linear+log2&age2&prior,linear+log2&age2&prior,1.51797,1.73523,0.84984,1.91989,-0.36867,0.05164,-0.19436,-0.2683,0.6997,-2.82632,0.66621,-0.17598,0.20672,0.77156,,
mspi1_lam05_fast_dec05_linear+log2&age2&prior,mspi1_lam05_fast_dec05,3,2017,linear+log2&age2&prior,linear+log2&age2&prior,1.51797,1.73523,0.85337,1.88316,-0.35061,0.04,-0.19084,-0.3236,0.69374,-2.86139,0.66264,-0.16105,0.19286,0.78971,,
mspi1_lam05_fast_dec05_linear+log2&age2&prior,mspi1_lam05_fast_dec05,3,2018,linear+log2&age2&prior,linear+log2&age2&prior,1.51797,1.73523,0.85733,2.01406,-0.38894,0.03456,-0.18392,-0.30328,0.68799,-2.93689,0.68223,-0.18137,0.2061,0.80073,,
mspi1_lam05_fast_dec05_linear+log2&age2&prior,mspi1_lam05_fast_dec05,3,2019,linear+log2&age2&prior,linear+log2&age2&prior,1.51797,1.73523,0.86062,1.9217,-0.36382,0.0349,-0.17152,-0.30402,0.68983,-2.84819,0.66981,-0.18877,0.21427,0.81908,,
mspi1_lam05_fast_dec05_linear+log2&age2&prior,mspi1_lam05_fast_dec05,3,2020,linear+log2&age2&prior,linear+log2&age2&prior,1.51797,1.73523,0.85017,1.85493,-0.33727,0.03441,-0.17762,-0.31811,0.69949,-2.85822,0.66614,-0.1674,0.18962,0.70785,,
mspi1_lam05_fast_dec05_linear+log2&age2&prior,mspi1_lam05_fast_dec05,3,2021,linear+log2&age2&prior,linear+log2&age2&prior,1.51797,1.73523,0.85371,1.90516,-0.36015,0.01973,-0.16588,-0.32769,0.69553,-2.77223,0.64848,-0.17535,0.20647,0.80019,,
mspi1_lam05_fast_dec05_linear+log2&age2&prior,mspi1_lam05_fast_dec05,3,2022,linear+log2&age2&prior,linear+log2&age2&prior,1.51797,1.73523,0.86346,2.0743,-0.40627,0.04012,-0.17911,-0.32576,0.69411,-2.63467,0.61409,-0.18298,0.20448,0.75006,,
mspi1_lam05_fast_dec05_linear+log2&age2&prior,mspi1_lam05_fast_dec05,3,2023,linear+log2&age2&prior,linear+log2&age2&prior,1.51797,1.73523,0.8565,1.87813,-0.35199,0.05179,-0.18604,-0.31446,0.70482,-2.82363,0.66073,-0.17863,0.20886,0.74178,,
mspi1_lam05_fast_dec05_linear+log2&age2&prior,mspi1_lam05_fast_dec05,3,2024,linear+log2&age2&prior,linear+log2&age2&prior,1.51797,1.73523,0.86041,1.69865,-0.30267,0.01549,-0.16916,-0.33642,0.6875,-2.79275,0.65158,-0.19249,0.19742,0.7644,,
mspi1_lam05_fast_dec05_linear+log2&age2&prior,mspi1_lam05_fast_dec05,3,2025,linear+log2&age2&prior,linear+log2&age2&prior,1.51797,1.73523,0.85327,1.7998,-0.33141,0.02569,-0.16037,-0.31661,0.69996,-2.78915,0.64937,-0.17813,0.20156,0.74461,,
mspi1_lam05_fast_dec05_linear+log2&age2&prior,mspi1_lam05_fast_dec05,3,-1,linear+log2&age2&prior,linear+log2&age2&prior,1.51797,1.73523,0.8552,1.89815,-0.35868,0.03883,-0.18217,-0.31299,0.69532,-2.83431,0.66322,-0.17698,0.20234,0.76971,,
