side,mse_raw,mse_adj,mse_both,z,wins,n,coef_raw,coef_adj
off,8.90659517418497,8.466248195159208,8.371473881753802,-1.694326259131844,21,30,0.26976476323507403,0.6358888532285834
def,8.292927850292761,7.6607074504419,7.48845466125683,-1.3971247395541007,16,30,0.2927071087348522,0.6646680833318175
