system,base,k,held_out,map_o,map_d,scale_o,scale_d,o0,o1,o2,o3,o4,o5,o6,d0,d1,d2,d3,d4,d5,d6
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,1998,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.36508,2.57223,-0.51889,0.00331,-0.18939,0.30086,-0.26392,0.8452,-2.77702,0.65661,-0.19729,0.19794,-0.11864,0.80876
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,1999,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.3185,2.53793,-0.51093,0.01531,-0.17546,0.33046,-0.25216,0.85435,-2.74914,0.64319,-0.17871,0.19676,-0.12612,0.79017
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,2000,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.32626,2.59848,-0.53007,0.0054,-0.16571,0.32749,-0.25311,0.88489,-2.72369,0.63663,-0.17573,0.20422,-0.14685,0.75719
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,2001,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.32192,2.53324,-0.51481,0.02106,-0.19902,0.32412,-0.21556,0.87541,-2.75678,0.6494,-0.18007,0.20324,-0.14759,0.87034
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,2002,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.36645,2.46454,-0.49533,0.03044,-0.17703,0.29487,-0.23898,0.88424,-2.69084,0.62593,-0.1804,0.21289,-0.14548,0.77755
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,2003,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.3145,2.46393,-0.49854,0.00511,-0.17515,0.3407,-0.25039,0.85698,-2.83259,0.66048,-0.17724,0.19466,-0.12893,0.79326
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,2004,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.31821,2.53313,-0.50603,0.01588,-0.16937,0.32211,-0.22498,0.8587,-2.80289,0.65782,-0.1744,0.20406,-0.13566,0.81043
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,2005,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.37666,2.51858,-0.51427,0.02714,-0.17668,0.29608,-0.25699,0.91447,-2.6994,0.63661,-0.19153,0.21488,-0.17856,0.83125
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,2006,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.34044,2.58486,-0.52957,0.03086,-0.18495,0.31634,-0.24151,0.88686,-2.76547,0.64636,-0.16962,0.19806,-0.15129,0.76065
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,2007,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.33248,2.53687,-0.5081,0.00113,-0.16346,0.32571,-0.25492,0.88865,-2.76058,0.6524,-0.19049,0.21711,-0.15022,0.77637
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,2008,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.2672,2.60224,-0.52648,0.02434,-0.16649,0.35459,-0.2371,0.87295,-2.76938,0.65044,-0.17344,0.20481,-0.14421,0.80446
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,2009,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.3079,2.49934,-0.50455,0.01595,-0.18019,0.33431,-0.19671,0.9058,-2.788,0.65819,-0.19438,0.19712,-0.16543,0.7697
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,2010,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.31155,2.63095,-0.53328,0.02642,-0.1871,0.33262,-0.24858,0.85555,-2.81641,0.66627,-0.19533,0.21069,-0.12433,0.78076
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,2011,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.27448,2.61702,-0.53042,0.0178,-0.17823,0.35751,-0.23895,0.8804,-2.76511,0.65563,-0.186,0.21145,-0.15338,0.85738
