window,side,n,poss_pct_mean,poss_pct_sd,gs_pct_mean,gs_pct_sd,age_mean,age_sd,apm_mean,apm_sd,spm_mean,spm_sd,u_mean,u_sd,rapm1_mean,rapm1_sd
1997-1997,D,441,0.5206376916786986,0.21123435434477913,0.6472274633482261,0.38368283145223747,28.07991941945379,4.015330919895912,-0.41232867509915316,3.864285156800846,-6.662507258369092e-18,0.6616426631685532,-0.0538915582438848,0.6510557743286325,-0.05389155824388481,0.9819555350924632
1997-1997,O,441,0.5208504398179362,0.2111362842880332,0.6477334482456073,0.38353200630536366,28.078598997321613,4.014772686224895,1.3608223783872746,3.569118785066232,-1.0660011613390547e-16,1.770472890132209,-0.013958981031181003,0.47848692855588837,-0.013958981031181079,1.7912399512717356
1998-1998,D,439,0.5061557969403926,0.19569917463343128,0.6314730143971808,0.3825311126714379,28.08089487954424,4.206694808025502,-0.37452539542314484,3.5066891038765813,-1.3306980653343318e-17,0.6484220598995795,-0.036693210958118436,0.6082295542484428,-0.03669321095811844,0.9016484021575826
1998-1998,O,439,0.5063868420894055,0.19558048571334913,0.6320858140072497,0.38232571525722914,28.07767967774826,4.205751443967989,1.1232546597370838,3.5916725237677842,-2.6613961306686637e-16,1.6303120192886627,-0.005230045974503594,0.4909389102987353,-0.0052300459745038335,1.6874819166268222
1999-1999,D,440,0.5107891171657482,0.19601542869342325,0.6233034514705372,0.3988390795557398,28.278152990602376,4.360646008076577,-0.3891084834541598,3.8185754869161843,5.527625078199657e-18,0.6762133984880253,-0.031776858164385996,0.5127861754039189,-0.031776858164385996,0.8438003972747238
1999-1999,O,440,0.5109720010865252,0.19594801402468826,0.6238359676903582,0.39870628989301604,28.277118264212294,4.360567110122642,1.1373079041736778,4.212763605722743,1.547735021895904e-16,1.6211557852649208,-0.00178902456460849,0.33863204212436065,-0.0017890245646083117,1.643485577175637
2000-2000,D,439,0.5048749637916118,0.20065084216799836,0.626004637916948,0.4077931762448362,28.189537400003548,4.302078336242146,-0.10619557143560024,3.6395088706806624,-1.290589711084915e-17,0.6714703509716519,-0.03180382071887164,0.55007550288902,-0.03180382071887163,0.8916144547864103
2000-2000,O,439,0.5051299891155553,0.20054168768972785,0.6266130827371877,0.4076263564912111,28.1881707079128,4.301327775620866,1.306113702166884,3.795559983896193,5.16235884433966e-17,1.6722253928045903,-0.01275873920424681,0.42684285238443154,-0.012758739204246753,1.6973251043863267
2001-2001,D,441,0.5113514317818558,0.20924042832238063,0.627994515525252,0.3802146392260359,28.0915731099431,4.414357985277705,-0.4750436324679678,3.6688381537653023,-6.582253877982817e-18,0.6624910848350772,-0.07025103768050739,0.6173975322581461,-0.07025103768050737,0.8990052706217083
2001-2001,O,441,0.5116337558501267,0.2091134328400293,0.6286775796668856,0.37996605170541575,28.088721627660824,4.414001207996297,1.3430458917960193,3.8415169276692382,0.0,1.7916824839477472,0.005337115040599317,0.4754672641354404,0.005337115040599385,1.8266469830298069
2002-2002,D,440,0.5066872440523896,0.20268228254857154,0.6329580631566571,0.392036472722733,27.839813247046045,4.485454281420146,-0.3672552702228996,3.329659598593859,5.313026695218212e-17,0.6809981371527142,-0.044878758175085985,0.5596155312197534,-0.044878758175085895,0.8501634619975564
2002-2002,O,440,0.5069544582989972,0.20259397765911166,0.6336612338119503,0.39181615079596543,27.838884046131447,4.484785637418226,1.4918330371895436,3.6284283171010356,0.0,1.7423308149811643,0.007870470169506158,0.44762678764767977,0.007870470169506191,1.7905850736761548
2003-2003,D,428,0.51558249179788,0.20166956671660066,0.6326228059480166,0.3866405627598935,27.639629230985825,4.3593781027692176,-0.04345360527013416,3.388062606827771,-3.965261585178373e-17,0.6314079900653234,0.0010943211744012579,0.5441056573586963,0.0010943211744011852,0.8312487633695455
2003-2003,O,428,0.5158562222348376,0.2015674785139146,0.6333532964998758,0.3863894549456358,27.637442038957087,4.36006616351827,1.4399620195624137,3.8553098424856818,1.3217538617261243e-16,1.7137455739162144,0.013901273967928262,0.46349196066823145,0.013901273967928335,1.7995955706933986
2004-2004,D,442,0.5087089951327519,0.20361687070172949,0.6359303215735179,0.38677587561109844,27.451924655680866,4.149515219409689,-0.40320698072706773,3.3020565407434725,0.0,0.6486234203229695,-0.043860580042984265,0.6263947729906817,-0.04386058004298425,0.8753156915021787
2004-2004,O,442,0.509033755886573,0.20349504461804493,0.6366927664813127,0.38656416594613113,27.449543430303752,4.149040612586392,1.412704554755437,3.569457783663061,-9.343595099827825e-17,1.7137493452232084,-0.001089841686415547,0.4693394714105395,-0.0010898416864157034,1.7389049261666583
2005-2005,D,464,0.49294483907774106,0.19670573287673626,0.6251609431809444,0.3887895241919105,27.29639174352218,4.011620688820502,-0.38540363335159594,3.595599640934575,0.0,0.6375096668222583,-0.0379658436504552,0.576268331193301,-0.03796584365045521,0.9012856069919026
2005-2005,O,464,0.4932200967945544,0.1965983162623894,0.6258409264388455,0.38857549850289624,27.2946332894159,4.010593154666811,1.3752593196499936,3.815957908553707,-7.668993532736154e-17,1.672394643728741,0.0028233617083112225,0.40111187849934044,0.0028233617083111237,1.718232487551414
2006-2006,D,458,0.5087825359086694,0.20718671939429387,0.6292821749974932,0.37885485269084185,26.999902903194485,3.876003820546458,-0.32966974928994247,3.243921668240702,-3.853484953093465e-17,0.6515492684171189,-0.044328024693881245,0.5488624254794539,-0.044328024693881245,0.8597960909697363
2006-2006,O,458,0.5091079315903594,0.20708396800320816,0.6299707501147249,0.3786548730773642,26.998900158002982,3.8745253894658287,1.3046797107997201,4.147739239323787,-7.70696990618693e-17,1.7778709615212298,0.001065455371394036,0.3936372587197199,0.0010654553713939621,1.8171711682482974
2007-2007,D,458,0.4925890879951062,0.18559633552856636,0.6231538493703266,0.3772804828541189,27.038741677154142,3.977287979590483,-0.3653451914242275,3.4180654017492786,-2.534746315454579e-17,0.6468770302417209,-0.02498247136907515,0.5723699957657612,-0.024982471369075145,0.8494555394864647
2007-2007,O,458,0.49284865485849905,0.18546362230246694,0.6236873591634392,0.37712093879319175,27.03689791368191,3.9763864751977804,1.3341987060261813,3.7491952639538275,-2.534746315454579e-17,1.5810450422923745,0.0024694594272629583,0.41004951366744014,0.002469459427262905,1.6105163132617186
2008-2008,D,451,0.5059368561598381,0.1954641422735058,0.6310739515748954,0.3906556955804122,27.219442163927877,3.925255135037078,-0.2126907185469987,3.274034272574772,0.0,0.666172445133591,-0.030224027361237457,0.5395882327205418,-0.030224027361237447,0.8972370037618814
2008-2008,O,451,0.5061525193132718,0.19540842301663727,0.6315048153085114,0.3905550787331462,27.217479616525708,3.9250789548247975,1.3135232719187235,3.7276875712484703,7.585344867986422e-17,1.6542486064878825,0.008942436446472128,0.4500439510584137,0.008942436446472211,1.731984557321237
2009-2009,D,445,0.5021357400856166,0.1909490329007669,0.6289811803460134,0.3811854613016898,27.034621100853265,4.110265914475431,-0.19027199222761768,3.163011971781133,1.2721984917791694e-17,0.6533174697860975,-0.02000845157383273,0.5633577645008389,-0.020008451573832735,0.875755657171589
2009-2009,O,445,0.5023634166100659,0.19084993631231809,0.6295583424647688,0.3810297240706435,27.032494055112604,4.11006557840007,1.4232481394454204,3.768834393219387,1.2721984917791693e-16,1.5923332322187893,0.00888247710764844,0.43783488201811244,0.008882477107648558,1.6400002218889087
