fg3m,fg3_miss,fg2m,fg2_miss,ftm,ft_miss,orb,drb,ast,tov,stl,blk,pf,season,share,gs_pct,age,pts,fga,fta,fg3a,usage,bigness,reb,stocks,creation,shotmix,efg,ts,p3r,ftr,fg3p,fg2p,ftp,astr,tovr,orbsh,q2,q3,m2,m3,xps,mpts,unast,russ,blkrim,loose,techflg,stolen,offoul,unastsh,russsh,blkrimsh,blk3sh,stolensh,Max_Shadow,Min_Shadow,Mean_Shadow,Median_Shadow
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.2890990679811044,0.08090737133997603,-0.38754536115614174,-0.08522977072490441,-0.19717309474509362,-0.38754536115614174,-0.2130010073550689,1.1657034868738982,-0.14657540730110885,-0.31661601642977494,0.032843308336415404,-0.363935376796325,1.3158853666318777,-0.1725448897337549,1.2851828022892327,5.244886405536958,1.4486556182672843,0.2776618827541099,2.3085226575245397,-0.38754536115614174,-0.38754536115614174,-0.30151778989704936,-0.02724053712028086,-0.27493377902985616,7.988996414254809,0.08024743410226093,-0.28564869755795236,-0.30149629467253597,-0.2781554491490566,-0.21024930393850236,-0.29842215418567153,-0.22798738367995133,-0.08266736440560343,-0.23645359039523894,0.48454607569031155,-0.06040071939989504,-0.14258598129999792,-0.05552311344197381,-0.06754612655379659,-0.2181715130342784,-0.2765513269152545,-0.1271711207565215,-0.33569530710098794,0.12166028981372616,-0.08050890549503958,0.020205801663427257,0.03925383042972661,-0.16648792565857304,-0.1981995095115664,-0.20867835559043751,-0.3306274517864746,-0.03120317886650758,-0.2809340163939071,0.4313881010325319,-0.1278170398209028,-0.09496226287468457,-0.38754536115614174,-0.2501693970034831,-0.24853104757054767
-0.3899198556246521,0.03338228070887562,-0.34216969385976087,0.006576441153070687,-0.29088061799499865,-0.2452542911827222,-0.3714117409867834,0.9534969167413124,0.04615056445397112,-0.3572511158625602,0.019207306283623635,-0.38344117314816895,1.4431330051420896,0.08759340571765391,1.414773184112223,5.242895773994832,1.6393830054481886,0.23783022577057128,2.171413477952932,-0.2927193535072441,-0.24388360853762445,-0.2602713198354435,0.09067248173652209,-0.33305001924200256,7.971154886063144,-0.035905114732303095,-0.3344813014121622,-0.37289838849063656,-0.29661318308575985,-0.34223196661261956,-0.28247323901384325,-0.17382099153784436,-0.19627104707877988,-0.27466382403549017,0.3035633039835492,-0.03119562469573848,-0.24541203883197552,-0.12141861341261243,-0.15345160830622545,-0.3256647658020923,-0.21802579591366084,-0.06632498603743087,-0.3311428633435984,0.09112760714844599,-0.007288070951178633,-0.14913433224517864,-0.14493905653019698,-0.14249112356169077,-0.31427544888489994,-0.2367395517453571,-0.2609727312621626,-0.058529879293809095,-0.3184389851934556,0.46471989819927706,-0.2337427531924131,0.10039613761544239,-0.3614800742229735,-0.237059521629549,-0.2497821805691611
-0.26127968120310635,0.0025625274058630057,-0.27697648331257285,-0.10293453679715492,-0.20159159263994497,-0.3373318250803137,-0.3373318250803137,1.1205769301596449,-0.18711039574048055,-0.3373318250803137,0.06223064917095602,-0.2784668808520947,1.2260118239600726,-0.16404841034304174,0.7237317471158681,5.236582480216566,1.4979629223523858,0.1857033079005324,2.421182678042036,-0.3373318250803137,-0.20967059023163753,-0.1599024201391934,-0.011824045860386143,-0.2028361835804436,8.078726732928198,-0.009334780494286309,-0.23238636742053537,-0.2622213302214797,-0.2312069103252606,-0.23871920402151292,-0.20378457903144886,-0.14856074136654795,-0.14317554495058024,-0.24712615872322627,0.3026331646628828,0.010309981659244488,-0.19844429532175914,-0.14883435485370236,0.037010495186404854,-0.2562461410291521,-0.20081288025016825,-0.1402809212672254,-0.2611163504126845,0.06293695112902671,0.041997115415434924,0.04120496980258892,-0.10295734212422517,-0.24642024136163368,-0.3373318250803137,-0.09135761352110695,-0.24241895343905848,-0.10915785527172223,-0.26891227073432306,0.26852460320791643,-0.025458898577671134,0.06385734100592484,-0.3373318250803137,-0.24668463635444882,-0.2601819078881178
-0.3263894817543657,0.004956367646057808,-0.36468610645452315,-0.12651666545495785,-0.1949965010493439,-0.21944511941945086,-0.2880898032236881,1.067410269461626,0.04800565649050492,-0.35208496240150666,0.12196242985290429,-0.3723824566947561,1.2867334890062,0.20011922663596898,1.3372743925702886,5.366588751246875,1.75941144158683,0.27606236345433277,2.307425238200567,-0.3321710788280132,-0.32506108948689255,-0.3382154321135583,-0.04909953874431797,-0.31234810437677646,7.841582103913183,-0.1331543209573187,-0.2899438791434359,-0.3609768808134955,-0.23475859296831153,-0.22416486365966862,-0.2760043250512922,-0.14058541390788376,-0.2644937203597321,-0.22258290669146713,0.4387879277514631,0.028178107829628627,-0.08475256285694624,-0.1840615610964533,-0.05650963112554092,-0.2562989001167649,-0.31507442778547606,-0.13719616059920745,-0.35394022229021455,0.1207932849648667,-0.05074317535241966,-0.03317045767856111,-0.16181079217731012,-0.2379549663860851,-0.3396856528605558,-0.26714547111320847,-0.30401351827168976,0.011697886480562882,-0.2546670544189646,0.49043420490762857,-0.17156842611303852,-0.07416396851413098,-0.38310859774223277,-0.2500123439673144,-0.24469714571605106
-0.24807874654240678,0.07701979958289851,-0.2772053480468399,0.038930807005654086,-0.22687162930363838,-0.24247377142344434,-0.3107844130754811,0.9237198406996238,0.061333093283968944,-0.30476963544516444,0.1187366731608096,-0.3206977482667798,1.4316417120678688,0.04573889630305287,0.9593950317099182,5.643653849375946,1.6024771362896926,0.16347157880281443,2.050488300539373,-0.3106274776720244,-0.4123994091210238,-0.16612218943937254,0.077001149927194,-0.2646767015572473,7.812000528823643,-0.10696779735748153,-0.28685454063702825,-0.3632996934872082,-0.30375459731319915,-0.4123994091210238,-0.23603816323960986,-0.15730890422094723,-0.2600822487270012,-0.2514419767889288,0.4421239206730852,0.12504738936653645,-0.16539709221661564,-0.15462289793460046,-0.04501764925492007,-0.2615674523357431,-0.30774671174471635,-0.1421817823207751,-0.2786899461055715,0.1595350699109887,-0.06462562519050401,-0.03186127285138521,-0.20021073453224783,-0.2526574233366808,-0.310539775055173,-0.25416401103888836,-0.29546427161753774,0.027712464593614983,-0.30955481670030016,0.35250249832182773,-0.2953059380059008,0.07456821811527035,-0.3857890151037375,-0.2414557807165655,-0.27007209104984214
-0.3692675637389366,-0.14471439063358427,-0.3806475574308068,-0.12610556091633177,-0.2410482801562972,-0.3240373279408979,-0.29396798489814685,0.9472677604206824,0.29614010029429727,-0.2579717094172919,0.06051923608447478,-0.32308342567890824,1.3907487009248445,0.19348158756129527,1.4627383786874428,5.327194871671523,1.7985932843593586,0.17383881556164474,2.2220761610147157,-0.3390966733211364,-0.3026072178449168,-0.3331231865093069,0.07328929340936939,-0.3430792277547433,7.853692191516636,0.143598348612589,-0.3396302931206283,-0.4173573756922822,-0.28914851772575906,-0.26166108019074913,-0.3304608111426822,-0.1721357413251981,-0.16168895138584474,-0.2370184013565317,0.1746025065124066,0.19608104571152374,-0.15078969760597546,-0.026647451588795123,-0.07054743669173887,-0.2654417024503866,-0.29364396997738074,-0.23378142716266792,-0.39762105844101,-0.06162955255172934,-0.2238010513189234,-0.03465831947637059,0.057942795901534526,-0.20263784692636505,-0.2794811286794311,-0.31029240203642766,-0.2046171520277843,0.12183269683098792,-0.31054021171460083,0.40521469356246903,-0.23485003083455314,-0.02442222611186958,-0.3656210090868159,-0.24745492274495745,-0.252550967612803
-0.2497338679744997,0.04216782096126034,-0.37600070086965937,-0.030943064769158122,-0.208664554393712,-0.32689818216797295,-0.26582161912766,1.071262383706183,-0.03776374211616967,-0.37600070086965937,0.2254742970496429,-0.2844902762165676,1.0226871187682807,0.12724974571000347,0.7487156323624627,5.438663302671345,1.4109467625537537,0.2926532333144825,2.431715511934892,-0.23250550509163875,-0.23345842230793282,-0.3041062158776022,-0.05368395919666998,-0.1787443245360477,7.950924448912977,-0.03750926292698664,-0.2994047080261399,-0.19113758248499607,-0.3414262992323637,-0.3467470195201612,-0.25226754496378667,-0.10196429214339874,-0.13841067631750026,-0.2575396768792895,0.35106020406505883,0.04542673481416978,-0.14597145631435288,-0.002412927060072583,-0.020777899505302105,-0.37600070086965937,-0.2711002624079199,-0.10638594244743299,-0.3293676135251609,0.274385162107276,-0.025058506192898546,0.08626638636201336,-0.0072294287815583514,-0.21739244977617503,-0.20798415930979683,-0.23760305603470006,-0.2659651338802452,-0.06736529428504269,-0.37600070086965937,0.44516677744392086,-0.17886717895345472,-0.07591091332630677,-0.37600070086965937,-0.25461928390026767,-0.25965570600130317
-0.3586484830155523,-0.0017394111063286238,-0.23068969150317079,-0.23698915815765983,-0.21403490290500846,-0.29780653422221226,-0.25188063855022613,1.1000041025386083,-0.05524933371606596,-0.33040595414824586,0.09057462699890619,-0.30757792842235293,1.1411800420425473,-0.04955365780497129,0.8813635490889982,5.400861794015542,1.4126989603909081,0.352279815600042,2.425792191286531,-0.30684343497637045,-0.17183492943565004,-0.26622456080257006,0.01255522071173715,-0.313151452543855,7.972460226720998,-0.08296976068756816,-0.3586484830155523,-0.2307605780970105,-0.33026702194204455,-0.25151682829263367,-0.27783706759511456,-0.1832990184456314,-0.26895677744237717,-0.20043509070721446,0.30715939817606014,0.14949051107940284,-0.18475673751901964,0.06658544872445879,-0.0552074133822272,-0.3586484830155523,-0.2620982461135604,-0.1803646440580303,-0.2810559642237108,0.1331916238762606,0.1298767909162067,-0.07504981567815462,-0.06852986281217685,-0.16725340232637034,-0.26811241856648654,-0.21257414733477617,-0.17740846575872293,-0.06452188227532124,-0.2752261879980751,0.25354959759436474,-0.25184822555517533,0.023860703071050555,-0.3586484830155523,-0.24308449646561486,-0.2582101982403679
-0.2983706367372578,0.0840007454714568,-0.20582044615815623,-0.08211151490303172,-0.24958635068852622,-0.2138357514366335,-0.2633147507948539,1.104737728644262,-0.051036173510168675,-0.3022725926937788,0.03724395339082918,-0.2959465834880019,1.3553518350694511,0.17425028838973192,1.0657154041817882,5.173430573770688,1.5089898537975193,0.2735124801629701,2.288398194908963,-0.22499718266662302,-0.21597792141162014,-0.19745821647169803,0.04724079560495385,-0.30750471943610624,8.07281960040137,0.005451770936983001,-0.2615253105024941,-0.2734899233693863,-0.3671471304771353,-0.2899654200663019,-0.22946312660553184,-0.21552882944507243,-0.18797198620405856,-0.15083086261534664,0.3735485702890221,-0.08236468730055904,-0.05275702246248456,0.030066360901799174,-0.007394121881600844,-0.27422114698362327,-0.2702840211475215,-0.24929631113923834,-0.30705642545638345,0.16087024026607405,-0.016379052714778134,-0.08685652262678172,-0.18404670110283894,-0.1676382628939345,-0.23085437970612224,-0.2136981949096126,-0.2851445482813995,-0.08846806380795263,-0.2503486884105706,0.4588507050040058,-0.27039874972629946,-0.12930061217439595,-0.3671471304771353,-0.25987485038106156,-0.27469510698745037
-0.20151760603489816,-0.08572516074805235,-0.366248643746272,-0.03969539581640869,-0.15097694755439742,-0.3076165891823573,-0.23147289662969073,1.0131756905328408,-0.1004761449105601,-0.3057498776185576,0.13658971978199047,-0.3027225885658966,1.1333550215417265,-0.19964441131992552,0.5845081978675333,5.6530490207688,1.3350444375598587,0.2627261957066228,2.358557793420637,-0.2963340806076888,-0.06506201264687417,-0.26219577200486693,0.04084496250069098,-0.21480828629645402,7.8504297772936384,-0.1360732908176754,-0.33019347913511965,-0.24733119924752817,-0.366248643746272,-0.157034252038328,-0.28581325815448516,-0.21432057496768456,-0.22913305768981584,-0.21881445717355327,0.33492974324844743,-0.004915840404036457,-0.14449855378152296,-0.24770416426650343,0.005690382298814109,-0.31026254311639995,-0.21769836730932132,-0.146426090612327,-0.33157657379498595,0.34914382252497733,0.09191919819271234,0.005588314521173262,-0.06401585227524915,-0.25857468578119375,-0.31058672036000934,-0.2592686649164123,-0.3084979996035333,0.025715991818524783,-0.2859560537091644,0.37256576114157064,-0.28612995842624495,0.25348078571720695,-0.366248643746272,-0.2375002424674597,-0.25534818448284136
-0.3406202553565933,-0.1226849727497276,-0.31890070651343944,-0.15048003251494374,-0.313579534157797,-0.33759212096563246,-0.3210096891258428,0.8456470638961223,0.07008018512209285,-0.3437153668619242,0.0052708284865581635,-0.29162455392501396,1.3750000575335244,0.14013267325499063,1.3904992886749492,5.357386206703248,1.7925931285179628,0.12390922501791894,2.1150666461616328,-0.2593416005791874,-0.27727317456898337,-0.1518753184626332,0.12964656854454723,-0.3196124377357707,7.90540965611723,-0.030196294364894773,-0.37341469255577153,-0.2973712803661596,-0.3425956955276735,-0.31608859075831724,-0.3027914588183936,-0.1083660300808455,-0.2891914112344612,-0.18545331514200578,0.43883077918932595,-0.0029284667258651534,-0.1578984017640439,-0.20398688967720016,-0.05780069503954344,-0.2597966226845558,-0.17542057334840666,-0.049361057814495006,-0.30309751919933503,-0.038924858149606945,-0.19363564296558922,-0.1353893442146114,-0.24782767213065357,-0.23071620344328184,-0.41489589564933127,-0.3007332190717959,-0.1295008687158516,0.004060177014717777,-0.3285427703773563,0.43950646209077543,-0.2555047806397915,0.061184649956552636,-0.3805830850503386,-0.23369634422451407,-0.2590861956233712
